"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Northern Ireland","5","0"," "
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Northern Ireland","5","5"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","England","90","55","0.583"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","England","155","70","0.466"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","England","120","75","0.635"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","England","15","10"," "
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","England","40","20","0.543"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Scotland","10","5"," "
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Scotland","5","0"," "
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Scotland","5","0"," "
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Scotland","5","0"," "
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Wales","10","5"," "
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Wales","10","5"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Northern Ireland","5","5"," "
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Northern Ireland","5","5"," "
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Northern Ireland","5","5"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","England","30","15","0.483"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","England","40","15","0.438"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","England","30","25","0.782"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","England","10","0"," "
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Scotland","5","0"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Wales","5","0"," "
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Wales","10","10"," "
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","Northern Ireland","5","0"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","England","90","65","0.734"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","England","45","25","0.591"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","England","55","35","0.635"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","England","20","15","0.7000000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","England","15","10","0.7000000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","Scotland","5","0"," "
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","Scotland","5","5"," "
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","Northern Ireland","10","0"," "
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","Northern Ireland","5","0"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","England","40","25","0.584"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","England","20","15","0.675"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","England","15","10"," "
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","England","5","5"," "
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","England","5","0"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","Wales","5","0"," "
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Unknown","Northern Ireland","10","5"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Unknown","England","50","10"," "
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Unknown","England","50","10","0.245"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Unknown","England","35","5"," "
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Unknown","England","5","5"," "
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Unknown","England","20","10"," "
