"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Not main scheme applicant","Not main scheme application","265"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Not main scheme applicant","Not main scheme application","45"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","Not main scheme applicant","Not main scheme application","10"
