"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","Not main scheme applicant","Not main scheme application","130"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","Not main scheme applicant","Not main scheme application","120"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","Not main scheme applicant","Not main scheme application","100"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","Not main scheme applicant","Not main scheme application","70"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","Not main scheme applicant","Not main scheme application","65"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","Not main scheme applicant","Not main scheme application","60"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","Not main scheme applicant","Not main scheme application","35"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","North East","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","North East","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","North East","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","North East","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
