"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","Not main scheme applicant","Not main scheme application","1825"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","Not main scheme applicant","Not main scheme application","2175"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","Not main scheme applicant","Not main scheme application","1855"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","Not main scheme applicant","Not main scheme application","1910"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","Not main scheme applicant","Not main scheme application","1930"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","Not main scheme applicant","Not main scheme application","1405"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","Not main scheme applicant","Not main scheme application","1480"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","Not main scheme applicant","Not main scheme application","1160"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","Not main scheme applicant","Not main scheme application","1250"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","Not main scheme applicant","Not main scheme application","1015"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","Not main scheme applicant","Not main scheme application","1045"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","Not main scheme applicant","Not main scheme application","1005"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","Not main scheme applicant","Not main scheme application","795"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","Not main scheme applicant","Not main scheme application","850"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","Not main scheme applicant","Not main scheme application","820"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","Not main scheme applicant","Not main scheme application","360"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","Not main scheme applicant","Not main scheme application","390"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","Not main scheme applicant","Not main scheme application","325"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","Not main scheme applicant","Not main scheme application","340"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","Not main scheme applicant","Not main scheme application","320"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","Not main scheme applicant","Not main scheme application","370"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","Not main scheme applicant","Not main scheme application","405"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","Not main scheme applicant","Not main scheme application","340"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","Not main scheme applicant","Not main scheme application","325"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","Not main scheme applicant","Not main scheme application","320"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","Not main scheme applicant","Not main scheme application","140"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","Not main scheme applicant","Not main scheme application","165"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","Not main scheme applicant","Not main scheme application","155"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","Not main scheme applicant","Not main scheme application","70"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","Not main scheme applicant","Not main scheme application","105"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","Not main scheme applicant","Not main scheme application","150"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","Not main scheme applicant","Not main scheme application","140"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","Not main scheme applicant","Not main scheme application","135"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","Not main scheme applicant","Not main scheme application","130"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","Not main scheme applicant","Not main scheme application","145"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","Not main scheme applicant","Not main scheme application","275"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","Not main scheme applicant","Not main scheme application","370"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","Not main scheme applicant","Not main scheme application","260"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","Not main scheme applicant","Not main scheme application","245"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","Not main scheme applicant","Not main scheme application","180"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","Not main scheme applicant","Not main scheme application","90"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","Not main scheme applicant","Not main scheme application","135"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","Not main scheme applicant","Not main scheme application","110"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","Not main scheme applicant","Not main scheme application","120"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","Not main scheme applicant","Not main scheme application","70"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","Not main scheme applicant","Not main scheme application","85"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","Not main scheme applicant","Not main scheme application","70"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","Not main scheme applicant","Not main scheme application","115"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","Not main scheme applicant","Not main scheme application","115"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","Not main scheme applicant","Not main scheme application","120"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","Not main scheme applicant","Not main scheme application","170"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","Not main scheme applicant","Not main scheme application","135"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","Not main scheme applicant","Not main scheme application","190"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","Not main scheme applicant","Not main scheme application","270"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","Not main scheme applicant","Not main scheme application","210"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","Not main scheme applicant","Not main scheme application","225"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","Not main scheme applicant","Not main scheme application","205"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","Not main scheme applicant","Not main scheme application","210"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","Not main scheme applicant","Not main scheme application","215"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","Not main scheme applicant","Not main scheme application","215"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","Not main scheme applicant","Not main scheme application","185"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","Not main scheme applicant","Not main scheme application","225"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","Not main scheme applicant","Not main scheme application","530"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","Not main scheme applicant","Not main scheme application","690"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","Not main scheme applicant","Not main scheme application","595"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","Not main scheme applicant","Not main scheme application","525"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","Not main scheme applicant","Not main scheme application","555"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","Not main scheme applicant","Not main scheme application","415"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","Not main scheme applicant","Not main scheme application","440"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","Not main scheme applicant","Not main scheme application","315"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","Not main scheme applicant","Not main scheme application","365"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","Not main scheme applicant","Not main scheme application","370"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","Not main scheme applicant","Not main scheme application","195"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","Not main scheme applicant","Not main scheme application","165"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","Not main scheme applicant","Not main scheme application","100"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","Not main scheme applicant","Not main scheme application","90"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","Not main scheme applicant","Not main scheme application","310"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","Not main scheme applicant","Not main scheme application","335"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","Not main scheme applicant","Not main scheme application","345"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","Not main scheme applicant","Not main scheme application","265"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","Not main scheme applicant","Not main scheme application","230"
"2019","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","Not main scheme applicant","Not main scheme application","635"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","Not main scheme applicant","Not main scheme application","675"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","Not main scheme applicant","Not main scheme application","625"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","Not main scheme applicant","Not main scheme application","630"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","Not main scheme applicant","Not main scheme application","645"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","England","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-03-07) materials science","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-03-07) materials science","England","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-03-07) materials science","England","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","Not main scheme applicant","Not main scheme application","30"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","Not main scheme applicant","Not main scheme application","90"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","Not main scheme applicant","Not main scheme application","80"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","Not main scheme applicant","Not main scheme application","115"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","Not main scheme applicant","Not main scheme application","200"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","Not main scheme applicant","Not main scheme application","240"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","Not main scheme applicant","Not main scheme application","265"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","Not main scheme applicant","Not main scheme application","270"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","Not main scheme applicant","Not main scheme application","215"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","Not main scheme applicant","Not main scheme application","310"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","Not main scheme applicant","Not main scheme application","395"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","Not main scheme applicant","Not main scheme application","185"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","Not main scheme applicant","Not main scheme application","270"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","Not main scheme applicant","Not main scheme application","305"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","Not main scheme applicant","Not main scheme application","160"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","Not main scheme applicant","Not main scheme application","200"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","Not main scheme applicant","Not main scheme application","175"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","Not main scheme applicant","Not main scheme application","110"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","Not main scheme applicant","Not main scheme application","120"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","Not main scheme applicant","Not main scheme application","150"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","Not main scheme applicant","Not main scheme application","130"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","Not main scheme applicant","Not main scheme application","125"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","Not main scheme applicant","Not main scheme application","90"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","Not main scheme applicant","Not main scheme application","620"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","Not main scheme applicant","Not main scheme application","735"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","Not main scheme applicant","Not main scheme application","550"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","Not main scheme applicant","Not main scheme application","650"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","Not main scheme applicant","Not main scheme application","765"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","Not main scheme applicant","Not main scheme application","65"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","Not main scheme applicant","Not main scheme application","75"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","Not main scheme applicant","Not main scheme application","105"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","Not main scheme applicant","Not main scheme application","170"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","Not main scheme applicant","Not main scheme application","140"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","Not main scheme applicant","Not main scheme application","105"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","Not main scheme applicant","Not main scheme application","180"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","Not main scheme applicant","Not main scheme application","110"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","Not main scheme applicant","Not main scheme application","165"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","Not main scheme applicant","Not main scheme application","70"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","Not main scheme applicant","Not main scheme application","90"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","Not main scheme applicant","Not main scheme application","120"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","Not main scheme applicant","Not main scheme application","110"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","Not main scheme applicant","Not main scheme application","155"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","Not main scheme applicant","Not main scheme application","130"
