"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Overseas","45","5"," "
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Overseas","60","10"," "
"2019","(CAH17) business and management","(CAH17-01-02) business studies","Overseas","20","0"," "
"2020","(CAH17) business and management","(CAH17-01-02) business studies","Overseas","25","5"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","82735","47910","0.579"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","83105","51210","0.616"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","82175","54045","0.658"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","89990","53955","0.6"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","England","86350","53205","0.616"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","35435","21685","0.612"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","36325","22610","0.622"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","37860","23695","0.626"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","38835","23230","0.598"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","England","38335","22075","0.5760000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","42040","27810","0.661"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","42705","29805","0.6980000000000001"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","42175","31220","0.74"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","45315","30550","0.674"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","England","42775","30380","0.71"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","18950","10110","0.534"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","18850","10495","0.557"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","18955","11105","0.586"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","21830","11710","0.536"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","England","21350","11870","0.556"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","35885","13745","0.383"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","35450","14575","0.41100000000000003"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","35260","14720","0.418"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","34810","14430","0.41500000000000004"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","England","33870","13885","0.41000000000000003"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","5110","2355","0.461"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","5465","2675","0.489"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","6815","3175","0.466"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","6825","2780","0.40800000000000003"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","England","6395","2575","0.403"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","3370","1315","0.39"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","2095","1150","0.549"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","1305","940","0.721"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","1450","1020","0.7030000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","England","1125","755","0.671"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","2685","1810","0.674"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","2605","1880","0.721"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","2540","2050","0.806"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","2695","1900","0.705"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","England","2235","1675","0.749"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","1285","1020","0.794"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","1625","1200","0.738"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","1835","1425","0.777"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","2345","1625","0.6940000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","England","2495","1690","0.678"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","5145","4060","0.79"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","5895","4640","0.787"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","5725","4475","0.781"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","6290","4705","0.748"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","6855","4830","0.705"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1435","1030","0.719"
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1470","975","0.664"
"2021","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1300","905","0.6970000000000001"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1080","720","0.665"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1450","1025","0.705"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","2625","2215","0.844"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","2950","2415","0.8190000000000001"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","3215","2765","0.859"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","3285","2745","0.835"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","3430","2850","0.8310000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","8615","7170","0.833"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","8695","7250","0.834"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","9320","7725","0.8290000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","10685","8550","0.8"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","10215","8240","0.807"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","18435","14275","0.774"
