"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","59750","33765","0.5650000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","57880","35325","0.61"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","59970","39705","0.662"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","60010","37575","0.626"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","50235","32460","0.646"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","27425","16540","0.603"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","27370","16870","0.616"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","29140","18200","0.624"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","28800","17285","0.6"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","25055","14620","0.583"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","30590","19430","0.635"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","30085","20405","0.678"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","31925","23140","0.725"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","31955","21185","0.663"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","25805","18180","0.705"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","13125","6885","0.525"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","12885","7075","0.549"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","13325","7765","0.583"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","14170","7740","0.546"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","11010","6220","0.5650000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","26120","10065","0.385"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","25540","10540","0.41300000000000003"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","25895","11065","0.427"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","24215","10090","0.417"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","20160","8470","0.42"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","4045","1850","0.458"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","4115","1925","0.468"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","5285","2430","0.46"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","5190","2130","0.41100000000000003"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","4300","1735","0.404"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","No disability declared","No impairment","2590","965","0.373"
