"Year","Subject group HECoS","Detailed subject group HECoS","Ethnic group","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","Not main scheme applicant","Not main scheme application","1195"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","Not main scheme applicant","Not main scheme application","1335"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","Not main scheme applicant","Not main scheme application","975"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","Not main scheme applicant","Not main scheme application","970"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","Not main scheme applicant","Not main scheme application","915"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","Not main scheme applicant","Not main scheme application","925"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","Not main scheme applicant","Not main scheme application","960"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","Not main scheme applicant","Not main scheme application","775"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","Not main scheme applicant","Not main scheme application","750"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","Not main scheme applicant","Not main scheme application","580"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","Not main scheme applicant","Not main scheme application","710"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","Not main scheme applicant","Not main scheme application","655"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","Not main scheme applicant","Not main scheme application","530"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","Not main scheme applicant","Not main scheme application","580"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","Not main scheme applicant","Not main scheme application","530"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","Not main scheme applicant","Not main scheme application","280"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","Not main scheme applicant","Not main scheme application","360"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","Not main scheme applicant","Not main scheme application","265"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","Not main scheme applicant","Not main scheme application","290"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","Not main scheme applicant","Not main scheme application","285"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","Not main scheme applicant","Not main scheme application","305"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","Not main scheme applicant","Not main scheme application","330"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","Not main scheme applicant","Not main scheme application","270"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","Not main scheme applicant","Not main scheme application","250"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","Not main scheme applicant","Not main scheme application","245"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","Not main scheme applicant","Not main scheme application","115"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","Not main scheme applicant","Not main scheme application","130"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","Not main scheme applicant","Not main scheme application","70"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","Not main scheme applicant","Not main scheme application","110"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","Not main scheme applicant","Not main scheme application","105"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","Not main scheme applicant","Not main scheme application","115"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","Not main scheme applicant","Not main scheme application","100"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","Not main scheme applicant","Not main scheme application","145"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","Not main scheme applicant","Not main scheme application","290"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","Not main scheme applicant","Not main scheme application","225"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","Not main scheme applicant","Not main scheme application","150"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","Not main scheme applicant","Not main scheme application","155"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","Not main scheme applicant","Not main scheme application","70"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","Not main scheme applicant","Not main scheme application","110"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","Not main scheme applicant","Not main scheme application","70"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","Not main scheme applicant","Not main scheme application","85"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","Not main scheme applicant","Not main scheme application","60"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","95"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","115"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","85"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","100"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","100"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","125"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","185"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","140"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","135"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","105"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","115"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","110"
