"Year","Subject group HECoS","Detailed subject group HECoS","Ethnic group","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","55000","31585","0.5740000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","53920","33095","0.614"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","56350","37335","0.663"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","57710","36300","0.629"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","53990","35030","0.649"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","28205","16895","0.599"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","28390","17355","0.611"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","31180","19285","0.618"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","31940","18895","0.592"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","31600","17980","0.5690000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","32220","20625","0.64"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","31755","21545","0.678"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","33555","24345","0.725"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","36010","23790","0.661"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","33035","23340","0.707"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","14820","7920","0.534"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","14595","8035","0.551"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","15205","8890","0.585"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","16875","9205","0.545"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","16270","9310","0.5720000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","28725","11305","0.394"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","28360","11845","0.418"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","28860","12360","0.428"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","28380","12025","0.424"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","26825","11455","0.427"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","4075","1885","0.462"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","4305","2045","0.47500000000000003"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","5645","2575","0.456"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","5730","2330","0.406"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","5340","2140","0.401"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","2750","1025","0.372"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","1710","905","0.53"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","1135","805","0.711"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","1240","880","0.71"
