"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2006","Lower tariff","17 and under","Northern Ireland","Female","90","65","0.733"
"2007","Lower tariff","17 and under","Northern Ireland","Female","75","65","0.893"
"2008","Lower tariff","17 and under","Northern Ireland","Female","35","25","0.714"
"2009","Lower tariff","17 and under","Northern Ireland","Female","50","40","0.8"
"2010","Lower tariff","17 and under","Northern Ireland","Female","55","40","0.727"
"2011","Lower tariff","17 and under","Northern Ireland","Female","35","30","0.857"
"2012","Lower tariff","17 and under","Northern Ireland","Female","30","25","0.867"
"2013","Lower tariff","17 and under","Northern Ireland","Female","25","15","0.68"
"2014","Lower tariff","17 and under","Northern Ireland","Female","30","20","0.6"
"2015","Lower tariff","17 and under","Northern Ireland","Female","35","30","0.8"
"2016","Lower tariff","17 and under","Northern Ireland","Female","35","25","0.771"
"2017","Lower tariff","17 and under","Northern Ireland","Female","20","10","0.55"
"2018","Lower tariff","17 and under","Northern Ireland","Female","15","15","1"
"2019","Lower tariff","17 and under","Northern Ireland","Female","25","20","0.72"
"2020","Lower tariff","17 and under","Northern Ireland","Female","20","20","0.9"
"2021","Lower tariff","17 and under","Northern Ireland","Female","10","5"," "
"2022","Lower tariff","17 and under","Northern Ireland","Female","15","10"," "
"2023","Lower tariff","17 and under","Northern Ireland","Female","25","20","0.88"
"2006","Higher tariff","17 and under","Northern Ireland","Female","80","35","0.425"
"2007","Higher tariff","17 and under","Northern Ireland","Female","55","35","0.618"
"2008","Higher tariff","17 and under","Northern Ireland","Female","70","40","0.543"
"2009","Higher tariff","17 and under","Northern Ireland","Female","55","30","0.545"
"2010","Higher tariff","17 and under","Northern Ireland","Female","55","30","0.582"
"2011","Higher tariff","17 and under","Northern Ireland","Female","50","25","0.52"
"2012","Higher tariff","17 and under","Northern Ireland","Female","80","50","0.625"
"2013","Higher tariff","17 and under","Northern Ireland","Female","35","15","0.429"
"2014","Higher tariff","17 and under","Northern Ireland","Female","30","20","0.633"
"2015","Higher tariff","17 and under","Northern Ireland","Female","25","20","0.8"
"2016","Higher tariff","17 and under","Northern Ireland","Female","45","30","0.622"
"2017","Higher tariff","17 and under","Northern Ireland","Female","25","15","0.6"
"2018","Higher tariff","17 and under","Northern Ireland","Female","45","30","0.644"
"2019","Higher tariff","17 and under","Northern Ireland","Female","25","15","0.56"
"2020","Higher tariff","17 and under","Northern Ireland","Female","50","30","0.58"
"2021","Higher tariff","17 and under","Northern Ireland","Female","40","25","0.65"
"2022","Higher tariff","17 and under","Northern Ireland","Female","40","20","0.5"
"2023","Higher tariff","17 and under","Northern Ireland","Female","45","25","0.533"
"2006","Medium tariff","17 and under","Northern Ireland","Female","70","55","0.771"
"2007","Medium tariff","17 and under","Northern Ireland","Female","75","60","0.8270000000000001"
"2008","Medium tariff","17 and under","Northern Ireland","Female","40","30","0.7000000000000001"
"2009","Medium tariff","17 and under","Northern Ireland","Female","45","40","0.867"
"2010","Medium tariff","17 and under","Northern Ireland","Female","35","30","0.8"
"2011","Medium tariff","17 and under","Northern Ireland","Female","35","30","0.857"
"2012","Medium tariff","17 and under","Northern Ireland","Female","45","35","0.8220000000000001"
"2013","Medium tariff","17 and under","Northern Ireland","Female","25","20","0.72"
"2014","Medium tariff","17 and under","Northern Ireland","Female","20","20","0.9"
"2015","Medium tariff","17 and under","Northern Ireland","Female","35","30","0.8"
"2016","Medium tariff","17 and under","Northern Ireland","Female","55","35","0.636"
"2017","Medium tariff","17 and under","Northern Ireland","Female","15","5"," "
"2018","Medium tariff","17 and under","Northern Ireland","Female","25","25","0.92"
"2019","Medium tariff","17 and under","Northern Ireland","Female","35","25","0.743"
"2020","Medium tariff","17 and under","Northern Ireland","Female","35","30","0.8"
"2021","Medium tariff","17 and under","Northern Ireland","Female","30","15","0.533"
"2022","Medium tariff","17 and under","Northern Ireland","Female","25","20","0.72"
"2023","Medium tariff","17 and under","Northern Ireland","Female","25","20","0.72"
"2006","Lower tariff","18","Northern Ireland","Female","17460","13400","0.767"
"2007","Lower tariff","18","Northern Ireland","Female","16835","13235","0.786"
"2008","Lower tariff","18","Northern Ireland","Female","14080","11420","0.811"
"2009","Lower tariff","18","Northern Ireland","Female","14585","11610","0.796"
"2010","Lower tariff","18","Northern Ireland","Female","14645","10815","0.738"
"2011","Lower tariff","18","Northern Ireland","Female","15285","10170","0.665"
"2012","Lower tariff","18","Northern Ireland","Female","15260","10545","0.6910000000000001"
"2013","Lower tariff","18","Northern Ireland","Female","13370","10250","0.767"
"2014","Lower tariff","18","Northern Ireland","Female","13435","10635","0.792"
"2015","Lower tariff","18","Northern Ireland","Female","14505","11380","0.785"
"2016","Lower tariff","18","Northern Ireland","Female","13870","10890","0.785"
"2017","Lower tariff","18","Northern Ireland","Female","13315","10425","0.783"
"2018","Lower tariff","18","Northern Ireland","Female","12690","10035","0.791"
"2019","Lower tariff","18","Northern Ireland","Female","12535","9895","0.789"
"2020","Lower tariff","18","Northern Ireland","Female","13000","10550","0.812"
"2021","Lower tariff","18","Northern Ireland","Female","13530","10800","0.798"
"2022","Lower tariff","18","Northern Ireland","Female","14165","11145","0.787"
"2023","Lower tariff","18","Northern Ireland","Female","15020","12255","0.8160000000000001"
"2006","Higher tariff","18","Northern Ireland","Female","7850","4360","0.556"
"2007","Higher tariff","18","Northern Ireland","Female","7630","4435","0.581"
"2008","Higher tariff","18","Northern Ireland","Female","6550","3885","0.593"
"2009","Higher tariff","18","Northern Ireland","Female","6645","3970","0.598"
"2010","Higher tariff","18","Northern Ireland","Female","7195","3790","0.527"
"2011","Higher tariff","18","Northern Ireland","Female","6770","3585","0.529"
"2012","Higher tariff","18","Northern Ireland","Female","6010","3415","0.5680000000000001"
"2013","Higher tariff","18","Northern Ireland","Female","6185","3705","0.599"
"2014","Higher tariff","18","Northern Ireland","Female","5750","3620","0.63"
"2015","Higher tariff","18","Northern Ireland","Female","5900","3860","0.655"
"2016","Higher tariff","18","Northern Ireland","Female","6340","4375","0.6900000000000001"
"2017","Higher tariff","18","Northern Ireland","Female","6460","4480","0.6940000000000001"
"2018","Higher tariff","18","Northern Ireland","Female","5905","4055","0.686"
"2019","Higher tariff","18","Northern Ireland","Female","5575","3730","0.669"
"2020","Higher tariff","18","Northern Ireland","Female","5750","3875","0.674"
"2021","Higher tariff","18","Northern Ireland","Female","6780","4210","0.621"
"2022","Higher tariff","18","Northern Ireland","Female","7605","4275","0.562"
"2023","Higher tariff","18","Northern Ireland","Female","6285","3900","0.62"
"2006","Medium tariff","18","Northern Ireland","Female","11950","9225","0.772"
"2007","Medium tariff","18","Northern Ireland","Female","11880","9205","0.775"
"2008","Medium tariff","18","Northern Ireland","Female","9745","7760","0.796"
"2009","Medium tariff","18","Northern Ireland","Female","10130","8115","0.801"
"2010","Medium tariff","18","Northern Ireland","Female","10580","7990","0.755"
"2011","Medium tariff","18","Northern Ireland","Female","10385","7455","0.718"
"2012","Medium tariff","18","Northern Ireland","Female","10810","7960","0.736"
