"Year","Tariff group of provider","Deferred entry","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2006","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","21525","21215","0.986"
"2007","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","23455","23050","0.983"
"2008","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","28050","27215","0.97"
"2009","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","27520","26145","0.9500000000000001"
"2010","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","18675","17505","0.937"
"2011","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","15065","13650","0.906"
"2012","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","19805","18110","0.914"
"2013","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","23925","22325","0.933"
"2014","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","26330","24705","0.9380000000000001"
"2015","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","27415","25660","0.936"
"2016","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","26040","24295","0.933"
"2017","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","31100","28800","0.926"
"2018","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","38745","36645","0.9460000000000001"
"2019","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","46885","44175","0.9420000000000001"
"2020","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","48640","45430","0.934"
"2021","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","48275","45150","0.935"
"2022","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","58155","54350","0.935"
"2023","Lower tariff","Not deferred","Not main scheme applicant","Not main scheme application","56545","52145","0.922"
"2006","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3030","2920","0.965"
"2007","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3090","2955","0.9570000000000001"
"2008","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3455","3290","0.9530000000000001"
"2009","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3075","2840","0.925"
"2010","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","2240","2090","0.932"
"2011","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","2310","2150","0.929"
"2012","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","2690","2510","0.932"
"2013","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","2975","2815","0.9460000000000001"
"2014","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","2745","2560","0.932"
"2015","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3005","2820","0.937"
"2016","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3150","2930","0.93"
"2017","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3400","3105","0.914"
"2018","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3700","3380","0.913"
"2019","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","4010","3710","0.925"
"2020","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","4640","4125","0.889"
"2021","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3125","2860","0.915"
"2022","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3385","2945","0.87"
"2023","Higher tariff","Not deferred","Not main scheme applicant","Not main scheme application","3360","2950","0.878"
"2006","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","9305","9080","0.976"
"2007","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","9805","9600","0.979"
"2008","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","12040","11755","0.977"
"2009","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","10585","10100","0.9540000000000001"
"2010","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","11420","11040","0.966"
"2011","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","7935","7600","0.9580000000000001"
"2012","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","9290","8815","0.9490000000000001"
"2013","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","8805","8320","0.9450000000000001"
"2014","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","6375","5865","0.92"
"2015","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","9215","8575","0.93"
"2016","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","9375","8750","0.933"
"2017","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","10900","10130","0.93"
"2018","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","11805","11005","0.932"
"2019","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","12845","11855","0.923"
"2020","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","15710","14370","0.915"
"2021","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","12130","11025","0.909"
"2022","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","15975","14380","0.9"
"2023","Medium tariff","Not deferred","Not main scheme applicant","Not main scheme application","23845","21810","0.915"
"2006","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","305","305","0.99"
"2007","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","315","310","0.981"
"2008","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","405","400","0.98"
"2009","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","540","405","0.751"
"2010","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","200","200","0.99"
"2011","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","80","75","0.975"
"2012","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","190","185","0.984"
"2013","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","260","255","0.981"
"2014","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","290","280","0.9590000000000001"
"2015","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","285","275","0.972"
"2016","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","265","255","0.9590000000000001"
"2017","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","375","365","0.976"
"2018","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","500","490","0.976"
"2019","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","435","420","0.968"
"2020","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","640","530","0.8310000000000001"
"2021","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","405","345","0.854"
"2022","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","360","265","0.739"
"2023","Lower tariff","Deferred","Not main scheme applicant","Not main scheme application","415","345","0.8310000000000001"
"2006","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","60","60","1"
"2007","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","60","55","0.9480000000000001"
"2008","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","75","75","0.973"
"2009","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","95","80","0.871"
"2010","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","40","40","0.9500000000000001"
"2011","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","20","20","1"
"2012","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","35","35","0.9460000000000001"
"2013","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","40","40","0.974"
"2014","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","50","45","0.9580000000000001"
"2015","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","55","55","0.965"
"2016","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","50","45","0.918"
"2017","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","65","65","0.969"
"2018","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","80","70","0.923"
"2019","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","90","90","0.989"
"2020","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","180","165","0.912"
"2021","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","75","65","0.89"
"2022","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","50","40","0.765"
"2023","Higher tariff","Deferred","Not main scheme applicant","Not main scheme application","70","55","0.8"
"2006","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","180","180","0.989"
"2007","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","175","175","0.977"
"2008","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","200","195","0.975"
"2009","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","150","130","0.849"
"2010","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","115","110","0.965"
"2011","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","70","70","0.972"
"2012","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","105","105","0.981"
"2013","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","145","145","0.986"
"2014","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","130","125","0.961"
"2015","Medium tariff","Deferred","Not main scheme applicant","Not main scheme application","125","120","0.984"
