"Year","Tariff group of provider","Deferred entry","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2006","Lower tariff","Not deferred","722570","524905","0.726"
"2007","Lower tariff","Not deferred","762470","547605","0.718"
"2008","Lower tariff","Not deferred","705465","504865","0.716"
"2009","Lower tariff","Not deferred","786100","544105","0.6920000000000001"
"2010","Lower tariff","Not deferred","936895","583110","0.622"
"2011","Lower tariff","Not deferred","1042470","622925","0.598"
"2012","Lower tariff","Not deferred","933485","574495","0.615"
"2013","Lower tariff","Not deferred","934225","619695","0.663"
"2014","Lower tariff","Not deferred","967345","648230","0.67"
"2015","Lower tariff","Not deferred","957005","659415","0.6890000000000001"
"2016","Lower tariff","Not deferred","933145","643790","0.6900000000000001"
"2017","Lower tariff","Not deferred","851880","618280","0.726"
"2018","Lower tariff","Not deferred","800270","601335","0.751"
"2019","Lower tariff","Not deferred","780355","593735","0.761"
"2020","Lower tariff","Not deferred","793410","612705","0.772"
"2021","Lower tariff","Not deferred","835680","640490","0.766"
"2022","Lower tariff","Not deferred","875075","650785","0.744"
"2023","Lower tariff","Not deferred","831595","624105","0.75"
"2006","Higher tariff","Not deferred","754635","428965","0.5680000000000001"
"2007","Higher tariff","Not deferred","805070","458060","0.5690000000000001"
"2008","Higher tariff","Not deferred","746330","432260","0.579"
"2009","Higher tariff","Not deferred","792465","445630","0.562"
"2010","Higher tariff","Not deferred","849715","448060","0.527"
"2011","Higher tariff","Not deferred","865045","453815","0.525"
"2012","Higher tariff","Not deferred","824890","454910","0.551"
"2013","Higher tariff","Not deferred","871660","498740","0.5720000000000001"
"2014","Higher tariff","Not deferred","909620","537910","0.591"
"2015","Higher tariff","Not deferred","957185","579785","0.606"
"2016","Higher tariff","Not deferred","989180","606795","0.613"
"2017","Higher tariff","Not deferred","1000660","629860","0.629"
"2018","Higher tariff","Not deferred","1014040","634580","0.626"
"2019","Higher tariff","Not deferred","1045455","661030","0.632"
"2020","Higher tariff","Not deferred","1090285","694560","0.637"
"2021","Higher tariff","Not deferred","1167800","690430","0.591"
"2022","Higher tariff","Not deferred","1210805","652025","0.539"
"2023","Higher tariff","Not deferred","1203185","680130","0.5650000000000001"
"2006","Medium tariff","Not deferred","597555","417135","0.6980000000000001"
"2007","Medium tariff","Not deferred","649030","452330","0.6970000000000001"
"2008","Medium tariff","Not deferred","619340","434630","0.7020000000000001"
"2009","Medium tariff","Not deferred","685260","467215","0.682"
"2010","Medium tariff","Not deferred","806805","499205","0.619"
"2011","Medium tariff","Not deferred","869685","517000","0.594"
"2012","Medium tariff","Not deferred","779400","487210","0.625"
"2013","Medium tariff","Not deferred","813325","533700","0.656"
"2014","Medium tariff","Not deferred","852845","564815","0.662"
"2015","Medium tariff","Not deferred","876400","585235","0.668"
"2016","Medium tariff","Not deferred","878390","597105","0.68"
"2017","Medium tariff","Not deferred","841150","595440","0.708"
"2018","Medium tariff","Not deferred","816330","594075","0.728"
"2019","Medium tariff","Not deferred","807915","594235","0.736"
"2020","Medium tariff","Not deferred","809030","595705","0.736"
"2021","Medium tariff","Not deferred","839535","605090","0.721"
"2022","Medium tariff","Not deferred","860525","600805","0.6980000000000001"
"2023","Medium tariff","Not deferred","833235","594405","0.713"
"2006","Lower tariff","Deferred","35005","28395","0.811"
"2007","Lower tariff","Deferred","34290","27300","0.796"
"2008","Lower tariff","Deferred","31515","24935","0.791"
"2009","Lower tariff","Deferred","32100","24895","0.775"
"2010","Lower tariff","Deferred","35835","24400","0.681"
"2011","Lower tariff","Deferred","19965","11345","0.5680000000000001"
"2012","Lower tariff","Deferred","27895","19240","0.6900000000000001"
"2013","Lower tariff","Deferred","27270","20005","0.734"
"2014","Lower tariff","Deferred","28275","20905","0.739"
"2015","Lower tariff","Deferred","29075","21865","0.752"
