"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","21 - 24","Northern Ireland","Female","150","25","0.16"
"2020","21 - 24","Northern Ireland","Female","110","25","0.209"
"2021","21 - 24","Northern Ireland","Female","165","30","0.188"
"2022","21 - 24","Northern Ireland","Female","110","30","0.273"
"2023","21 - 24","Northern Ireland","Female","70","10","0.171"
"2019","25 - 29","Northern Ireland","Female","65","15","0.231"
"2020","25 - 29","Northern Ireland","Female","45","10"," "
"2021","25 - 29","Northern Ireland","Female","60","15","0.217"
"2022","25 - 29","Northern Ireland","Female","35","10","0.28600000000000003"
"2023","25 - 29","Northern Ireland","Female","40","5"," "
"2019","30 - 34","Northern Ireland","Female","5","0"," "
"2020","30 - 34","Northern Ireland","Female","5","0"," "
"2021","30 - 34","Northern Ireland","Female","10","0"," "
"2022","30 - 34","Northern Ireland","Female","10","0"," "
"2023","30 - 34","Northern Ireland","Female","5","0"," "
"2019","35 and over","Northern Ireland","Female","10","0"," "
"2020","35 and over","Northern Ireland","Female","5","0"," "
"2021","35 and over","Northern Ireland","Female","5","0"," "
"2022","35 and over","Northern Ireland","Female","5","0"," "
"2023","35 and over","Northern Ireland","Female","5","0"," "
"2020","18","England","Female","5","0"," "
"2022","18","England","Female","5","0"," "
"2019","21 - 24","England","Female","145","45","0.297"
"2020","21 - 24","England","Female","85","20","0.23500000000000001"
"2021","21 - 24","England","Female","200","50","0.255"
"2022","21 - 24","England","Female","225","95","0.431"
"2023","21 - 24","England","Female","185","80","0.427"
"2019","25 - 29","England","Female","45","10","0.244"
"2020","25 - 29","England","Female","60","15","0.28300000000000003"
"2021","25 - 29","England","Female","110","25","0.23600000000000002"
"2022","25 - 29","England","Female","75","10","0.16"
"2023","25 - 29","England","Female","40","15","0.425"
"2019","30 - 34","England","Female","25","5"," "
"2020","30 - 34","England","Female","20","10"," "
"2021","30 - 34","England","Female","35","5"," "
"2022","30 - 34","England","Female","35","5"," "
"2023","30 - 34","England","Female","10","5"," "
"2019","35 and over","England","Female","30","5"," "
"2020","35 and over","England","Female","15","10"," "
"2021","35 and over","England","Female","30","15","0.433"
"2022","35 and over","England","Female","20","10"," "
"2023","35 and over","England","Female","10","5"," "
"2019","18","Scotland","Female","15","0"," "
"2020","18","Scotland","Female","25","0"," "
"2021","18","Scotland","Female","15","0"," "
"2022","18","Scotland","Female","20","0"," "
"2023","18","Scotland","Female","20","0"," "
"2019","19","Scotland","Female","5","0"," "
"2021","19","Scotland","Female","10","0"," "
"2022","19","Scotland","Female","10","0"," "
"2023","19","Scotland","Female","10","0"," "
"2019","20","Scotland","Female","10","0"," "
"2020","20","Scotland","Female","10","0"," "
"2021","20","Scotland","Female","25","0"," "
"2022","20","Scotland","Female","15","0"," "
"2023","20","Scotland","Female","5","0"," "
"2019","21 - 24","Scotland","Female","4260","1020","0.23900000000000002"
"2020","21 - 24","Scotland","Female","4635","1090","0.23500000000000001"
"2021","21 - 24","Scotland","Female","5970","1230","0.20600000000000002"
"2022","21 - 24","Scotland","Female","4365","1190","0.273"
"2023","21 - 24","Scotland","Female","3730","1140","0.306"
"2019","25 - 29","Scotland","Female","3320","755","0.228"
"2020","25 - 29","Scotland","Female","3115","750","0.241"
"2021","25 - 29","Scotland","Female","4225","900","0.213"
"2022","25 - 29","Scotland","Female","2920","765","0.262"
"2023","25 - 29","Scotland","Female","2020","570","0.28300000000000003"
"2019","30 - 34","Scotland","Female","1245","290","0.232"
"2020","30 - 34","Scotland","Female","1335","340","0.256"
"2021","30 - 34","Scotland","Female","1555","310","0.199"
"2022","30 - 34","Scotland","Female","1040","275","0.263"
"2023","30 - 34","Scotland","Female","825","235","0.28500000000000003"
"2019","35 and over","Scotland","Female","2005","465","0.231"
"2020","35 and over","Scotland","Female","2145","555","0.258"
"2021","35 and over","Scotland","Female","2340","480","0.20600000000000002"
"2022","35 and over","Scotland","Female","1705","440","0.257"
"2023","35 and over","Scotland","Female","1410","450","0.319"
"2020","18","Wales","Female","5","0"," "
"2022","18","Wales","Female","15","0"," "
"2019","21 - 24","Wales","Female","5","0"," "
"2020","21 - 24","Wales","Female","15","0"," "
"2022","21 - 24","Wales","Female","1080","580","0.537"
"2023","21 - 24","Wales","Female","1005","510","0.506"
"2019","25 - 29","Wales","Female","5","0"," "
"2020","25 - 29","Wales","Female","5","0"," "
"2021","25 - 29","Wales","Female","5","0"," "
"2022","25 - 29","Wales","Female","355","195","0.549"
"2023","25 - 29","Wales","Female","305","155","0.515"
"2022","30 - 34","Wales","Female","115","65","0.548"
"2023","30 - 34","Wales","Female","110","60","0.545"
"2022","35 and over","Wales","Female","140","70","0.486"
"2023","35 and over","Wales","Female","125","65","0.504"
"2019","21 - 24","Not EU","Female","35","10"," "
"2020","21 - 24","Not EU","Female","70","20","0.314"
"2021","21 - 24","Not EU","Female","40","10"," "
"2022","21 - 24","Not EU","Female","45","15","0.289"
"2023","21 - 24","Not EU","Female","65","10"," "
"2019","25 - 29","Not EU","Female","55","15","0.23600000000000002"
"2020","25 - 29","Not EU","Female","45","10","0.267"
"2021","25 - 29","Not EU","Female","55","15","0.273"
"2022","25 - 29","Not EU","Female","65","15","0.215"
"2023","25 - 29","Not EU","Female","55","15","0.255"
"2019","30 - 34","Not EU","Female","30","10"," "
"2020","30 - 34","Not EU","Female","30","5"," "
"2021","30 - 34","Not EU","Female","25","5"," "
"2022","30 - 34","Not EU","Female","50","20","0.44"
"2023","30 - 34","Not EU","Female","50","5"," "
"2019","35 and over","Not EU","Female","25","5"," "
"2020","35 and over","Not EU","Female","25","5"," "
"2021","35 and over","Not EU","Female","35","5"," "
"2022","35 and over","Not EU","Female","65","5"," "
"2023","35 and over","Not EU","Female","45","5"," "
"2020","19","EU (excluding UK)","Female","5","0"," "
"2019","20","EU (excluding UK)","Female","10","0"," "
"2020","20","EU (excluding UK)","Female","10","0"," "
"2019","21 - 24","EU (excluding UK)","Female","335","60","0.17300000000000001"
"2020","21 - 24","EU (excluding UK)","Female","365","75","0.20800000000000002"
"2021","21 - 24","EU (excluding UK)","Female","250","45","0.188"
"2022","21 - 24","EU (excluding UK)","Female","140","30","0.229"
"2023","21 - 24","EU (excluding UK)","Female","140","35","0.23600000000000002"
"2019","25 - 29","EU (excluding UK)","Female","145","25","0.179"
"2020","25 - 29","EU (excluding UK)","Female","235","50","0.20400000000000001"
"2021","25 - 29","EU (excluding UK)","Female","155","30","0.187"
"2022","25 - 29","EU (excluding UK)","Female","120","40","0.342"
"2023","25 - 29","EU (excluding UK)","Female","60","10","0.2"
"2019","30 - 34","EU (excluding UK)","Female","75","15","0.2"
"2020","30 - 34","EU (excluding UK)","Female","45","10","0.222"
"2021","30 - 34","EU (excluding UK)","Female","35","5"," "
