"Year","Provider country","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","Scotland","21 - 24","Northern Ireland","Female","150","25","0.16"
"2020","Scotland","21 - 24","Northern Ireland","Female","110","25","0.209"
"2021","Scotland","21 - 24","Northern Ireland","Female","165","30","0.188"
"2022","Scotland","21 - 24","Northern Ireland","Female","105","25","0.23800000000000002"
"2023","Scotland","21 - 24","Northern Ireland","Female","60","10","0.167"
"2022","Wales","21 - 24","Northern Ireland","Female","5","5"," "
"2023","Wales","21 - 24","Northern Ireland","Female","10","0"," "
"2019","Scotland","25 - 29","Northern Ireland","Female","65","15","0.231"
"2020","Scotland","25 - 29","Northern Ireland","Female","45","10"," "
"2021","Scotland","25 - 29","Northern Ireland","Female","60","15","0.217"
"2022","Scotland","25 - 29","Northern Ireland","Female","30","5"," "
"2023","Scotland","25 - 29","Northern Ireland","Female","35","5"," "
"2022","Wales","25 - 29","Northern Ireland","Female","5","5"," "
"2023","Wales","25 - 29","Northern Ireland","Female","5","0"," "
"2019","Scotland","30 - 34","Northern Ireland","Female","5","0"," "
"2020","Scotland","30 - 34","Northern Ireland","Female","5","0"," "
"2021","Scotland","30 - 34","Northern Ireland","Female","10","0"," "
"2022","Scotland","30 - 34","Northern Ireland","Female","10","0"," "
"2023","Scotland","30 - 34","Northern Ireland","Female","5","0"," "
"2023","Wales","30 - 34","Northern Ireland","Female","5","0"," "
"2019","Scotland","35 and over","Northern Ireland","Female","10","0"," "
"2020","Scotland","35 and over","Northern Ireland","Female","5","0"," "
"2021","Scotland","35 and over","Northern Ireland","Female","5","0"," "
"2022","Scotland","35 and over","Northern Ireland","Female","5","0"," "
"2023","Scotland","35 and over","Northern Ireland","Female","5","0"," "
"2022","Wales","18","England","Female","5","0"," "
"2019","England","21 - 24","England","Female","10","10"," "
"2020","England","21 - 24","England","Female","10","5"," "
"2021","England","21 - 24","England","Female","10","10"," "
"2022","England","21 - 24","England","Female","5","0"," "
"2023","England","21 - 24","England","Female","10","5"," "
"2019","Scotland","21 - 24","England","Female","130","35","0.269"
"2020","Scotland","21 - 24","England","Female","75","15","0.2"
"2021","Scotland","21 - 24","England","Female","190","45","0.226"
"2022","Scotland","21 - 24","England","Female","105","25","0.229"
"2023","Scotland","21 - 24","England","Female","65","15","0.262"
"2022","Wales","21 - 24","England","Female","115","70","0.617"
"2023","Wales","21 - 24","England","Female","110","55","0.518"
"2019","England","25 - 29","England","Female","5","0"," "
"2020","England","25 - 29","England","Female","10","5"," "
"2021","England","25 - 29","England","Female","10","5"," "
"2023","England","25 - 29","England","Female","5","5"," "
"2019","Scotland","25 - 29","England","Female","40","10","0.25"
"2020","Scotland","25 - 29","England","Female","50","10","0.24"
"2021","Scotland","25 - 29","England","Female","100","20","0.22"
"2022","Scotland","25 - 29","England","Female","65","10"," "
"2023","Scotland","25 - 29","England","Female","30","10","0.333"
"2022","Wales","25 - 29","England","Female","10","0"," "
"2023","Wales","25 - 29","England","Female","5","5"," "
"2019","England","30 - 34","England","Female","5","5"," "
"2020","England","30 - 34","England","Female","10","0"," "
"2021","England","30 - 34","England","Female","5","0"," "
"2019","Scotland","30 - 34","England","Female","20","0"," "
"2020","Scotland","30 - 34","England","Female","15","5"," "
"2021","Scotland","30 - 34","England","Female","30","5"," "
"2022","Scotland","30 - 34","England","Female","30","5"," "
"2023","Scotland","30 - 34","England","Female","5","0"," "
"2019","England","35 and over","England","Female","10","5"," "
"2020","England","35 and over","England","Female","15","5"," "
"2021","England","35 and over","England","Female","10","10"," "
"2022","England","35 and over","England","Female","5","5"," "
"2023","England","35 and over","England","Female","5","0"," "
"2019","Scotland","35 and over","England","Female","20","0"," "
"2020","Scotland","35 and over","England","Female","5","0"," "
"2021","Scotland","35 and over","England","Female","20","5"," "
"2022","Scotland","35 and over","England","Female","15","5"," "
"2023","Wales","35 and over","England","Female","5","5"," "
"2019","Scotland","18","Scotland","Female","15","0"," "
"2020","Scotland","18","Scotland","Female","25","0"," "
"2021","Scotland","18","Scotland","Female","15","0"," "
"2022","Scotland","18","Scotland","Female","20","0"," "
"2023","Scotland","18","Scotland","Female","20","0"," "
"2019","Scotland","19","Scotland","Female","5","0"," "
"2021","Scotland","19","Scotland","Female","10","0"," "
"2022","Scotland","19","Scotland","Female","10","0"," "
"2023","Scotland","19","Scotland","Female","10","0"," "
"2019","Scotland","20","Scotland","Female","10","0"," "
"2020","Scotland","20","Scotland","Female","10","0"," "
"2021","Scotland","20","Scotland","Female","25","0"," "
"2022","Scotland","20","Scotland","Female","15","0"," "
"2023","Scotland","20","Scotland","Female","5","0"," "
"2019","Scotland","21 - 24","Scotland","Female","4260","1020","0.23900000000000002"
"2020","Scotland","21 - 24","Scotland","Female","4635","1090","0.23500000000000001"
"2021","Scotland","21 - 24","Scotland","Female","5970","1230","0.20600000000000002"
"2022","Scotland","21 - 24","Scotland","Female","4360","1185","0.272"
"2023","Scotland","21 - 24","Scotland","Female","3725","1140","0.306"
"2022","Wales","21 - 24","Scotland","Female","5","5"," "
"2023","Wales","21 - 24","Scotland","Female","5","0"," "
"2019","Scotland","25 - 29","Scotland","Female","3320","755","0.228"
"2020","Scotland","25 - 29","Scotland","Female","3115","750","0.241"
"2021","Scotland","25 - 29","Scotland","Female","4225","900","0.213"
"2022","Scotland","25 - 29","Scotland","Female","2915","765","0.262"
"2023","Scotland","25 - 29","Scotland","Female","2020","570","0.281"
"2022","Wales","25 - 29","Scotland","Female","5","0"," "
"2023","Wales","25 - 29","Scotland","Female","5","5"," "
"2019","Scotland","30 - 34","Scotland","Female","1245","290","0.232"
"2020","Scotland","30 - 34","Scotland","Female","1335","340","0.256"
"2021","Scotland","30 - 34","Scotland","Female","1555","310","0.199"
"2022","Scotland","30 - 34","Scotland","Female","1040","275","0.263"
"2023","Scotland","30 - 34","Scotland","Female","825","235","0.28500000000000003"
"2019","Scotland","35 and over","Scotland","Female","2005","465","0.231"
"2020","Scotland","35 and over","Scotland","Female","2145","555","0.258"
"2021","Scotland","35 and over","Scotland","Female","2340","480","0.20600000000000002"
"2022","Scotland","35 and over","Scotland","Female","1705","440","0.257"
"2023","Scotland","35 and over","Scotland","Female","1405","450","0.32"
"2020","England","18","Wales","Female","5","0"," "
"2022","Wales","18","Wales","Female","15","0"," "
"2019","Scotland","21 - 24","Wales","Female","5","0"," "
"2020","Scotland","21 - 24","Wales","Female","15","0"," "
"2022","Scotland","21 - 24","Wales","Female","5","5"," "
"2023","Scotland","21 - 24","Wales","Female","10","0"," "
"2022","Wales","21 - 24","Wales","Female","1075","575","0.536"
"2023","Wales","21 - 24","Wales","Female","995","505","0.51"
"2019","Scotland","25 - 29","Wales","Female","5","0"," "
"2020","Scotland","25 - 29","Wales","Female","5","0"," "
"2021","Scotland","25 - 29","Wales","Female","5","0"," "
"2022","Scotland","25 - 29","Wales","Female","5","0"," "
"2023","Scotland","25 - 29","Wales","Female","5","0"," "
"2022","Wales","25 - 29","Wales","Female","355","195","0.549"
"2023","Wales","25 - 29","Wales","Female","300","155","0.523"
"2022","Wales","30 - 34","Wales","Female","110","65","0.5730000000000001"
"2023","Wales","30 - 34","Wales","Female","110","60","0.545"
"2022","Wales","35 and over","Wales","Female","140","70","0.486"
"2023","Wales","35 and over","Wales","Female","125","65","0.504"
"2019","Scotland","21 - 24","Not EU","Female","35","10"," "
"2020","Scotland","21 - 24","Not EU","Female","70","20","0.314"
"2021","Scotland","21 - 24","Not EU","Female","40","10"," "
"2022","Scotland","21 - 24","Not EU","Female","35","10"," "
"2023","Scotland","21 - 24","Not EU","Female","55","5"," "
"2022","Wales","21 - 24","Not EU","Female","10","5"," "
"2023","Wales","21 - 24","Not EU","Female","10","0"," "
"2019","Scotland","25 - 29","Not EU","Female","55","15","0.23600000000000002"
"2020","Scotland","25 - 29","Not EU","Female","45","10","0.267"
"2021","Scotland","25 - 29","Not EU","Female","55","15","0.273"
"2022","Scotland","25 - 29","Not EU","Female","50","10","0.22"
"2023","Scotland","25 - 29","Not EU","Female","50","15","0.26"
"2022","Wales","25 - 29","Not EU","Female","15","5"," "
"2023","Wales","25 - 29","Not EU","Female","5","0"," "
"2019","Scotland","30 - 34","Not EU","Female","25","5"," "
"2020","Scotland","30 - 34","Not EU","Female","30","5"," "
"2021","Scotland","30 - 34","Not EU","Female","25","5"," "
"2022","Scotland","30 - 34","Not EU","Female","40","15","0.4"
"2023","Scotland","30 - 34","Not EU","Female","45","5"," "
"2022","Wales","30 - 34","Not EU","Female","10","5"," "
"2023","Wales","30 - 34","Not EU","Female","5","5"," "
"2021","England","35 and over","Not EU","Female","5","0"," "
"2019","Scotland","35 and over","Not EU","Female","25","5"," "
"2020","Scotland","35 and over","Not EU","Female","25","5"," "
"2021","Scotland","35 and over","Not EU","Female","30","5"," "
"2022","Scotland","35 and over","Not EU","Female","50","5"," "
"2023","Scotland","35 and over","Not EU","Female","30","0"," "
"2022","Wales","35 and over","Not EU","Female","15","5"," "
"2023","Wales","35 and over","Not EU","Female","15","0"," "
"2020","Scotland","19","EU (excluding UK)","Female","5","0"," "
"2019","Scotland","20","EU (excluding UK)","Female","10","0"," "
"2020","Scotland","20","EU (excluding UK)","Female","10","0"," "
"2019","Scotland","21 - 24","EU (excluding UK)","Female","335","60","0.17300000000000001"
"2020","Scotland","21 - 24","EU (excluding UK)","Female","365","75","0.20800000000000002"
"2021","Scotland","21 - 24","EU (excluding UK)","Female","250","45","0.188"
"2022","Scotland","21 - 24","EU (excluding UK)","Female","110","20","0.164"
"2023","Scotland","21 - 24","EU (excluding UK)","Female","120","25","0.20800000000000002"
"2022","Wales","21 - 24","EU (excluding UK)","Female","30","15","0.467"
"2023","Wales","21 - 24","EU (excluding UK)","Female","20","10"," "
"2019","Scotland","25 - 29","EU (excluding UK)","Female","145","25","0.179"
"2020","Scotland","25 - 29","EU (excluding UK)","Female","235","50","0.20400000000000001"
"2021","Scotland","25 - 29","EU (excluding UK)","Female","155","30","0.187"
"2022","Scotland","25 - 29","EU (excluding UK)","Female","110","30","0.28200000000000003"
"2023","Scotland","25 - 29","EU (excluding UK)","Female","55","10","0.2"
"2022","Wales","25 - 29","EU (excluding UK)","Female","15","10","0.667"
"2023","Wales","25 - 29","EU (excluding UK)","Female","5","0"," "
"2019","Scotland","30 - 34","EU (excluding UK)","Female","75","15","0.2"
"2020","Scotland","30 - 34","EU (excluding UK)","Female","45","10","0.222"
"2021","Scotland","30 - 34","EU (excluding UK)","Female","35","5"," "
"2022","Scotland","30 - 34","EU (excluding UK)","Female","20","5"," "
"2023","Scotland","30 - 34","EU (excluding UK)","Female","10","5"," "
"2022","Wales","30 - 34","EU (excluding UK)","Female","5","0"," "
"2023","Wales","30 - 34","EU (excluding UK)","Female","5","0"," "
"2019","Scotland","35 and over","EU (excluding UK)","Female","35","10"," "
"2020","Scotland","35 and over","EU (excluding UK)","Female","35","5"," "
"2021","Scotland","35 and over","EU (excluding UK)","Female","10","0"," "
"2022","Scotland","35 and over","EU (excluding UK)","Female","15","5"," "
"2023","Scotland","35 and over","EU (excluding UK)","Female","10","5"," "
"2022","Wales","35 and over","EU (excluding UK)","Female","10","0"," "
"2023","Wales","35 and over","EU (excluding UK)","Female","5","0"," "
"2019","Scotland","21 - 24","Northern Ireland","Male","40","5"," "
"2020","Scotland","21 - 24","Northern Ireland","Male","20","0"," "
"2021","Scotland","21 - 24","Northern Ireland","Male","65","5"," "
"2022","Scotland","21 - 24","Northern Ireland","Male","60","15","0.267"
"2023","Scotland","21 - 24","Northern Ireland","Male","10","5"," "
