"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","UK","England","England","18","Female","5","0"," "
"2022","UK","England","England","18","Female","5","0"," "
"2019","UK","Scotland","Scotland","18","Female","15","0"," "
"2020","UK","Scotland","Scotland","18","Female","25","0"," "
"2021","UK","Scotland","Scotland","18","Female","15","0"," "
"2022","UK","Scotland","Scotland","18","Female","20","0"," "
"2023","UK","Scotland","Scotland","18","Female","20","0"," "
"2020","UK","Wales","Wales","18","Female","5","0"," "
"2022","UK","Wales","Wales","18","Female","15","0"," "
"2019","UK","Scotland","Scotland","19","Female","5","0"," "
"2021","UK","Scotland","Scotland","19","Female","10","0"," "
"2022","UK","Scotland","Scotland","19","Female","10","0"," "
"2023","UK","Scotland","Scotland","19","Female","10","0"," "
"2019","UK","Scotland","Scotland","20","Female","10","0"," "
"2020","UK","Scotland","Scotland","20","Female","10","0"," "
"2021","UK","Scotland","Scotland","20","Female","25","0"," "
"2022","UK","Scotland","Scotland","20","Female","15","0"," "
"2023","UK","Scotland","Scotland","20","Female","5","0"," "
"2019","International","EU (excluding UK)","France","20","Female","5","0"," "
"2020","International","EU (excluding UK)","France","20","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","20","Female","5","0"," "
"2020","International","EU (excluding UK)","Ireland","20","Female","5","0"," "
"2019","UK","England","England","21 - 24","Female","145","45","0.297"
"2020","UK","England","England","21 - 24","Female","85","20","0.23500000000000001"
"2021","UK","England","England","21 - 24","Female","200","50","0.255"
"2022","UK","England","England","21 - 24","Female","225","95","0.431"
"2023","UK","England","England","21 - 24","Female","185","80","0.427"
"2019","UK","Northern Ireland","Northern Ireland","21 - 24","Female","150","25","0.16"
"2020","UK","Northern Ireland","Northern Ireland","21 - 24","Female","110","25","0.209"
"2021","UK","Northern Ireland","Northern Ireland","21 - 24","Female","165","30","0.188"
"2022","UK","Northern Ireland","Northern Ireland","21 - 24","Female","110","30","0.273"
"2023","UK","Northern Ireland","Northern Ireland","21 - 24","Female","70","10","0.171"
"2019","UK","Scotland","Scotland","21 - 24","Female","4260","1020","0.23900000000000002"
"2020","UK","Scotland","Scotland","21 - 24","Female","4635","1090","0.23500000000000001"
"2021","UK","Scotland","Scotland","21 - 24","Female","5970","1230","0.20600000000000002"
"2022","UK","Scotland","Scotland","21 - 24","Female","4365","1190","0.273"
"2023","UK","Scotland","Scotland","21 - 24","Female","3730","1140","0.306"
"2019","UK","Wales","Wales","21 - 24","Female","5","0"," "
