"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2020","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001"
"2021","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.786"
"2022","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.625"
"2022","White","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","25","20","0.8150000000000001"
"2023","White","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","35","30","0.861"
"2023","Asian","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Asian","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.778"
"2020","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","25","20","0.833"
"2021","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.714"
"2023","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.867"
"2022","White","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001"
"2023","White","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
