"Year","Ethnic group","Deferred entry","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","White","Not deferred","14530","3390","0.233"
"2020","White","Not deferred","14785","3585","0.242"
"2021","White","Not deferred","18985","3875","0.20400000000000001"
"2022","White","Not deferred","16040","4750","0.296"
"2023","White","Not deferred","12445","4110","0.33"
"2019","Black","Not deferred","95","10","0.116"
"2020","Black","Not deferred","110","10","0.1"
"2021","Black","Not deferred","135","20","0.163"
"2022","Black","Not deferred","105","25","0.248"
"2023","Black","Not deferred","145","25","0.186"
"2019","Asian","Not deferred","565","110","0.191"
"2020","Asian","Not deferred","490","95","0.194"
"2021","Asian","Not deferred","600","120","0.197"
"2022","Asian","Not deferred","490","115","0.233"
"2023","Asian","Not deferred","525","125","0.234"
"2019","Mixed","Not deferred","220","45","0.214"
"2020","Mixed","Not deferred","220","50","0.223"
"2021","Mixed","Not deferred","260","55","0.219"
"2022","Mixed","Not deferred","280","100","0.364"
"2023","Mixed","Not deferred","280","95","0.332"
"2019","Other","Not deferred","55","5"," "
"2020","Other","Not deferred","110","20","0.191"
"2021","Other","Not deferred","85","10"," "
"2022","Other","Not deferred","95","20","0.221"
"2023","Other","Not deferred","95","25","0.263"
"2019","Unknown or Prefer Not To Say","Not deferred","130","25","0.20800000000000002"
"2020","Unknown or Prefer Not To Say","Not deferred","150","40","0.28"
"2021","Unknown or Prefer Not To Say","Not deferred","235","55","0.243"
"2022","Unknown or Prefer Not To Say","Not deferred","145","45","0.303"
"2023","Unknown or Prefer Not To Say","Not deferred","145","50","0.331"
"2019","White","Deferred","205","25","0.132"
"2020","White","Deferred","155","35","0.23900000000000002"
"2021","White","Deferred","100","40","0.41000000000000003"
"2022","White","Deferred","245","85","0.35100000000000003"
"2023","White","Deferred","210","70","0.329"
"2019","Black","Deferred","5","0"," "
"2020","Black","Deferred","5","0"," "
"2019","Asian","Deferred","10","0"," "
"2020","Asian","Deferred","5","5"," "
"2022","Asian","Deferred","5","0"," "
"2023","Asian","Deferred","5","0"," "
"2021","Mixed","Deferred","5","0"," "
"2022","Mixed","Deferred","5","0"," "
"2023","Mixed","Deferred","5","0"," "
"2023","Other","Deferred","5","0"," "
"2021","Unknown or Prefer Not To Say","Deferred","5","0"," "
"2022","Unknown or Prefer Not To Say","Deferred","5","0"," "
"2023","Unknown or Prefer Not To Say","Deferred","5","0"," "
"2019","All","Not deferred","15600","3585","0.23"
"2020","All","Not deferred","15865","3805","0.24"
"2021","All","Not deferred","20300","4135","0.20400000000000001"
"2022","All","Not deferred","17155","5055","0.295"
"2023","All","Not deferred","13640","4425","0.324"
"2019","All","Deferred","225","30","0.124"
"2020","All","Deferred","170","40","0.241"
"2021","All","Deferred","115","45","0.374"
"2022","All","Deferred","260","90","0.35000000000000003"
"2023","All","Deferred","230","75","0.326"
"2019","White","All","14735","3415","0.232"
"2020","White","All","14945","3620","0.242"
"2021","White","All","19085","3915","0.20500000000000002"
"2022","White","All","16285","4835","0.297"
"2023","White","All","12655","4175","0.33"
"2019","Black","All","100","10","0.11"
"2020","Black","All","115","10","0.096"
"2021","Black","All","135","20","0.163"
"2022","Black","All","110","25","0.245"
"2023","Black","All","145","30","0.193"
"2019","Asian","All","575","110","0.19"
"2020","Asian","All","495","100","0.2"
"2021","Asian","All","605","120","0.195"
"2022","Asian","All","495","115","0.232"
"2023","Asian","All","530","125","0.234"
"2019","Mixed","All","225","45","0.209"
"2020","Mixed","All","220","50","0.223"
"2021","Mixed","All","265","55","0.215"
"2022","Mixed","All","280","105","0.368"
"2023","Mixed","All","290","95","0.324"
"2019","Other","All","55","5"," "
"2020","Other","All","110","20","0.191"
"2021","Other","All","85","10"," "
"2022","Other","All","95","20","0.221"
"2023","Other","All","100","25","0.26"
"2019","Unknown or Prefer Not To Say","All","135","25","0.2"
"2020","Unknown or Prefer Not To Say","All","150","40","0.28"
"2021","Unknown or Prefer Not To Say","All","245","60","0.23700000000000002"
"2022","Unknown or Prefer Not To Say","All","150","45","0.307"
"2023","Unknown or Prefer Not To Say","All","145","50","0.34500000000000003"
"2019","All","All","15825","3610","0.228"
"2020","All","All","16035","3845","0.24"
"2021","All","All","20415","4180","0.20500000000000002"
"2022","All","All","17420","5145","0.295"
"2023","All","All","13865","4500","0.324"
