"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","21 - 24","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","21 - 24","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","21 - 24","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","25 - 29","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","25 - 29","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","25 - 29","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","35 and over","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","35 and over","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","Female","35 and over","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","35 and over","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","35 and over","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","Male","35 and over","England","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","15","10","0.769","0"
"2020","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.714","0"
