"Year","Tariff group of provider","Deferred entry","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","Lower tariff","Not deferred","40","30","0.7000000000000001"
"2020","Lower tariff","Not deferred","55","20","0.364"
"2021","Lower tariff","Not deferred","50","30","0.58"
"2022","Lower tariff","Not deferred","1865","1020","0.546"
"2023","Lower tariff","Not deferred","1570","850","0.543"
"2019","Higher tariff","Not deferred","13030","3115","0.23900000000000002"
"2020","Higher tariff","Not deferred","13285","3320","0.25"
"2021","Higher tariff","Not deferred","16570","3420","0.20600000000000002"
"2022","Higher tariff","Not deferred","12065","3145","0.261"
"2023","Higher tariff","Not deferred","9260","2700","0.292"
"2019","Medium tariff","Not deferred","3515","620","0.177"
"2020","Medium tariff","Not deferred","3660","705","0.193"
"2021","Medium tariff","Not deferred","4465","820","0.184"
"2022","Medium tariff","Not deferred","4030","1080","0.268"
"2023","Medium tariff","Not deferred","3400","980","0.28800000000000003"
"2022","Lower tariff","Deferred","40","30","0.8"
"2023","Lower tariff","Deferred","35","25","0.714"
"2019","Higher tariff","Deferred","135","15","0.126"
"2020","Higher tariff","Deferred","125","25","0.192"
"2021","Higher tariff","Deferred","90","25","0.278"
"2022","Higher tariff","Deferred","160","30","0.2"
"2023","Higher tariff","Deferred","135","25","0.193"
"2019","Medium tariff","Deferred","110","10","0.109"
"2020","Medium tariff","Deferred","50","20","0.38"
"2021","Medium tariff","Deferred","30","20","0.667"
"2022","Medium tariff","Deferred","75","35","0.48"
"2023","Medium tariff","Deferred","70","25","0.386"
"2019","All","Not deferred","16585","3765","0.227"
"2020","All","Not deferred","17000","4050","0.23800000000000002"
"2021","All","Not deferred","21085","4270","0.202"
"2022","All","Not deferred","17965","5245","0.292"
"2023","All","Not deferred","14230","4530","0.318"
"2019","All","Deferred","240","30","0.125"
"2020","All","Deferred","175","45","0.246"
"2021","All","Deferred","120","45","0.375"
"2022","All","Deferred","275","100","0.364"
"2023","All","Deferred","240","80","0.325"
"2019","Lower tariff","All","45","30","0.644"
"2020","Lower tariff","All","55","20","0.364"
"2021","Lower tariff","All","50","30","0.58"
"2022","Lower tariff","All","1910","1050","0.55"
"2023","Lower tariff","All","1605","875","0.546"
"2019","Higher tariff","All","13165","3135","0.23800000000000002"
"2020","Higher tariff","All","13405","3345","0.25"
"2021","Higher tariff","All","16660","3445","0.20700000000000002"
"2022","Higher tariff","All","12225","3180","0.26"
"2023","Higher tariff","All","9395","2730","0.29"
"2019","Medium tariff","All","3620","635","0.17500000000000002"
"2020","Medium tariff","All","3710","725","0.196"
"2021","Medium tariff","All","4500","840","0.187"
"2022","Medium tariff","All","4105","1120","0.272"
"2023","Medium tariff","All","3470","1005","0.29"
"2019","All","All","16830","3795","0.225"
"2020","All","All","17175","4090","0.23800000000000002"
"2021","All","All","21205","4315","0.203"
"2022","All","All","18235","5345","0.293"
"2023","All","All","14470","4610","0.319"
