"Year","UK region declared county of residence","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2006","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2006","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2009","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2009","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2014","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2018","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2020","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2021","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2007","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2008","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2015","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2023","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2006","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.96","5"
"2009","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","10"
