"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2006","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2009","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2008","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","10"
"2009","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2010","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2022","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","35","35","1","0"
"2023","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2006","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2008","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2015","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
