"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","North East","18","England","Female","Not main scheme applicant","Not main scheme application","70","16650","0.004"
"2007","North East","18","England","Female","Not main scheme applicant","Not main scheme application","80","16030","0.005"
"2008","North East","18","England","Female","Not main scheme applicant","Not main scheme application","60","16030","0.004"
"2009","North East","18","England","Female","Not main scheme applicant","Not main scheme application","50","16600","0.003"
"2010","North East","18","England","Female","Not main scheme applicant","Not main scheme application","20","16770","0.001"
"2011","North East","18","England","Female","Not main scheme applicant","Not main scheme application","20","15860","0.001"
"2012","North East","18","England","Female","Not main scheme applicant","Not main scheme application","40","15420","0.002"
"2013","North East","18","England","Female","Not main scheme applicant","Not main scheme application","60","14970","0.004"
"2014","North East","18","England","Female","Not main scheme applicant","Not main scheme application","50","14570","0.003"
"2015","North East","18","England","Female","Not main scheme applicant","Not main scheme application","50","15000","0.003"
"2016","North East","18","England","Female","Not main scheme applicant","Not main scheme application","60","14570","0.004"
"2017","North East","18","England","Female","Not main scheme applicant","Not main scheme application","70","14130","0.005"
"2018","North East","18","England","Female","Not main scheme applicant","Not main scheme application","150","13670","0.011"
"2019","North East","18","England","Female","Not main scheme applicant","Not main scheme application","120","13210","0.009000000000000001"
"2020","North East","18","England","Female","Not main scheme applicant","Not main scheme application","140","12900","0.011"
"2021","North East","18","England","Female","Not main scheme applicant","Not main scheme application","120","13170","0.009000000000000001"
"2022","North East","18","England","Female","Not main scheme applicant","Not main scheme application","140","13670","0.01"
"2023","North East","18","England","Female","Not main scheme applicant","Not main scheme application","130","14080","0.009000000000000001"
"2006","North West","18","England","Female","Not main scheme applicant","Not main scheme application","210","46220","0.005"
"2007","North West","18","England","Female","Not main scheme applicant","Not main scheme application","230","45060","0.005"
"2008","North West","18","England","Female","Not main scheme applicant","Not main scheme application","230","45760","0.005"
"2009","North West","18","England","Female","Not main scheme applicant","Not main scheme application","190","46850","0.004"
"2010","North West","18","England","Female","Not main scheme applicant","Not main scheme application","90","46390","0.002"
"2011","North West","18","England","Female","Not main scheme applicant","Not main scheme application","60","43920","0.001"
"2012","North West","18","England","Female","Not main scheme applicant","Not main scheme application","120","42820","0.003"
"2013","North West","18","England","Female","Not main scheme applicant","Not main scheme application","150","41750","0.004"
"2014","North West","18","England","Female","Not main scheme applicant","Not main scheme application","160","41450","0.004"
"2015","North West","18","England","Female","Not main scheme applicant","Not main scheme application","170","42590","0.004"
"2016","North West","18","England","Female","Not main scheme applicant","Not main scheme application","180","40720","0.004"
"2017","North West","18","England","Female","Not main scheme applicant","Not main scheme application","220","40400","0.005"
"2018","North West","18","England","Female","Not main scheme applicant","Not main scheme application","270","39050","0.007"
"2019","North West","18","England","Female","Not main scheme applicant","Not main scheme application","280","38400","0.007"
"2020","North West","18","England","Female","Not main scheme applicant","Not main scheme application","330","37720","0.009000000000000001"
"2021","North West","18","England","Female","Not main scheme applicant","Not main scheme application","230","38390","0.006"
"2022","North West","18","England","Female","Not main scheme applicant","Not main scheme application","210","39690","0.005"
"2023","North West","18","England","Female","Not main scheme applicant","Not main scheme application","240","41220","0.006"
