"Entry year","Provider name","Accepted applicants"
"2006 - 2007","B88 Brockenhurst College","10"
"2007 - 2008","B88 Brockenhurst College","10"
"2016 - 2017","C96 City of Wolverhampton College","10"
"2007 - 2008","E78 European School of Economics","5"
"2008 - 2009","E78 European School of Economics","10"
"2010 - 2011","E78 European School of Economics","10"
"2011 - 2012","E78 European School of Economics","15"
"2013 - 2014","F50 Fareham College","10"
"2006 - 2007","H39 Highbury College","25"
"2007 - 2008","H39 Highbury College","30"
"2008 - 2009","H39 Highbury College","35"
"2009 - 2010","H39 Highbury College","40"
"2010 - 2011","H39 Highbury College","25"
"2011 - 2012","H39 Highbury College","35"
"2012 - 2013","H39 Highbury College","45"
"2013 - 2014","H39 Highbury College","50"
"2014 - 2015","H39 Highbury College","30"
"2015 - 2016","H39 Highbury College","20"
"2016 - 2017","H39 Highbury College","5"
"2017 - 2018","H39 Highbury College","10"
"2023 - 2024","J01 SP Jain London School of Management","5"
"2013 - 2014","K05 Kaplan Holborn College","80"
"2014 - 2015","K05 Kaplan Holborn College","75"
"2006 - 2007","H50 Holborn College","20"
"2007 - 2008","H50 Holborn College","5"
"2008 - 2009","H50 Holborn College","5"
"2009 - 2010","H50 Holborn College","290"
"2011 - 2012","H50 Holborn College","95"
"2012 - 2013","H50 Holborn College","80"
"2016 - 2017","K20 Kogan Academy of Dramatic Arts","5"
"2007 - 2008","H58 Kirklees College (Formerly Huddersfield Technical College)","10"
"2009 - 2010","H58 Kirklees College (Formerly Huddersfield Technical College)","5"
"2006 - 2007","D45 Kirklees College (Formerly Dewsbury College)","70"
"2007 - 2008","D45 Kirklees College (Formerly Dewsbury College)","115"
"2008 - 2009","D45 Kirklees College (Formerly Dewsbury College)","95"
"2009 - 2010","D45 Kirklees College (Formerly Dewsbury College)","120"
"2010 - 2011","K90 Kirklees College","185"
"2011 - 2012","K90 Kirklees College","170"
"2012 - 2013","K90 Kirklees College","140"
"2013 - 2014","K90 Kirklees College","135"
"2014 - 2015","K90 Kirklees College","145"
"2015 - 2016","K90 Kirklees College","110"
"2016 - 2017","K90 Kirklees College","115"
"2017 - 2018","K90 Kirklees College","35"
"2023 - 2024","L03 LAMDA (London Academy of Music and Dramatic Art)","5"
"2008 - 2009","L71 London School of Science & Technology","10"
"2011 - 2012","L71 London School of Science & Technology","5"
"2023 - 2024","M01 International Business College Manchester","5"
"2013 - 2014","M05 Macclesfield College","5"
"2014 - 2015","M05 Macclesfield College","10"
"2007 - 2008","M77 Mid Cheshire College","10"
"2008 - 2009","M77 Mid Cheshire College","5"
"2009 - 2010","M77 Mid Cheshire College","10"
"2010 - 2011","M77 Mid Cheshire College","10"
"2011 - 2012","M77 Mid Cheshire College","5"
"2012 - 2013","M77 Mid Cheshire College","5"
"2016 - 2017","M77 Mid Cheshire College","65"
"2017 - 2018","M77 Mid Cheshire College","15"
"2006 - 2007","M95 Mountview Academy of Theatre Arts","95"
"2007 - 2008","M95 Mountview Academy of Theatre Arts","105"
"2008 - 2009","M95 Mountview Academy of Theatre Arts","35"
"2009 - 2010","M95 Mountview Academy of Theatre Arts","35"
"2010 - 2011","M95 Mountview Academy of Theatre Arts","25"
"2011 - 2012","M95 Mountview Academy of Theatre Arts","35"
"2012 - 2013","M95 Mountview Academy of Theatre Arts","25"
"2013 - 2014","M95 Mountview Academy of Theatre Arts","25"
"2014 - 2015","M95 Mountview Academy of Theatre Arts","25"
"2015 - 2016","M95 Mountview Academy of Theatre Arts","25"
"2007 - 2008","N51 New College Telford","10"
"2008 - 2009","N51 New College Telford","10"
"2009 - 2010","N51 New College Telford","5"
"2010 - 2011","N51 New College Telford","10"
"2011 - 2012","N51 New College Telford","10"
"2012 - 2013","N51 New College Telford","5"
"2013 - 2014","N51 New College Telford","5"
"2014 - 2015","N51 New College Telford","15"
"2015 - 2016","N51 New College Telford","10"
"2016 - 2017","N51 New College Telford","5"
"2017 - 2018","N51 New College Telford","10"
