"Year","Provider name mapped","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component","Proportion of offers that were conditional unconditional offers","Proportion of offers that were direct unconditional offers","Proportion of offers that were other unconditional offers","Proportion of offers that had an unconditional component"
"2013","A10 Abbey College","0","0","0","0"," "," "," "," "
"2014","A10 Abbey College","0","0","0","0"," "," "," "," "
"2015","A10 Abbey College","0","0","0","0"," "," "," "," "
"2016","A10 Abbey College","0","0","0","0"," "," "," "," "
"2017","A10 Abbey College","0","0","0","0"," "," "," "," "
"2018","A10 Abbey College","0","0","0","0"," "," "," "," "
"2019","A10 Abbey College","0","0","0","0"," "," "," "," "
"2020","A10 Abbey College","0","0","0","0"," "," "," "," "
"2021","A10 Abbey College","0","0","0","0"," "," "," "," "
"2022","A10 Abbey College","0","0","0","0"," "," "," "," "
"2023","A10 Abbey College","0","0","0","0"," "," "," "," "
"2013","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2014","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2015","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2016","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2017","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2018","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2019","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2020","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2021","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2022","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2023","B55 Boomsatsuma","0","0","0","0"," "," "," "," "
"2013","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2014","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2015","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2016","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2017","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2018","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2019","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2020","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2021","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2022","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2023","B88 Brockenhurst College","0","0","0","0"," "," "," "," "
"2013","B95 Burton College","0","0","0","0"," "," "," "," "
"2014","B95 Burton College","0","0","0","0"," "," "," "," "
"2015","B95 Burton College","0","0","0","0"," "," "," "," "
"2016","B95 Burton College","0","0","0","0"," "," "," "," "
"2017","B95 Burton College","0","0","0","0"," "," "," "," "
"2018","B95 Burton College","0","0","0","0"," "," "," "," "
"2019","B95 Burton College","0","0","0","0"," "," "," "," "
"2020","B95 Burton College","0","0","0","0"," "," "," "," "
"2021","B95 Burton College","0","0","0","0"," "," "," "," "
"2022","B95 Burton College","0","0","0","0"," "," "," "," "
"2023","B95 Burton College","0","0","0","0"," "," "," "," "
"2013","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2014","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2015","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2016","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2017","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2018","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2019","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2020","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2021","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2022","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2023","B98 Buckswood St George's","0","0","0","0"," "," "," "," "
"2013","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2014","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2015","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2016","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2017","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2018","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2019","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2020","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2021","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2022","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2023","C26 CECOS London College of IT and Management","0","0","0","0"," "," "," "," "
"2013","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2014","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2015","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2016","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2017","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2018","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2019","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2020","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2021","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2022","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2023","C28 CCP Graduate School Ltd","0","0","0","0"," "," "," "," "
"2013","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2014","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2015","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2016","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2017","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2018","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2019","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2020","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2021","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2022","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2023","C29 University Campus Scarborough","0","0","0","0"," "," "," "," "
"2013","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2014","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2015","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2016","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2017","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2018","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2019","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2020","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2021","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2022","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2023","C31 Christ the Redeemer College","0","0","0","0"," "," "," "," "
"2013","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2014","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2015","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2016","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2017","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2018","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2019","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2020","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2021","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2022","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2023","C52 Collective Acting Studio","0","0","0","0"," "," "," "," "
"2013","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2014","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2015","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2016","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2017","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2018","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2019","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2020","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2021","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2022","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2023","C96 City of Wolverhampton College","0","0","0","0"," "," "," "," "
"2013","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2014","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2015","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2016","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2017","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2018","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2019","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2020","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2021","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2022","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2023","D70 Dunstable College","0","0","0","0"," "," "," "," "
"2013","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2014","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2015","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2016","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2017","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2018","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2019","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2020","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2021","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2022","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2023","E21 East End Computing and Business College","0","0","0","0"," "," "," "," "
"2013","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2014","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2015","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2016","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2017","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2018","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2019","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2020","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2021","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2022","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2023","E78 European School of Economics","0","0","0","0"," "," "," "," "
"2013","F50 Fareham College","0","0","0","0"," "," "," "," "
"2014","F50 Fareham College","0","0","0","0"," "," "," "," "
"2015","F50 Fareham College","0","0","0","0"," "," "," "," "
"2016","F50 Fareham College","0","0","0","0"," "," "," "," "
"2017","F50 Fareham College","0","0","0","0"," "," "," "," "
"2018","F50 Fareham College","0","0","0","0"," "," "," "," "
