Code,Subject,Level,Year,Total,A,B,C,D,E,F,NG
1,IRISH                  ,A,2013,27360,10.8,30.6,37,19.3,2.1,0.3,0
1,IRISH                  ,B,2013,1388,12.2,34.9,33.2,15.7,3.5,0.4,0.1
1,IRISH                  ,G,2013,23245,3,31.2,41.8,20.2,3.3,0.4,0.1
2,ENGLISH                ,A,2013,43332,10.6,26.3,38.5,22.5,1.9,0.2,0
2,ENGLISH                ,B,2013,1290,10.7,31.7,37.3,16.5,2.2,1.1,0.5
2,ENGLISH                ,G,2013,14633,6.5,31,43.2,17.7,1.2,0.2,0
3,MATHEMATICS            ,A,2013,30500,12,32.3,34.1,18.4,2.8,0.5,0
3,MATHEMATICS            ,B,2013,3901,12.5,35.9,35.8,13,2.2,0.3,0.2
3,MATHEMATICS            ,G,2013,24687,9.9,35.5,31.8,17.7,4.1,1,0.1
4,HISTORY                ,A,2013,38990,15.2,29.8,27.1,19.7,6.4,1.7,0.1
4,HISTORY                ,G,2013,15514,11.3,33.2,31,20.7,2.8,1,0.1
5,GEOGRAPHY              ,A,2013,45939,8.9,28.5,33.9,24,4.2,0.4,0
5,GEOGRAPHY              ,G,2013,9403,8.5,33.3,34.5,18.9,4,0.9,0
6,LATIN                  ,A,2013,351,39,27.9,17.4,10.3,3.7,1.1,0.6
6,LATIN                  ,G,2013,16,6.3,12.5,31.3,37.5,6.3,6.3,0
7,ANCIENT GREEK          ,A,2013,27,37,25.9,14.8,22.2,0,0,0
8,CLASSICAL STUDIES      ,A,2013,629,20,31.8,24.5,16.4,5.6,1.7,0
8,CLASSICAL STUDIES      ,G,2013,89,4.5,18,28.1,29.2,13.5,4.5,2.2
10,FRENCH                 ,A,2013,26312,10.3,28.1,32.2,23.7,5.2,0.5,0
10,FRENCH                 ,G,2013,7961,3.5,21.4,32.9,31.1,9.7,1.2,0.1
11,GERMAN                 ,A,2013,7640,12.5,31.1,32.7,20,3.4,0.4,0.1
11,GERMAN                 ,G,2013,2512,5,35.5,34.4,16.9,4.8,2.7,0.6
12,SPANISH                ,A,2013,5642,14.5,31.3,30.5,19.1,3.9,0.7,0.1
12,SPANISH                ,G,2013,1929,4.8,32.5,34.7,20.2,6,1.7,0.2
13,ITALIAN                ,A,2013,396,19.7,24.2,25.3,22.5,7.3,1,0
13,ITALIAN                ,G,2013,148,4.7,23.6,35.1,29.7,6.8,0,0
40,TYPEWRITING            ,A,2013,85,34.1,42.4,18.8,4.7,0,0,0
40,TYPEWRITING            ,G,2013,188,29.8,39.9,21.3,7.4,1.6,0,0
41,ART  CRAFT  DESIGN     ,A,2013,15969,24.7,31.9,32.3,9.8,1.2,0.2,0
41,ART  CRAFT  DESIGN     ,G,2013,5786,15.6,31.9,31.6,13.6,5,2,0.2
42,BUSINESS STUDIES       ,A,2013,25837,9.5,34.3,35,18.8,2,0.3,0
42,BUSINESS STUDIES       ,G,2013,7983,7.6,40,32.3,14.2,4.3,1.4,0.3
46,MUSIC                  ,A,2013,9058,12.2,41,33.4,12.3,0.8,0.4,0
46,MUSIC                  ,G,2013,1885,1.2,24.7,41.9,23.4,4.3,4.4,0.2
47,MATERIAL TECHNOLOGY (W ,A,2013,13280,9.9,41.1,34.1,12.9,1.4,0.4,0.2
