,Subject,              Level,Year, Total,         A1,        A2,        B1,        B2,        B3,        C1,        C2,        C3,        D1,        D2,        D3,        E,         F,         NG
1,IRISH                  ,A,2013,16665,5.9,9.5,12.2,13.6,14.2,14,12,9.1,5.3,2.7,1.2,0.3,0.1,0
1,IRISH                  ,B,2013,3916,2.4,4.4,7.8,9.5,12.4,12.6,12.3,11.2,9.2,6.9,5.5,4.7,1,0.1
1,IRISH                  ,G,2013,23066,0.4,2.2,5.5,10,13.8,15.1,14.3,12.2,9.4,6.9,5.7,3.6,0.7,0.1
2,ENGLISH                ,A,2013,33275,3.7,6.1,5.1,9.1,12.5,12.2,14.4,13.1,10.8,6.8,4.5,1.5,0.1,0
2,ENGLISH                ,G,2013,17539,2,5.5,4.2,9.1,15.6,12,14.8,12.9,8.5,6.5,5.3,2.6,0.8,0.2
3,MATHEMATICS            ,A,2013,13014,5.6,5.6,6.5,8.5,10.1,12.2,12.8,11.9,10.3,7.3,6,2.9,0.3,0.1
3,MATHEMATICS            ,B,2013,5677,1.6,2.9,6,10.2,13.6,14.8,14.3,10.8,9.2,5.9,5.5,3.8,1.2,0.2
3,MATHEMATICS            ,G,2013,32165,1.6,3.8,6.3,8.9,10.1,11,11.6,11,9.4,8.4,8.5,7.1,1.9,0.3
4,HISTORY                ,A,2013,7785,6.4,6.4,8.7,10.6,11.7,11.4,11.3,9.7,7,6.4,6.2,3.3,0.7,0.1
4,HISTORY                ,G,2013,4037,7.8,7.7,6.5,10,11.6,7.5,10.5,11.4,7,8.2,7.1,3.8,0.8,0.1
5,GEOGRAPHY              ,A,2013,19761,3.3,5.6,7.2,9.7,12.6,12.6,12.8,11.5,9.3,7,5.6,2.6,0.2,0
5,GEOGRAPHY              ,G,2013,5533,1.7,2.9,5.1,7.9,11.8,14.3,15.4,14.7,8.6,6.7,5.7,4.1,0.7,0.1
6,LATIN                  ,A,2013,91,22,18.7,13.2,13.2,7.7,2.2,5.5,5.5,3.3,1.1,2.2,3.3,2.2,0
8,CLASSICAL STUDIES      ,A,2013,542,5.4,6.8,10,10.9,10.7,10.9,11.6,6.5,5.5,4.2,7.4,6.8,3,0.4
8,CLASSICAL STUDIES      ,G,2013,62,0,3.2,3.2,3.2,12.9,12.9,4.8,6.5,4.8,16.1,12.9,12.9,6.5,0
10,FRENCH                 ,A,2013,14186,6.4,6.8,8.5,9.3,10.6,11,10.9,11.1,9.5,7.7,5.7,2.3,0.1,0
10,FRENCH                 ,G,2013,11329,0.2,1.1,3.5,7.4,11.6,14.3,13.8,12.5,10.9,8.6,7.9,6.7,1.4,0.1
11,GERMAN                 ,A,2013,4325,7.9,7,8.3,9.9,11.1,11.3,11,9.6,8.5,6.6,5.7,2.8,0.3,0
11,GERMAN                 ,G,2013,2319,0.2,2.2,7.4,10.1,11.7,12.7,12.1,10.2,8.8,6.9,8.4,6.8,2.3,0.1
12,SPANISH                ,A,2013,2961,8.5,8,8.3,9.7,11,11.6,12.2,10.1,9.1,6.3,3.3,1.8,0.1,0
