Code,Subject,         Level,Year,    Total,         A,         B,         C,         D,         E,         F,         NG,
  1,IRISH                  ,A,   2016,29770,        11.90,    35.80,    36.60,    14.50,     1.10,     0.20,     0.00,
  1,IRISH                  ,B,   2016, 1224,         8.40,    32.20,    38.10,    19.00,     2.00,     0.20,     0.00,
  1,IRISH                  ,G,   2016,21566,         2.50,    29.80,    43.80,    20.20,     3.10,     0.50,     0.00,
  3,MATHEMATICS            ,A,   2016,32830,        11.70,    31.60,    33.00,    20.20,     3.10,     0.40,     0.00,
  3,MATHEMATICS            ,B,   2016, 2978,         9.50,    36.60,    34.80,    15.60,     2.60,     0.80,     0.10,
  3,MATHEMATICS            ,G,   2016,23781,         7.60,    30.80,    33.40,    22.10,     4.90,     1.10,     0.10,
  4,HISTORY                ,A,   2016,39993,        16.30,    24.60,    27.60,    21.60,     7.80,     2.00,     0.10,
  4,HISTORY                ,G,   2016,14254,        12.40,    30.30,    30.50,    22.30,     2.70,     1.60,     0.30,
  5,GEOGRAPHY              ,A,   2016,47594,         8.60,    30.90,    34.30,    22.70,     3.30,     0.30,     0.00,
  5,GEOGRAPHY              ,G,   2016, 8161,         9.00,    35.60,    31.10,    18.80,     4.30,     1.20,     0.10,
  6,LATIN                  ,A,   2016,  255,        32.50,    29.80,    21.60,    11.80,     4.30,     0.00,     0.00,
  6,LATIN                  ,G,   2016,   14,         7.10,    28.60,    28.60,    14.30,    14.30,     7.10,     0.00,
  7,ANCIENT GREEK          ,A,   2016,   39,        28.20,    35.90,    12.80,    15.40,     7.70,     0.00,     0.00,
  8,CLASSICAL STUDIES      ,A,   2016,  516,        20.70,    28.10,    27.70,    17.60,     3.90,     1.70,     0.20,
  8,CLASSICAL STUDIES      ,G,   2016,   56,         5.40,    33.90,    26.80,    17.90,     7.10,     5.40,     3.60,
 10,FRENCH                 ,A,   2016,24197,        10.50,    28.20,    33.20,    22.90,     4.70,     0.60,     0.00,
 10,FRENCH                 ,G,   2016, 7412,         3.30,    24.30,    36.50,    28.30,     6.20,     1.20,     0.10,
 11,GERMAN                 ,A,   2016, 9128,        12.20,    31.80,    31.90,    19.50,     4.00,     0.60,     0.10,
 11,GERMAN                 ,G,   2016, 2705,         4.40,    35.90,    34.60,    17.60,     5.00,     2.10,     0.40,
 12,SPANISH                ,A,   2016, 6874,        14.80,    32.40,    31.10,    18.30,     3.00,     0.50,     0.00,
 12,SPANISH                ,G,   2016, 2170,         5.30,    32.50,    33.50,    20.00,     6.20,     2.10,     0.50,
 13,ITALIAN                ,A,   2016,  339,        20.90,    23.90,    31.30,    18.30,     5.00,     0.60,     0.00,
 13,ITALIAN                ,G,   2016,  120,         2.50,    24.20,    28.30,    32.50,     9.20,     3.30,     0.00,
 40,TYPEWRITING            ,A,   2016,   14,        14.30,    57.10,    21.40,     7.10,     0.00,     0.00,     0.00,
