Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
1,IRISH                  ,A,2019,23176,5.7,17.7,22.4,23,18.3,9.6,2.8,0.4
1,IRISH                  ,B,2019,2834,1.9,11.8,19.9,24.5,20.9,12,6.2,2.9
1,IRISH                  ,G,2019,22324,0.3,5.2,18.5,26.2,25,15.7,6.3,2.8
2,ENGLISH                ,A,2019,40217,2.9,10,20.4,27.6,23.8,12,2.6,0.6
2,ENGLISH                ,G,2019,14477,1.5,7.2,20.3,28.1,23.5,12.7,4.5,2
3,MATHEMATICS            ,A,2019,18153,6,11.1,17,22.6,21.7,14.3,5.4,1.8
3,MATHEMATICS            ,B,2019,5467,4.3,13.4,19.4,21.7,20.2,12.7,5.6,2.6
3,MATHEMATICS            ,G,2019,31474,1.7,11.2,20.1,23.1,20.2,12.9,6.6,4.3
4,HISTORY                ,A,2019,8824,6.7,16.1,21.9,23.1,16.1,10.3,4,1.8
4,HISTORY                ,G,2019,2919,5.2,14.8,18.5,21.9,19.4,13.9,3.7,2.7
5,GEOGRAPHY              ,A,2019,19982,3.7,13.1,20.7,23.1,20.2,13.7,4.6,1
5,GEOGRAPHY              ,G,2019,4139,1.9,8.3,19,28.5,24.4,12,4.3,1.7
6,LATIN                  ,A,2019,54,18.5,37,22.2,11.1,5.6,3.7,0,1.9
7,ANCIENT GREEK          ,A,2019,17,23.5,23.5,11.8,11.8,23.5,0,5.9,0
8,CLASSICAL STUDIES      ,A,2019,440,6.4,17,23.9,18.2,16.6,10.5,4.3,3.2
8,CLASSICAL STUDIES      ,G,2019,52,1.9,3.8,11.5,11.5,13.5,25,13.5,19.2
10,FRENCH                 ,A,2019,15654,6.2,13.9,18.7,22.6,21.3,13,3.7,0.6
10,FRENCH                 ,G,2019,7707,0.1,2.8,14.7,27,27.7,17.6,7.1,3
11,GERMAN                 ,A,2019,6247,6.1,14.1,18.5,21,19.6,13.2,5.5,2
11,GERMAN                 ,G,2019,2297,0.7,7.1,18.9,24.6,21.2,13.6,8.2,5.8
12,SPANISH                ,A,2019,5646,7.7,16.2,17.9,19.9,18.1,12.9,5.8,1.5
12,SPANISH                ,G,2019,2065,0.9,8.3,21.4,28,20.6,11.6,6.1,3.1
13,ITALIAN                ,A,2019,361,17.5,24.7,19.7,13.6,13,7.2,3.6,0.8
13,ITALIAN                ,G,2019,112,1.8,6.3,19.6,25.9,21.4,8,10.7,6.3
14,ART                    ,A,2019,7622,3,13.9,22.5,24.2,19.1,11.5,4.3,1.4
14,ART                    ,G,2019,1563,2.2,9.5,25.1,27.8,16.8,7.9,4.5,6.1
17,DUTCH                  ,A,2019,17,17.6,35.3,23.5,17.6,5.9,0,0,0
18,PORTUGUESE             ,A,2019,116,24.1,14.7,22.4,12.9,8.6,2.6,6.9,7.8
19,MODERN GREEK           ,A,2019,13,61.5,7.7,7.7,7.7,15.4,0,0,0
20,APPLIED MATHEMATICS    ,A,2019,1988,16.2,20,18.7,14.8,11.4,9.4,4.8,4.9
20,APPLIED MATHEMATICS    ,G,2019,116,15.5,10.3,12.1,13.8,12.9,12.1,7.8,15.5
21,PHYSICS                ,A,2019,6583,10.8,16.3,15,14.2,14.6,12.6,9.1,7.4
21,PHYSICS                ,G,2019,1359,3.7,13.9,23,19.9,14.1,11.6,5.7,8.1
22,CHEMISTRY              ,A,2019,8244,13.2,17.9,16.7,14.7,12.6,10.9,6.5,7.5
22,CHEMISTRY              ,G,2019,1262,3.9,10,13.6,17.4,18.2,14.2,9.8,12.8
23,PHYSICS & CHEMISTRY    ,A,2019,464,7.8,15.7,17,14.2,12.1,12.7,9.1,11.4
23,PHYSICS & CHEMISTRY    ,G,2019,74,4.1,8.1,9.5,10.8,16.2,16.2,10.8,24.3
24,AGRICULTURAL SCIENCE   ,A,2019,6605,4.8,11.9,14.9,16.7,16.5,15.2,12.7,7.3
24,AGRICULTURAL SCIENCE   ,G,2019,1140,0,0.8,6.9,17.3,25.9,21.6,16.2,11.3
25,BIOLOGY                ,A,2019,27063,7.7,15.8,16.6,16.5,16.3,13.7,8.6,4.8
25,BIOLOGY                ,G,2019,7046,0.2,3.2,14.7,26.1,25.6,17,8.5,4.7
26,AGRICULTURAL ECONOMICS ,A,2019,31,0,25.8,19.4,25.8,25.8,3.2,0,0
27,ENGINEERING            ,A,2019,4765,3.6,16,22.5,22.4,17.9,11.7,4.3,1.7
27,ENGINEERING            ,G,2019,650,0.9,5.2,17.2,19.5,25.8,17.5,10,3.7
29,CONSTRUCTION STUDIES   ,A,2019,7896,2.9,14.9,20.7,23.5,19.3,11.8,5.2,1.7
29,CONSTRUCTION STUDIES   ,G,2019,1114,0.2,2.2,9.5,21.7,27.5,20.6,10.2,8.1
32,ACCOUNTING             ,A,2019,6095,6.6,21.5,19.6,16.3,12.6,10.1,6.9,6.5
32,ACCOUNTING             ,G,2019,1812,8.9,18.4,15.8,15.1,12.3,8.6,7.5,13.4
33,BUSINESS               ,A,2019,13805,4,16.2,19.8,18.6,17.5,13.2,7.2,3.5
33,BUSINESS               ,G,2019,3521,3.7,14,22.2,24.7,17.6,11.3,3.7,2.8
34,ECONOMICS              ,A,2019,4990,4.2,16.5,20.2,18.9,15.8,13.1,6.6,4.9
34,ECONOMICS              ,G,2019,873,3.1,13.3,22.1,22.6,17.3,13.1,4.1,4.5
58,JAPANESE               ,A,2019,208,8.7,19.2,19.2,22.6,20.2,5.8,3.4,1
58,JAPANESE               ,G,2019,66,0,3,21.2,25.8,18.2,16.7,6.1,9.1
59,ARABIC                 ,A,2019,168,6.5,19.6,25,22,8.3,8.9,5.4,4.2
59,ARABIC                 ,G,2019,24,12.5,0,20.8,12.5,20.8,8.3,12.5,12.5
65,TECHNOLOGY             ,A,2019,1695,5,18.2,23.4,20.9,16,9.1,4.4,3
65,TECHNOLOGY             ,G,2019,176,1.7,13.1,19.9,15.9,15.3,14.8,7.4,11.9
67,MUSIC                  ,A,2019,6234,3.9,32.1,35.8,18.7,7.3,1.8,0.4,0.1
67,MUSIC                  ,G,2019,425,0.5,14.4,29.6,28.5,16.5,7.3,2.6,0.7
98,HOME ECONOMICS S & S   ,A,2019,9730,3,16,25.7,25.3,17.8,9.2,2.5,0.6
98,HOME ECONOMICS S & S   ,G,2019,2272,0.6,6.9,21.6,24.6,21.8,14.5,6,4
99,RUSSIAN                ,A,2019,458,58.1,22.9,10.5,4.6,1.3,1.1,1.1,0.4
99,RUSSIAN                ,G,2019,12,41.7,16.7,8.3,0,25,0,0,8.3
223,RELIGIOUS EDUCATION    ,A,2019,1164,3.1,18,24.7,21.3,16.3,11.2,3.7,1.7
223,RELIGIOUS EDUCATION    ,G,2019,129,0,3.9,14,17.1,18.6,10.9,14,21.7
547,CZECH                  ,A,2019,12,50,0,16.7,25,8.3,0,0,0
548,POLISH                 ,A,2019,780,8.2,16.7,28.3,25.8,12.4,4.5,2.4,1.7
549,LATVIAN                ,A,2019,62,19.4,21,24.2,14.5,6.5,11.3,0,3.2
550,LITHUANIAN             ,A,2019,177,13,16.9,14.7,20.3,16.4,13.6,2.8,2.3
551,HUNGARIAN              ,A,2019,51,9.8,23.5,25.5,11.8,11.8,5.9,7.8,3.9
553,ROMANIAN               ,A,2019,340,18.5,20.6,23.5,19.1,9.7,5.6,0.9,2.1
554,SLOVAKIAN              ,A,2019,18,38.9,11.1,16.7,16.7,11.1,5.6,0,0
559,BULGARIAN              ,A,2019,16,0,37.5,25,18.8,18.8,0,0,0
562,DESIGN & COMMUNICATION ,A,2019,4566,6.5,19.9,23.7,21.3,15.7,7.9,3.3,1.7
562,DESIGN & COMMUNICATION ,G,2019,1025,2.1,12.4,23.2,22.3,15.9,11.1,6.3,6.5
567,CROATIAN               ,A,2019,61,9.8,32.8,27.9,14.8,4.9,6.6,0,3.3
568,POLITICS AND SOCIETY   ,A,2019,676,4.6,10.9,20.4,21.3,18.9,12.4,7.8,3.6
568,POLITICS AND SOCIETY   ,G,2019,103,0,1.9,12.6,30.1,24.3,21.4,2.9,6.8
                            A,,,,,,,,,,,,
