Final Outcome of the 2020 Leaving Certificate (Calculated Grades and Written Examinations),,,,,,,,,
FOUNDATION LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,86,258,373,338,234,152,6,15,1462
,,,,,,,,,
    IRISH,5.9,17.6,25.5,23.1,16,10.4,0.4,1,
,,,,,,,,,
    TOTAL FEMALE,46,113,117,82,60,44,1,2,465
,,,,,,,,,
    % FEMALE ,9.9,24.3,25.2,17.6,12.9,9.5,0.2,0.4,
,,,,,,,,,
    TOTAL MALE,40,145,256,256,174,108,5,13,997
,,,,,,,,,
    % MALE ,4,14.5,25.7,25.7,17.5,10.8,0.5,1.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,186,492,538,531,482,293,46,34,2602
,,,,,,,,,
    MATHEMATICS,7.1,18.9,20.7,20.4,18.5,11.3,1.8,1.3,
,,,,,,,,,
    TOTAL FEMALE,99,232,273,244,213,128,21,11,1221
,,,,,,,,,
    % FEMALE ,8.1,19,22.4,20,17.4,10.5,1.7,0.9,
,,,,,,,,,
    TOTAL MALE,87,260,265,287,269,165,25,23,1381
,,,,,,,,,
    % MALE ,6.3,18.8,19.2,20.8,19.5,11.9,1.8,1.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
