Final Outcome of the 2020 Leaving Certificate (Calculated Grades and Written Examinations),,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,451,2085,4622,6195,5453,3598,808,334,23546
,,,,,,,,,
    IRISH,1.9,8.9,19.6,26.3,23.2,15.3,3.4,1.4,
,,,,,,,,,
    TOTAL FEMALE,317,1243,2380,2745,2004,1026,208,77,10000
,,,,,,,,,
    % FEMALE ,3.2,12.4,23.8,27.5,20,10.3,2.1,0.8,
,,,,,,,,,
    TOTAL MALE,134,842,2242,3450,3449,2572,600,257,13546
,,,,,,,,,
    % MALE ,1,6.2,16.6,25.5,25.5,19,4.4,1.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BÉARLA,444,1582,3374,3966,3043,1756,323,151,14639
,,,,,,,,,
    ENGLISH,3,10.8,23,27.1,20.8,12,2.2,1,
,,,,,,,,,
    TOTAL FEMALE,272,811,1504,1445,887,416,72,28,5435
,,,,,,,,,
    % FEMALE ,5,14.9,27.7,26.6,16.3,7.7,1.3,0.5,
,,,,,,,,,
    TOTAL MALE,172,771,1870,2521,2156,1340,251,123,9204
,,,,,,,,,
    % MALE ,1.9,8.4,20.3,27.4,23.4,14.6,2.7,1.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,1563,4340,6998,7875,6657,4552,1292,585,33862
,,,,,,,,,
    MATHEMATICS,4.6,12.8,20.7,23.3,19.7,13.4,3.8,1.7,
,,,,,,,,,
    TOTAL FEMALE,1008,2619,3830,4041,3198,1932,488,206,17322
,,,,,,,,,
    % FEMALE ,5.8,15.1,22.1,23.3,18.5,11.2,2.8,1.2,
,,,,,,,,,
    TOTAL MALE,555,1721,3168,3834,3459,2620,804,379,16540
,,,,,,,,,
    % MALE ,3.4,10.4,19.2,23.2,20.9,15.8,4.9,2.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIR,132,320,540,621,601,444,95,72,2825
,,,,,,,,,
    HISTORY,4.7,11.3,19.1,22,21.3,15.7,3.4,2.5,
,,,,,,,,,
    TOTAL FEMALE,51,147,213,262,209,138,22,21,1063
,,,,,,,,,
    % FEMALE ,4.8,13.8,20,24.6,19.7,13,2.1,2,
,,,,,,,,,
    TOTAL MALE,81,173,327,359,392,306,73,51,1762
,,,,,,,,,
    % MALE ,4.6,9.8,18.6,20.4,22.2,17.4,4.1,2.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TÍREOLAÍOCHT,67,307,658,992,849,584,111,76,3644
,,,,,,,,,
    GEOGRAPHY,1.8,8.4,18.1,27.2,23.3,16,3,2.1,
,,,,,,,,,
    TOTAL FEMALE,27,124,260,354,297,188,39,23,1312
,,,,,,,,,
    % FEMALE ,2.1,9.5,19.8,27,22.6,14.3,3,1.8,
,,,,,,,,,
    TOTAL MALE,40,183,398,638,552,396,72,53,2332
,,,,,,,,,
    % MALE ,1.7,7.8,17.1,27.4,23.7,17,3.1,2.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LÉANN CLASAICEACH,1,2,2,11,8,3,0,1,28
,,,,,,,,,
    CLASSICAL STUDIES,3.6,7.1,7.1,39.3,28.6,10.7,0,3.6,
,,,,,,,,,
    TOTAL FEMALE,0,2,2,6,2,3,0,1,16
,,,,,,,,,
    % FEMALE ,0,12.5,12.5,37.5,12.5,18.8,0,6.3,
,,,,,,,,,
    TOTAL MALE,1,0,0,5,6,0,0,0,12
,,,,,,,,,
    % MALE ,8.3,0,0,41.7,50,0,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FRAINCIS,110,588,1321,1714,1447,903,176,102,6361
,,,,,,,,,
    FRENCH,1.7,9.2,20.8,26.9,22.7,14.2,2.8,1.6,
,,,,,,,,,
    TOTAL FEMALE,77,359,793,901,671,392,69,39,3301
,,,,,,,,,
    % FEMALE ,2.3,10.9,24,27.3,20.3,11.9,2.1,1.2,
,,,,,,,,,
    TOTAL MALE,33,229,528,813,776,511,107,63,3060
,,,,,,,,,
    % MALE ,1.1,7.5,17.3,26.6,25.4,16.7,3.5,2.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GEARMÁINIS,38,167,354,490,436,342,64,31,1922
,,,,,,,,,
    GERMAN,2,8.7,18.4,25.5,22.7,17.8,3.3,1.6,
,,,,,,,,,
    TOTAL FEMALE,21,89,155,209,178,115,21,7,795
,,,,,,,,,
    % FEMALE ,2.6,11.2,19.5,26.3,22.4,14.5,2.6,0.9,
,,,,,,,,,
    TOTAL MALE,17,78,199,281,258,227,43,24,1127
,,,,,,,,,
    % MALE ,1.5,6.9,17.7,24.9,22.9,20.1,3.8,2.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SPÁINNIS,41,216,450,535,432,255,64,32,2025
,,,,,,,,,
    SPANISH,2,10.7,22.2,26.4,21.3,12.6,3.2,1.6,
,,,,,,,,,
    TOTAL FEMALE,25,127,207,256,171,109,24,11,930
,,,,,,,,,
    % FEMALE ,2.7,13.7,22.3,27.5,18.4,11.7,2.6,1.2,
,,,,,,,,,
    TOTAL MALE,16,89,243,279,261,146,40,21,1095
,,,,,,,,,
    % MALE ,1.5,8.1,22.2,25.5,23.8,13.3,3.7,1.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    IODÁILIS,0,9,16,17,14,9,3,2,70
,,,,,,,,,
    ITALIAN,0,12.9,22.9,24.3,20,12.9,4.3,2.9,
,,,,,,,,,
    TOTAL FEMALE,0,7,11,9,3,4,2,2,38
,,,,,,,,,
    % FEMALE ,0,18.4,28.9,23.7,7.9,10.5,5.3,5.3,
,,,,,,,,,
    TOTAL MALE,0,2,5,8,11,5,1,0,32
,,,,,,,,,
    % MALE ,0,6.3,15.6,25,34.4,15.6,3.1,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EALAÍN,51,141,299,355,301,224,55,78,1504
,,,,,,,,,
    ART,3.4,9.4,19.9,23.6,20,14.9,3.7,5.2,
,,,,,,,,,
    TOTAL FEMALE,30,79,170,171,125,81,14,28,698
,,,,,,,,,
    % FEMALE ,4.3,11.3,24.4,24.5,17.9,11.6,2,4,
,,,,,,,,,
    TOTAL MALE,21,62,129,184,176,143,41,50,806
,,,,,,,,,
    % MALE ,2.6,7.7,16,22.8,21.8,17.7,5.1,6.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC FHEIDHMEACH,24,14,10,7,3,6,0,3,67
,,,,,,,,,
    APPLIED MATHEMATIC,35.8,20.9,14.9,10.4,4.5,9,0,4.5,
,,,,,,,,,
