2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
FOUNDATION LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,95,177,242,225,155,125,18,37,1074
,,,,,,,,,
    IRISH,8.8,16.5,22.5,20.9,14.4,11.6,1.7,3.4,
,,,,,,,,,
    TOTAL FEMALE,52,54,90,63,41,38,10,17,365
,,,,,,,,,
    % FEMALE ,14.2,14.8,24.7,17.3,11.2,10.4,2.7,4.7,
,,,,,,,,,
    TOTAL MALE,43,123,152,162,114,87,8,20,709
,,,,,,,,,
    % MALE ,6.1,17.3,21.4,22.8,16.1,12.3,1.1,2.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,218,431,422,381,312,221,40,40,2065
,,,,,,,,,
    MATHEMATICS,10.6,20.9,20.4,18.5,15.1,10.7,1.9,1.9,
,,,,,,,,,
    TOTAL FEMALE,105,198,209,197,138,97,19,14,977
,,,,,,,,,
    % FEMALE ,10.7,20.3,21.4,20.2,14.1,9.9,1.9,1.4,
,,,,,,,,,
    TOTAL MALE,113,233,213,184,174,124,21,26,1088
,,,,,,,,,
    % MALE ,10.4,21.4,19.6,16.9,16,11.4,1.9,2.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
