2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
FOUNDATION LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,65,252,436,481,329,230,107,33,1933
,,,,,,,,,
    IRISH,3.4,13,22.6,24.9,17,11.9,5.5,1.7,
,,,,,,,,,
    TOTAL FEMALE,33,100,145,129,108,55,24,7,601
,,,,,,,,,
    % FEMALE ,5.5,16.6,24.1,21.5,18,9.2,4,1.2,
,,,,,,,,,
    TOTAL MALE,32,152,291,352,221,175,83,26,1332
,,,,,,,,,
    % MALE ,2.4,11.4,21.8,26.4,16.6,13.1,6.2,2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,492,681,682,568,436,253,131,47,3290
,,,,,,,,,
    MATHEMATICS,15,20.7,20.7,17.3,13.3,7.7,4,1.4,
,,,,,,,,,
    TOTAL FEMALE,213,300,336,296,228,129,74,19,1595
,,,,,,,,,
    % FEMALE ,13.4,18.8,21.1,18.6,14.3,8.1,4.6,1.2,
,,,,,,,,,
    TOTAL MALE,279,381,346,272,208,124,57,28,1695
,,,,,,,,,
    % MALE ,16.5,22.5,20.4,16,12.3,7.3,3.4,1.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
