qualification_name,qualification_code,subject_name,subject_code,size,grade_structure,prior_attainment_band,grade,count,percentage
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",<1,C,1,100%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",1-<2,*,2,33.33%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",1-<2,D,1,16.67%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",1-<2,E,1,16.67%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",1-<2,U,2,33.33%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,A,3,7.69%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,B,4,10.26%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,C,7,17.95%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,D,10,25.64%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,E,6,15.38%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,U,9,23.08%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,*,4,1.18%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,A,12,3.55%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,B,35,10.36%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,C,68,20.12%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,D,72,21.3%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,E,80,23.67%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,U,67,19.82%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,*,28,1.52%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,A,115,6.26%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,B,280,15.23%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,C,418,22.74%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,D,428,23.29%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,E,321,17.46%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,U,248,13.49%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",5-<6,*,184,3.43%
