URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
100000,201,3614,State-funded primary,277,128,149,46.21,53.79,8,2.89,57,20.58,165,111,1,59.60,40.1,0.4,62,56,238,23.53
100001,201,6005,Independent school,809,809,0,100.00,0.00,0,0.00,90,11.12,0,0,0,0.00,0,0,0
100002,201,6006,Independent school,258,101,157,39.15,60.85,0,0.00,18,6.98,0,0,0,0.00,0,0,0
100003,201,6007,Independent school,1018,0,1018,0.00,100.00,1,0.10,136,13.36,0,0,0,0.00,0,0,0
100005,202,1048,State-funded nursery,128,58,70,45.31,54.69,0,0.00,0,0.00,44,84,0,34.40,65.6,0,39
100006,202,1100,Pupil referral unit,38,17,21,44.74,55.26,2,5.26,17,44.74,7,31,0,18.40,81.6,0,20,28,38,73.68
100007,202,1101,Pupil referral unit,17,3,14,17.65,82.35,12,70.59,5,29.41,2,15,0,11.80,88.2,0,16,16,17,94.12
100008,202,2019,State-funded primary,366,196,170,53.55,46.45,12,3.28,45,12.30,330,36,0,90.20,9.8,0,216,201,328,61.28
100009,202,2036,State-funded primary,400,181,219,45.25,54.75,10,2.50,75,18.75,233,167,0,58.30,41.8,0,163,163,375,43.47
100010,202,2065,State-funded primary,358,172,186,48.04,51.96,9,2.51,81,22.63,211,147,0,58.90,41.1,0,198,178,296,60.14
100011,202,2078,State-funded primary,405,202,203,49.88,50.12,6,1.48,53,13.09,68,337,0,16.80,83.2,0,109,98,360,27.22
100013,202,2184,State-funded primary,192,97,95,50.52,49.48,4,2.08,53,27.60,171,21,0,89.10,10.9,0,99,91,167,54.49
100014,202,2219,State-funded primary,231,114,117,49.35,50.65,7,3.03,34,14.72,124,107,0,53.70,46.3,0,96,91,206,44.17
100015,202,2290,State-funded primary,219,96,123,43.84,56.16,5,2.28,39,17.81,134,85,0,61.20,38.8,0,92,86,198,43.43
100018,202,2436,State-funded primary,436,213,223,48.85,51.15,41,9.40,72,16.51,325,111,0,74.50,25.5,0,269,230,362,63.54
100019,202,2438,State-funded primary,332,158,174,47.59,52.41,2,0.60,45,13.55,244,88,0,73.50,26.5,0,51,52,301,17.28
100020,202,2475,State-funded primary,458,231,227,50.44,49.56,21,4.59,93,20.31,268,190,0,58.50,41.5,0,158,155,392,39.54
100021,202,2502,State-funded primary,452,236,216,52.21,47.79,17,3.76,113,25.00,362,90,0,80.10,19.9,0,250,244,413,59.08
100022,202,2507,State-funded primary,410,207,203,50.49,49.51,7,1.71,74,18.05,377,33,0,92.00,8,0,224,211,364,57.97
100023,202,2603,State-funded primary,453,201,252,44.37,55.63,25,5.52,46,10.15,208,245,0,45.90,54.1,0,167,169,414,40.82
100025,202,2775,State-funded primary,457,214,243,46.83,53.17,12,2.63,55,12.04,217,239,1,47.50,52.3,0.2,160,153,412,37.14
100026,202,2797,State-funded primary,232,122,110,52.59,47.41,6,2.59,18,7.76,180,52,0,77.60,22.4,0,26,26,208,12.50
100027,202,2841,State-funded primary,236,135,101,57.20,42.80,7,2.97,36,15.25,98,138,0,41.50,58.5,0,38,41,210,19.52
100028,202,3323,State-funded primary,189,100,89,52.91,47.09,1,0.53,13,6.88,96,93,0,50.80,49.2,0,9,9,189,4.76
100029,202,3327,State-funded primary,206,99,107,48.06,51.94,8,3.88,34,16.50,101,105,0,49.00,51,0,109,102,192,53.13
100030,202,3340,State-funded primary,227,119,108,52.42,47.58,5,2.20,15,6.61,83,144,0,36.60,63.4,0,19,20,201,9.95
100031,202,3352,State-funded primary,201,103,98,51.24,48.76,1,0.50,17,8.46,103,98,0,51.20,48.8,0,12,13,201,6.47
100032,202,3359,State-funded primary,177,93,84,52.54,47.46,3,1.69,18,10.17,105,72,0,59.30,40.7,0,87,94,177,53.11
100033,202,3361,State-funded primary,208,109,99,52.40,47.60,5,2.40,31,14.90,59,149,0,28.40,71.6,0,64,66,208,31.73
100034,202,3370,State-funded primary,235,109,126,46.38,53.62,22,9.36,26,11.06,95,140,0,40.40,59.6,0,88,83,211,39.34
100035,202,3391,State-funded primary,301,143,158,47.51,52.49,4,1.33,41,13.62,161,140,0,53.50,46.5,0,109,102,267,38.20
100036,202,3398,State-funded primary,213,110,103,51.64,48.36,11,5.16,18,8.45,39,174,0,18.30,81.7,0,131,128,198,64.65
100039,202,3429,State-funded primary,150,85,65,56.67,43.33,3,2.00,31,20.67,35,115,0,23.30,76.7,0,79,80,138,57.97
100040,202,3441,State-funded primary,221,124,97,56.11,43.89,5,2.26,31,14.03,112,109,0,50.70,49.3,0,71,75,205,36.59
100041,202,3482,State-funded primary,198,102,96,51.52,48.48,3,1.52,21,10.61,86,109,3,43.40,55.1,1.5,75,74,185,40.00
100042,202,3517,State-funded primary,221,109,112,49.32,50.68,8,3.62,38,17.19,151,70,0,68.30,31.7,0,108,98,195,50.26
100043,202,3521,State-funded primary,218,120,98,55.05,44.95,6,2.75,46,21.10,83,135,0,38.10,61.9,0,123,119,197,60.41
100044,202,3546,State-funded primary,105,52,53,49.52,50.48,4,3.81,33,31.43,49,56,0,46.70,53.3,0,62,67,105,63.81
100045,202,3560,State-funded primary,182,85,97,46.70,53.30,5,2.75,48,26.37,82,100,0,45.10,54.9,0,101,97,166,58.43
100046,202,3568,State-funded primary,192,102,90,53.13,46.88,2,1.04,31,16.15,49,142,1,25.50,74,0.5,60,63,192,32.81
100047,202,3649,State-funded primary,199,103,96,51.76,48.24,6,3.02,28,14.07,89,110,0,44.70,55.3,0,85,88,199,44.22
100048,202,3655,State-funded primary,242,137,105,56.61,43.39,3,1.24,56,23.14,112,130,0,46.30,53.7,0,162,146,211,69.19
100049,202,4104,State-funded secondary,968,388,580,40.08,59.92,28,2.89,166,17.15,637,321,10,65.80,33.2,1,555,516,751,68.71
100050,202,4166,State-funded secondary,1213,1150,63,94.81,5.19,17,1.40,145,11.95,448,763,2,36.90,62.9,0.2,412,335,871,38.46
100051,202,4196,State-funded secondary,1029,456,573,44.31,55.69,37,3.60,177,17.20,801,228,0,77.80,22.2,0,622,578,864,66.90
100052,202,4275,State-funded secondary,1311,624,687,47.60,52.40,38,2.90,136,10.37,521,790,0,39.70,60.3,0,466,521,1019,51.13
100053,202,4285,State-funded secondary,1168,400,768,34.25,65.75,85,7.28,295,25.26,271,852,45,23.20,72.9,3.9,360,348,896,38.84
100054,202,4611,State-funded secondary,1069,907,162,84.85,15.15,12,1.12,130,12.16,284,781,4,26.60,73.1,0.4,203,192,597,32.16
100055,202,4652,State-funded secondary,811,382,429,47.10,52.90,32,3.95,80,9.86,413,398,0,50.90,49.1,0,368,374,691,54.12
100056,202,4688,State-funded secondary,891,92,799,10.33,89.67,37,4.15,118,13.24,370,508,13,41.50,57,1.5,330,300,608,49.34
100059,202,5401,State-funded secondary,909,877,32,96.48,3.52,7,0.77,63,6.93,438,441,30,48.20,48.5,3.3,239,271,671,40.39
100061,202,6013,Independent school,242,242,0,100.00,0.00,1,0.41,51,21.07,0,0,0,0.00,0,0,0
100062,202,6014,Independent school,167,167,0,100.00,0.00,1,0.60,10,5.99,0,0,0,0.00,0,0,0
100063,202,6016,Independent school,184,184,0,100.00,0.00,1,0.54,25,13.59,0,0,0,0.00,0,0,0
100064,202,6017,Independent school,466,0,466,0.00,100.00,0,0.00,95,20.39,0,0,0,0.00,0,0,0
100065,202,6018,Independent school,1282,101,1181,7.88,92.12,2,0.16,190,14.82,0,0,0,0.00,0,0,0
100066,202,6038,Independent school,210,210,0,100.00,0.00,0,0.00,92,43.81,0,0,0,0.00,0,0,0
100067,202,6084,Independent school,228,222,6,97.37,2.63,22,9.65,2,0.88,0,0,0,0.00,0,0,0
100068,202,6174,Independent school,314,131,183,41.72,58.28,3,0.96,10,3.18,0,0,0,0.00,0,0,0
100069,202,6179,Independent school,164,0,164,0.00,100.00,1,0.61,35,21.34,0,0,0,0.00,0,0,0
100070,202,6181,Independent school,278,0,278,0.00,100.00,1,0.36,21,7.55,0,0,0,0.00,0,0,0
100072,202,6210,Independent school,106,0,106,0.00,100.00,0,0.00,17,16.04,0,0,0,0.00,0,0,0
100073,202,6264,Independent school,366,146,220,39.89,60.11,0,0.00,39,10.66,0,0,0,0.00,0,0,0
100074,202,6269,Independent school,447,156,291,34.90,65.10,3,0.67,82,18.34,0,0,0,0.00,0,0,0
100075,202,6295,Independent school,168,74,94,44.05,55.95,0,0.00,28,16.67,0,0,0,0.00,0,0,0
100076,202,6307,Independent school,941,941,0,100.00,0.00,0,0.00,131,13.92,0,0,0,0.00,0,0,0
100077,202,6353,Independent school,68,68,0,100.00,0.00,0,0.00,6,8.82,0,0,0,0.00,0,0,0
100078,202,6360,Independent school,223,91,132,40.81,59.19,7,3.14,31,13.90,0,0,0,0.00,0,0,0
100080,202,6380,Independent school,559,232,327,41.50,58.50,0,0.00,54,9.66,0,0,0,0.00,0,0,0
100081,202,6384,Independent school,106,51,55,48.11,51.89,0,0.00,5,4.72,0,0,0,0.00,0,0,0
100082,202,6385,Independent school,694,319,375,45.97,54.03,1,0.14,30,4.32,0,0,0,0.00,0,0,0
100084,202,6387,Independent school,209,138,71,66.03,33.97,1,0.48,2,0.96,0,0,0,0.00,0,0,0
100087,202,6392,Independent school,187,91,96,48.66,51.34,1,0.53,1,0.53,0,0,0,0.00,0,0,0
100090,202,6395,Independent school,169,81,88,47.93,52.07,1,0.59,52,30.77,0,0,0,0.00,0,0,0
100091,202,7008,State-funded special school,37,23,14,62.16,37.84,36,97.30,1,2.70,37,0,0,100.00,0,0,18,17,32,53.13
100092,202,7137,State-funded special school,30,5,25,16.67,83.33,30,100.00,0,0.00,5,25,0,16.70,83.3,0,21,25,30,83.33
100096,202,7205,State-funded special school,260,65,195,25.00,75.00,260,100.00,0,0.00,120,140,0,46.20,53.8,0,136,122,221,55.20
