RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,344,4001,143554,"St Mary's Catholic College, A Voluntary Academy",AC,0,0,-4,7,-15,53,62%,0%,62%,11%,6%,0%,0%,53,62%,-4,7,-15,0,0%,NA,NA,NA,0,0%,NA,NA,NA,38%,0%,38%,0%,0%,0%,0%
1,344,4052,137171,Wirral Grammar School for Girls,ACC,0,0,5,12,-2,145,92%,8%,83%,44%,39%,1%,1%,145,92%,5,11,-1,0,0%,NA,NA,NA,0,0%,NA,NA,NA,91%,9%,82%,45%,18%,0%,0%
1,344,4056,137243,West Kirby Grammar School,ACC,0,0,3,10,-4,140,89%,1%,86%,46%,39%,3%,1%,140,89%,3,9,-3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,86%,0%,86%,36%,29%,0%,0%
1,344,4060,138355,Hilbre High School,ACC,0,0,-6,3,-15,76,58%,1%,55%,17%,16%,0%,1%,72,60%,-6,3,-15,2,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,47%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,4066,105103,The Mosslands School,CY,0,0,-11,2,-24,39,46%,0%,41%,13%,13%,0%,5%,28,54%,-10,5,-25,11,27%,-13,15,-41,0,0%,NA,NA,NA,53%,0%,53%,16%,16%,0%,0%
1,344,4067,136895,The Oldershaw School,ACC,0,0,-11,5,-27,26,54%,0%,54%,4%,4%,0%,0%,26,54%,-11,4,-26,0,0%,NA,NA,NA,0,0%,NA,NA,NA,56%,0%,56%,SUPP,SUPP,0%,0%
1,344,4069,137815,Weatherhead High School,ACC,0,0,-7,0,-14,123,62%,0%,61%,18%,15%,0%,1%,117,63%,-7,0,-14,6,33%,-2,36,-40,0,0%,NA,NA,NA,52%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,4071,105107,South Wirral High School,FD,0,0,-23,-10,-35,46,39%,2%,35%,2%,2%,0%,2%,42,43%,-22,-9,-34,0,0%,NA,NA,NA,4,SUPP,SUPP,SUPP,SUPP,64%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,4605,139031,St John Plessington Catholic College,ACC,0,0,-4,3,-11,131,67%,3%,63%,14%,12%,0%,1%,131,67%,-4,3,-11,0,0%,NA,NA,NA,0,0%,NA,NA,NA,76%,SUPP,71%,15%,15%,0%,SUPP
1,344,5400,139144,Calday Grange Grammar School,ACC,0,0,5,10,0,216,87%,SP,87%,44%,37%,1%,0%,216,87%,5,10,0,0,0%,NA,NA,NA,0,0%,NA,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,344,5401,137476,Wirral Grammar School for Boys,ACC,0,0,1,8,-6,131,81%,6%,73%,33%,35%,2%,2%,131,81%,1,8,-6,0,0%,NA,NA,NA,0,0%,NA,NA,NA,63%,13%,50%,25%,25%,0%,0%
1,344,5900,136780,St Anselm's College,ACC,0,0,6,14,-2,95,82%,4%,77%,36%,31%,4%,1%,95,82%,6,14,-2,0,0%,NA,NA,NA,0,0%,NA,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
