"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 2808 lines in total
------------------------------------------------------------------
appl_higher_lev_dom,Cycle,statistic,equality_dimension,agegroup,value
UK providers,2010,June deadline applicants,Total,18 year olds,268355
UK providers,2010,June deadline applicants,White ethnic group,18 year olds,223025
UK providers,2010,June deadline applicants,Black ethnic group,18 year olds,9355
UK providers,2010,June deadline applicants,Asian ethnic group,18 year olds,24210
UK providers,2010,June deadline applicants,Mixed ethnic group,18 year olds,8125
UK providers,2010,June deadline applicants,Other ethnic group,18 year olds,2120
UK providers,2010,June deadline applicants,POLAR4 Q1,18 year olds,26340
UK providers,2010,June deadline applicants,POLAR4 Q2,18 year olds,39340
UK providers,2010,June deadline applicants,POLAR4 Q3,18 year olds,50270
UK providers,2010,June deadline applicants,POLAR4 Q4,18 year olds,61990
UK providers,2010,June deadline applicants,POLAR4 Q5,18 year olds,89955
UK providers,2010,June deadline applicants,Men,18 year olds,119370
UK providers,2010,June deadline applicants,Women,18 year olds,148985
UK providers,2011,June deadline applicants,Total,18 year olds,267400
UK providers,2011,June deadline applicants,White ethnic group,18 year olds,219360
UK providers,2011,June deadline applicants,Black ethnic group,18 year olds,10225
UK providers,2011,June deadline applicants,Asian ethnic group,18 year olds,25220
UK providers,2011,June deadline applicants,Mixed ethnic group,18 year olds,8885
UK providers,2011,June deadline applicants,Other ethnic group,18 year olds,2320
UK providers,2011,June deadline applicants,POLAR4 Q1,18 year olds,26485
UK providers,2011,June deadline applicants,POLAR4 Q2,18 year olds,39185
UK providers,2011,June deadline applicants,POLAR4 Q3,18 year olds,49555
UK providers,2011,June deadline applicants,POLAR4 Q4,18 year olds,61995
UK providers,2011,June deadline applicants,POLAR4 Q5,18 year olds,89760
UK providers,2011,June deadline applicants,Men,18 year olds,119030
UK providers,2011,June deadline applicants,Women,18 year olds,148365
UK providers,2012,June deadline applicants,Total,18 year olds,257410
UK providers,2012,June deadline applicants,White ethnic group,18 year olds,209440
UK providers,2012,June deadline applicants,Black ethnic group,18 year olds,10290
UK providers,2012,June deadline applicants,Asian ethnic group,18 year olds,25090
UK providers,2012,June deadline applicants,Mixed ethnic group,18 year olds,8680
UK providers,2012,June deadline applicants,Other ethnic group,18 year olds,2680
UK providers,2012,June deadline applicants,POLAR4 Q1,18 year olds,25345
UK providers,2012,June deadline applicants,POLAR4 Q2,18 year olds,37530
UK providers,2012,June deadline applicants,POLAR4 Q3,18 year olds,47915
UK providers,2012,June deadline applicants,POLAR4 Q4,18 year olds,59415
UK providers,2012,June deadline applicants,POLAR4 Q5,18 year olds,86815
UK providers,2012,June deadline applicants,Men,18 year olds,113140
UK providers,2012,June deadline applicants,Women,18 year olds,144270
UK providers,2013,June deadline applicants,Total,18 year olds,259395
UK providers,2013,June deadline applicants,White ethnic group,18 year olds,208625
UK providers,2013,June deadline applicants,Black ethnic group,18 year olds,11600
UK providers,2013,June deadline applicants,Asian ethnic group,18 year olds,26100
UK providers,2013,June deadline applicants,Mixed ethnic group,18 year olds,9150
UK providers,2013,June deadline applicants,Other ethnic group,18 year olds,2800
UK providers,2013,June deadline applicants,POLAR4 Q1,18 year olds,25890
UK providers,2013,June deadline applicants,POLAR4 Q2,18 year olds,38065
UK providers,2013,June deadline applicants,POLAR4 Q3,18 year olds,48280
UK providers,2013,June deadline applicants,POLAR4 Q4,18 year olds,60110
UK providers,2013,June deadline applicants,POLAR4 Q5,18 year olds,86705
UK providers,2013,June deadline applicants,Men,18 year olds,114500
UK providers,2013,June deadline applicants,Women,18 year olds,144890
UK providers,2014,June deadline applicants,Total,18 year olds,265965
UK providers,2014,June deadline applicants,White ethnic group,18 year olds,211785
UK providers,2014,June deadline applicants,Black ethnic group,18 year olds,12295
UK providers,2014,June deadline applicants,Asian ethnic group,18 year olds,27720
UK providers,2014,June deadline applicants,Mixed ethnic group,18 year olds,9830
UK providers,2014,June deadline applicants,Other ethnic group,18 year olds,3240
UK providers,2014,June deadline applicants,POLAR4 Q1,18 year olds,28115
UK providers,2014,June deadline applicants,POLAR4 Q2,18 year olds,40075
UK providers,2014,June deadline applicants,POLAR4 Q3,18 year olds,49610
UK providers,2014,June deadline applicants,POLAR4 Q4,18 year olds,61040
UK providers,2014,June deadline applicants,POLAR4 Q5,18 year olds,86780
UK providers,2014,June deadline applicants,Men,18 year olds,117505
UK providers,2014,June deadline applicants,Women,18 year olds,148460
UK providers,2015,June deadline applicants,Total,18 year olds,275860
UK providers,2015,June deadline applicants,White ethnic group,18 year olds,216690
UK providers,2015,June deadline applicants,Black ethnic group,18 year olds,13425
UK providers,2015,June deadline applicants,Asian ethnic group,18 year olds,29690
UK providers,2015,June deadline applicants,Mixed ethnic group,18 year olds,10950
UK providers,2015,June deadline applicants,Other ethnic group,18 year olds,3530
UK providers,2015,June deadline applicants,POLAR4 Q1,18 year olds,29630
UK providers,2015,June deadline applicants,POLAR4 Q2,18 year olds,41540
UK providers,2015,June deadline applicants,POLAR4 Q3,18 year olds,51960
UK providers,2015,June deadline applicants,POLAR4 Q4,18 year olds,63075
UK providers,2015,June deadline applicants,POLAR4 Q5,18 year olds,89350
UK providers,2015,June deadline applicants,Men,18 year olds,119905
UK providers,2015,June deadline applicants,Women,18 year olds,155955
UK providers,2016,June deadline applicants,Total,18 year olds,277475
UK providers,2016,June deadline applicants,White ethnic group,18 year olds,215565
UK providers,2016,June deadline applicants,Black ethnic group,18 year olds,13710
UK providers,2016,June deadline applicants,Asian ethnic group,18 year olds,31290
UK providers,2016,June deadline applicants,Mixed ethnic group,18 year olds,11490
UK providers,2016,June deadline applicants,Other ethnic group,18 year olds,3725
UK providers,2016,June deadline applicants,POLAR4 Q1,18 year olds,29610
UK providers,2016,June deadline applicants,POLAR4 Q2,18 year olds,41960
UK providers,2016,June deadline applicants,POLAR4 Q3,18 year olds,51855
UK providers,2016,June deadline applicants,POLAR4 Q4,18 year olds,63110
UK providers,2016,June deadline applicants,POLAR4 Q5,18 year olds,90615
UK providers,2016,June deadline applicants,Men,18 year olds,120620
UK providers,2016,June deadline applicants,Women,18 year olds,156860
UK providers,2017,June deadline applicants,Total,18 year olds,278135
UK providers,2017,June deadline applicants,White ethnic group,18 year olds,213140
UK providers,2017,June deadline applicants,Black ethnic group,18 year olds,13995
UK providers,2017,June deadline applicants,Asian ethnic group,18 year olds,33050
UK providers,2017,June deadline applicants,Mixed ethnic group,18 year olds,12135
UK providers,2017,June deadline applicants,Other ethnic group,18 year olds,4125
UK providers,2017,June deadline applicants,POLAR4 Q1,18 year olds,30080
UK providers,2017,June deadline applicants,POLAR4 Q2,18 year olds,41610
UK providers,2017,June deadline applicants,POLAR4 Q3,18 year olds,52100
UK providers,2017,June deadline applicants,POLAR4 Q4,18 year olds,63395
UK providers,2017,June deadline applicants,POLAR4 Q5,18 year olds,90640
UK providers,2017,June deadline applicants,Men,18 year olds,121215
UK providers,2017,June deadline applicants,Women,18 year olds,156920
UK providers,2018,June deadline applicants,Total,18 year olds,272910
UK providers,2018,June deadline applicants,White ethnic group,18 year olds,204725
UK providers,2018,June deadline applicants,Black ethnic group,18 year olds,14715
UK providers,2018,June deadline applicants,Asian ethnic group,18 year olds,35005
UK providers,2018,June deadline applicants,Mixed ethnic group,18 year olds,12260
UK providers,2018,June deadline applicants,Other ethnic group,18 year olds,4365
UK providers,2018,June deadline applicants,POLAR4 Q1,18 year olds,29445
UK providers,2018,June deadline applicants,POLAR4 Q2,18 year olds,40835
UK providers,2018,June deadline applicants,POLAR4 Q3,18 year olds,50450
UK providers,2018,June deadline applicants,POLAR4 Q4,18 year olds,62555
UK providers,2018,June deadline applicants,POLAR4 Q5,18 year olds,89300
UK providers,2018,June deadline applicants,Men,18 year olds,118630
UK providers,2018,June deadline applicants,Women,18 year olds,154280
UK providers,2019,June deadline applicants,Total,18 year olds,275525
UK providers,2019,June deadline applicants,White ethnic group,18 year olds,200545
UK providers,2019,June deadline applicants,Black ethnic group,18 year olds,16135
UK providers,2019,June deadline applicants,Asian ethnic group,18 year olds,38645
UK providers,2019,June deadline applicants,Mixed ethnic group,18 year olds,13215
UK providers,2019,June deadline applicants,Other ethnic group,18 year olds,5120
UK providers,2019,June deadline applicants,POLAR4 Q1,18 year olds,30250
UK providers,2019,June deadline applicants,POLAR4 Q2,18 year olds,40875
UK providers,2019,June deadline applicants,POLAR4 Q3,18 year olds,51425
UK providers,2019,June deadline applicants,POLAR4 Q4,18 year olds,63010
UK providers,2019,June deadline applicants,POLAR4 Q5,18 year olds,89650
UK providers,2019,June deadline applicants,Men,18 year olds,119370
UK providers,2019,June deadline applicants,Women,18 year olds,156150
UK providers,2020,June deadline applicants,Total,18 year olds,281975
UK providers,2020,June deadline applicants,White ethnic group,18 year olds,200220
UK providers,2020,June deadline applicants,Black ethnic group,18 year olds,17535
UK providers,2020,June deadline applicants,Asian ethnic group,18 year olds,42395
UK providers,2020,June deadline applicants,Mixed ethnic group,18 year olds,14210
UK providers,2020,June deadline applicants,Other ethnic group,18 year olds,5585
UK providers,2020,June deadline applicants,POLAR4 Q1,18 year olds,31750
UK providers,2020,June deadline applicants,POLAR4 Q2,18 year olds,42155
UK providers,2020,June deadline applicants,POLAR4 Q3,18 year olds,51940
UK providers,2020,June deadline applicants,POLAR4 Q4,18 year olds,64190
UK providers,2020,June deadline applicants,POLAR4 Q5,18 year olds,91655
UK providers,2020,June deadline applicants,Men,18 year olds,121365
UK providers,2020,June deadline applicants,Women,18 year olds,160610
UK providers,2021,June deadline applicants,Total,18 year olds,311055
UK providers,2021,June deadline applicants,White ethnic group,18 year olds,219130
UK providers,2021,June deadline applicants,Black ethnic group,18 year olds,20015
UK providers,2021,June deadline applicants,Asian ethnic group,18 year olds,46695
UK providers,2021,June deadline applicants,Mixed ethnic group,18 year olds,16485
UK providers,2021,June deadline applicants,Other ethnic group,18 year olds,6415
UK providers,2021,June deadline applicants,POLAR4 Q1,18 year olds,34875
UK providers,2021,June deadline applicants,POLAR4 Q2,18 year olds,46595
UK providers,2021,June deadline applicants,POLAR4 Q3,18 year olds,57445
UK providers,2021,June deadline applicants,POLAR4 Q4,18 year olds,70450
UK providers,2021,June deadline applicants,POLAR4 Q5,18 year olds,101380
UK providers,2021,June deadline applicants,Men,18 year olds,134645
UK providers,2021,June deadline applicants,Women,18 year olds,176410
UK providers,2010,Placed June deadline applicants,Total,18 year olds,189100
UK providers,2010,Placed June deadline applicants,White ethnic group,18 year olds,160545
UK providers,2010,Placed June deadline applicants,Black ethnic group,18 year olds,5435
UK providers,2010,Placed June deadline applicants,Asian ethnic group,18 year olds,15200
UK providers,2010,Placed June deadline applicants,Mixed ethnic group,18 year olds,5535
UK providers,2010,Placed June deadline applicants,Other ethnic group,18 year olds,1340
UK providers,2010,Placed June deadline applicants,POLAR4 Q1,18 year olds,17600
UK providers,2010,Placed June deadline applicants,POLAR4 Q2,18 year olds,27215
UK providers,2010,Placed June deadline applicants,POLAR4 Q3,18 year olds,35135
UK providers,2010,Placed June deadline applicants,POLAR4 Q4,18 year olds,43670
UK providers,2010,Placed June deadline applicants,POLAR4 Q5,18 year olds,65175
UK providers,2010,Placed June deadline applicants,Men,18 year olds,84545
UK providers,2010,Placed June deadline applicants,Women,18 year olds,104555
UK providers,2011,Placed June deadline applicants,Total,18 year olds,189715
UK providers,2011,Placed June deadline applicants,White ethnic group,18 year olds,159595
UK providers,2011,Placed June deadline applicants,Black ethnic group,18 year olds,5960
UK providers,2011,Placed June deadline applicants,Asian ethnic group,18 year olds,15635
UK providers,2011,Placed June deadline applicants,Mixed ethnic group,18 year olds,6115
UK providers,2011,Placed June deadline applicants,Other ethnic group,18 year olds,1450
UK providers,2011,Placed June deadline applicants,POLAR4 Q1,18 year olds,17705
UK providers,2011,Placed June deadline applicants,POLAR4 Q2,18 year olds,27035
UK providers,2011,Placed June deadline applicants,POLAR4 Q3,18 year olds,34835
UK providers,2011,Placed June deadline applicants,POLAR4 Q4,18 year olds,44090
UK providers,2011,Placed June deadline applicants,POLAR4 Q5,18 year olds,65780
UK providers,2011,Placed June deadline applicants,Men,18 year olds,85360
UK providers,2011,Placed June deadline applicants,Women,18 year olds,104355
UK providers,2012,Placed June deadline applicants,Total,18 year olds,184110
UK providers,2012,Placed June deadline applicants,White ethnic group,18 year olds,153865
UK providers,2012,Placed June deadline applicants,Black ethnic group,18 year olds,6190
UK providers,2012,Placed June deadline applicants,Asian ethnic group,18 year olds,15520
UK providers,2012,Placed June deadline applicants,Mixed ethnic group,18 year olds,6045
UK providers,2012,Placed June deadline applicants,Other ethnic group,18 year olds,1660
UK providers,2012,Placed June deadline applicants,POLAR4 Q1,18 year olds,17575
UK providers,2012,Placed June deadline applicants,POLAR4 Q2,18 year olds,26670
UK providers,2012,Placed June deadline applicants,POLAR4 Q3,18 year olds,33715
UK providers,2012,Placed June deadline applicants,POLAR4 Q4,18 year olds,42190
UK providers,2012,Placed June deadline applicants,POLAR4 Q5,18 year olds,63720
UK providers,2012,Placed June deadline applicants,Men,18 year olds,81440
UK providers,2012,Placed June deadline applicants,Women,18 year olds,102670
UK providers,2013,Placed June deadline applicants,Total,18 year olds,191965
UK providers,2013,Placed June deadline applicants,White ethnic group,18 year olds,158190
UK providers,2013,Placed June deadline applicants,Black ethnic group,18 year olds,7390
UK providers,2013,Placed June deadline applicants,Asian ethnic group,18 year olds,17255
UK providers,2013,Placed June deadline applicants,Mixed ethnic group,18 year olds,6555
UK providers,2013,Placed June deadline applicants,Other ethnic group,18 year olds,1805
UK providers,2013,Placed June deadline applicants,POLAR4 Q1,18 year olds,18675
UK providers,2013,Placed June deadline applicants,POLAR4 Q2,18 year olds,28015
UK providers,2013,Placed June deadline applicants,POLAR4 Q3,18 year olds,35520
UK providers,2013,Placed June deadline applicants,POLAR4 Q4,18 year olds,44015
UK providers,2013,Placed June deadline applicants,POLAR4 Q5,18 year olds,65520
UK providers,2013,Placed June deadline applicants,Men,18 year olds,85610
UK providers,2013,Placed June deadline applicants,Women,18 year olds,106355
UK providers,2014,Placed June deadline applicants,Total,18 year olds,195205
UK providers,2014,Placed June deadline applicants,White ethnic group,18 year olds,159495
UK providers,2014,Placed June deadline applicants,Black ethnic group,18 year olds,7720
UK providers,2014,Placed June deadline applicants,Asian ethnic group,18 year olds,18085
UK providers,2014,Placed June deadline applicants,Mixed ethnic group,18 year olds,7125
UK providers,2014,Placed June deadline applicants,Other ethnic group,18 year olds,2050
UK providers,2014,Placed June deadline applicants,POLAR4 Q1,18 year olds,20400
UK providers,2014,Placed June deadline applicants,POLAR4 Q2,18 year olds,29495
UK providers,2014,Placed June deadline applicants,POLAR4 Q3,18 year olds,36255
UK providers,2014,Placed June deadline applicants,POLAR4 Q4,18 year olds,44315
UK providers,2014,Placed June deadline applicants,POLAR4 Q5,18 year olds,64515
UK providers,2014,Placed June deadline applicants,Men,18 year olds,86750
UK providers,2014,Placed June deadline applicants,Women,18 year olds,108455
UK providers,2015,Placed June deadline applicants,Total,18 year olds,203945
UK providers,2015,Placed June deadline applicants,White ethnic group,18 year olds,164105
UK providers,2015,Placed June deadline applicants,Black ethnic group,18 year olds,8625
UK providers,2015,Placed June deadline applicants,Asian ethnic group,18 year olds,19740
UK providers,2015,Placed June deadline applicants,Mixed ethnic group,18 year olds,8010
UK providers,2015,Placed June deadline applicants,Other ethnic group,18 year olds,2330
UK providers,2015,Placed June deadline applicants,POLAR4 Q1,18 year olds,21520
UK providers,2015,Placed June deadline applicants,POLAR4 Q2,18 year olds,30400
UK providers,2015,Placed June deadline applicants,POLAR4 Q3,18 year olds,38320
UK providers,2015,Placed June deadline applicants,POLAR4 Q4,18 year olds,46360
UK providers,2015,Placed June deadline applicants,POLAR4 Q5,18 year olds,67140
UK providers,2015,Placed June deadline applicants,Men,18 year olds,89185
UK providers,2015,Placed June deadline applicants,Women,18 year olds,114760
UK providers,2016,Placed June deadline applicants,Total,18 year olds,205960
UK providers,2016,Placed June deadline applicants,White ethnic group,18 year olds,164205
UK providers,2016,Placed June deadline applicants,Black ethnic group,18 year olds,8945
UK providers,2016,Placed June deadline applicants,Asian ethnic group,18 year olds,20845
UK providers,2016,Placed June deadline applicants,Mixed ethnic group,18 year olds,8370
UK providers,2016,Placed June deadline applicants,Other ethnic group,18 year olds,2415
UK providers,2016,Placed June deadline applicants,POLAR4 Q1,18 year olds,21670
UK providers,2016,Placed June deadline applicants,POLAR4 Q2,18 year olds,31325
UK providers,2016,Placed June deadline applicants,POLAR4 Q3,18 year olds,38200
UK providers,2016,Placed June deadline applicants,POLAR4 Q4,18 year olds,46660
UK providers,2016,Placed June deadline applicants,POLAR4 Q5,18 year olds,67885
UK providers,2016,Placed June deadline applicants,Men,18 year olds,90095
UK providers,2016,Placed June deadline applicants,Women,18 year olds,115865
UK providers,2017,Placed June deadline applicants,Total,18 year olds,206690
UK providers,2017,Placed June deadline applicants,White ethnic group,18 year olds,162690
UK providers,2017,Placed June deadline applicants,Black ethnic group,18 year olds,9230
UK providers,2017,Placed June deadline applicants,Asian ethnic group,18 year olds,22025
UK providers,2017,Placed June deadline applicants,Mixed ethnic group,18 year olds,8840
UK providers,2017,Placed June deadline applicants,Other ethnic group,18 year olds,2705
UK providers,2017,Placed June deadline applicants,POLAR4 Q1,18 year olds,22245
UK providers,2017,Placed June deadline applicants,POLAR4 Q2,18 year olds,31260
UK providers,2017,Placed June deadline applicants,POLAR4 Q3,18 year olds,38735
UK providers,2017,Placed June deadline applicants,POLAR4 Q4,18 year olds,46470
UK providers,2017,Placed June deadline applicants,POLAR4 Q5,18 year olds,67765
UK providers,2017,Placed June deadline applicants,Men,18 year olds,89945
UK providers,2017,Placed June deadline applicants,Women,18 year olds,116745
UK providers,2018,Placed June deadline applicants,Total,18 year olds,203320
UK providers,2018,Placed June deadline applicants,White ethnic group,18 year olds,157240
UK providers,2018,Placed June deadline applicants,Black ethnic group,18 year olds,9765
UK providers,2018,Placed June deadline applicants,Asian ethnic group,18 year olds,23240
UK providers,2018,Placed June deadline applicants,Mixed ethnic group,18 year olds,8900
UK providers,2018,Placed June deadline applicants,Other ethnic group,18 year olds,2860
UK providers,2018,Placed June deadline applicants,POLAR4 Q1,18 year olds,21875
UK providers,2018,Placed June deadline applicants,POLAR4 Q2,18 year olds,30725
UK providers,2018,Placed June deadline applicants,POLAR4 Q3,18 year olds,37360
UK providers,2018,Placed June deadline applicants,POLAR4 Q4,18 year olds,46055
UK providers,2018,Placed June deadline applicants,POLAR4 Q5,18 year olds,67095
UK providers,2018,Placed June deadline applicants,Men,18 year olds,88415
UK providers,2018,Placed June deadline applicants,Women,18 year olds,114905
