"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2006","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2007","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2008","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2009","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2012","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2013","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2016","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2017","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2018","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2019","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2021","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2022","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2023","Direct Clearing","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2006","RPA","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2007","RPA","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2021","RPA","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2006","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20"
"2007","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30"
"2008","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40"
"2009","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40"
"2010","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2011","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2012","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2013","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20"
"2014","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20"
"2015","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2016","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2017","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2018","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35"
"2019","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2020","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2021","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30"
"2022","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","60"
"2023","Direct Clearing","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55"
"2006","RPA","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20"
"2007","RPA","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2008","RPA","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2009","RPA","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2010","RPA","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2011","RPA","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2012","RPA","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
