"Year","Achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","5 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","6 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","6 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","7 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","8 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","8 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","8 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2023","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","11 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","0.833","0"
"2021","11 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
