"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","25","25","1","15"
"2011","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2017","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2011","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","25","25","0.9580000000000001","5"
"2017","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2011","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","5"
"2020","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","25","25","0.926","5"
"2011","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","25","20","0.917","10"
"2017","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","5"
"2011","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","20","20","0.905","5"
"2018","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2017","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","40","40","0.9500000000000001","10"
"2011","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","50","50","0.98","10"
"2017","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 points (D*DD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 points (D*D*D)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 points (D*D*D)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","1 point (PPP)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","5 points (DMM)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","4 points (MMM)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 points (MMP)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 points (DDD)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","White","Main scheme applicant","Not main scheme application","95","65","0.71","0"
"2011","1 point (PPP)","White","Main scheme applicant","Not main scheme application","80","60","0.716","0"
"2012","1 point (PPP)","White","Main scheme applicant","Not main scheme application","90","65","0.7000000000000001","0"
"2013","1 point (PPP)","White","Main scheme applicant","Not main scheme application","60","45","0.763","0"
"2014","1 point (PPP)","White","Main scheme applicant","Not main scheme application","85","75","0.905","0"
"2015","1 point (PPP)","White","Main scheme applicant","Not main scheme application","65","50","0.776","0"
"2016","1 point (PPP)","White","Main scheme applicant","Not main scheme application","60","45","0.81","0"
"2017","1 point (PPP)","White","Main scheme applicant","Not main scheme application","50","40","0.8130000000000001","0"
"2018","1 point (PPP)","White","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2019","1 point (PPP)","White","Main scheme applicant","Not main scheme application","30","20","0.786","0"
"2020","1 point (PPP)","White","Main scheme applicant","Not main scheme application","30","30","0.967","0"
"2021","1 point (PPP)","White","Main scheme applicant","Not main scheme application","50","45","0.882","0"
"2022","1 point (PPP)","White","Main scheme applicant","Not main scheme application","45","35","0.773","0"
"2023","1 point (PPP)","White","Main scheme applicant","Not main scheme application","40","35","0.8290000000000001","0"
"2010","2 points (MPP)","White","Main scheme applicant","Not main scheme application","125","80","0.646","0"
"2011","2 points (MPP)","White","Main scheme applicant","Not main scheme application","80","50","0.608","0"
"2012","2 points (MPP)","White","Main scheme applicant","Not main scheme application","95","80","0.8210000000000001","0"
"2013","2 points (MPP)","White","Main scheme applicant","Not main scheme application","75","55","0.737","0"
"2014","2 points (MPP)","White","Main scheme applicant","Not main scheme application","80","65","0.8130000000000001","0"
"2015","2 points (MPP)","White","Main scheme applicant","Not main scheme application","90","80","0.868","0"
"2016","2 points (MPP)","White","Main scheme applicant","Not main scheme application","70","60","0.859","0"
"2017","2 points (MPP)","White","Main scheme applicant","Not main scheme application","45","40","0.8300000000000001","0"
"2018","2 points (MPP)","White","Main scheme applicant","Not main scheme application","45","35","0.837","0"
"2019","2 points (MPP)","White","Main scheme applicant","Not main scheme application","40","35","0.846","0"
