"Year","Achieved SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","14 point(s)","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","17 point(s)","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","18 point(s)","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","19 point(s)","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","13 point(s)","18","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2020","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.889","0"
"2011","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2014","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2019","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2020","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2010","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2011","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.727","0"
"2012","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","10","0.667","0"
