"Year","Age group","Individual age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2006","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2007","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.879","5"
"2021","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2022","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","18","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2006","19","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","40","0.974","5"
"2007","19","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","50","45","0.9580000000000001","10"
"2008","19","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","55","1","10"
"2009","19","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","55","0.981","15"
