"Year","Age group","Individual age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2006","17 and under","17 and under","Northern Ireland","Female","240","155","0.642"
"2007","17 and under","17 and under","Northern Ireland","Female","205","165","0.795"
"2008","17 and under","17 and under","Northern Ireland","Female","140","90","0.65"
"2009","17 and under","17 and under","Northern Ireland","Female","150","110","0.727"
"2010","17 and under","17 and under","Northern Ireland","Female","145","100","0.6900000000000001"
"2011","17 and under","17 and under","Northern Ireland","Female","120","85","0.717"
"2012","17 and under","17 and under","Northern Ireland","Female","155","115","0.729"
"2013","17 and under","17 and under","Northern Ireland","Female","85","50","0.588"
"2014","17 and under","17 and under","Northern Ireland","Female","75","55","0.733"
"2015","17 and under","17 and under","Northern Ireland","Female","95","75","0.8"
"2016","17 and under","17 and under","Northern Ireland","Female","130","90","0.6920000000000001"
"2017","17 and under","17 and under","Northern Ireland","Female","60","30","0.5"
"2018","17 and under","17 and under","Northern Ireland","Female","85","65","0.788"
"2019","17 and under","17 and under","Northern Ireland","Female","80","60","0.725"
"2020","17 and under","17 and under","Northern Ireland","Female","110","75","0.682"
"2021","17 and under","17 and under","Northern Ireland","Female","80","50","0.6"
"2022","17 and under","17 and under","Northern Ireland","Female","80","45","0.588"
"2023","17 and under","17 and under","Northern Ireland","Female","90","65","0.711"
"2006","18","18","Northern Ireland","Female","37260","26985","0.724"
"2007","18","18","Northern Ireland","Female","36350","26875","0.739"
"2008","18","18","Northern Ireland","Female","30375","23065","0.759"
"2009","18","18","Northern Ireland","Female","31360","23695","0.756"
"2010","18","18","Northern Ireland","Female","32415","22590","0.6970000000000001"
"2011","18","18","Northern Ireland","Female","32445","21210","0.654"
"2012","18","18","Northern Ireland","Female","32080","21920","0.683"
"2013","18","18","Northern Ireland","Female","31505","22250","0.706"
"2014","18","18","Northern Ireland","Female","30780","22565","0.733"
"2015","18","18","Northern Ireland","Female","32855","24115","0.734"
"2016","18","18","Northern Ireland","Female","32265","23870","0.74"
"2017","18","18","Northern Ireland","Female","31555","23505","0.745"
"2018","18","18","Northern Ireland","Female","29970","22545","0.752"
"2019","18","18","Northern Ireland","Female","29055","21730","0.748"
"2020","18","18","Northern Ireland","Female","30065","22875","0.761"
"2021","18","18","Northern Ireland","Female","32125","23430","0.729"
"2022","18","18","Northern Ireland","Female","34150","24125","0.706"
"2023","18","18","Northern Ireland","Female","33440","25115","0.751"
"2006","19","19","Northern Ireland","Female","5280","3055","0.579"
"2007","19","19","Northern Ireland","Female","6430","3895","0.605"
"2008","19","19","Northern Ireland","Female","5390","3455","0.641"
"2009","19","19","Northern Ireland","Female","4910","3080","0.627"
"2010","19","19","Northern Ireland","Female","6060","3505","0.579"
"2011","19","19","Northern Ireland","Female","7710","4115","0.534"
"2012","19","19","Northern Ireland","Female","6840","3810","0.557"
"2013","19","19","Northern Ireland","Female","7595","4325","0.5700000000000001"
"2014","19","19","Northern Ireland","Female","7580","4540","0.599"
"2015","19","19","Northern Ireland","Female","7730","4905","0.634"
"2016","19","19","Northern Ireland","Female","9150","5955","0.651"
"2017","19","19","Northern Ireland","Female","8665","5645","0.651"
"2018","19","19","Northern Ireland","Female","7985","5345","0.669"
"2019","19","19","Northern Ireland","Female","8280","5645","0.682"
"2020","19","19","Northern Ireland","Female","7420","5130","0.6910000000000001"
"2021","19","19","Northern Ireland","Female","6975","4310","0.618"
