"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2006","Not deferred","17 and under","Northern Ireland","Female","230","145","0.63"
"2007","Not deferred","17 and under","Northern Ireland","Female","205","160","0.79"
"2008","Not deferred","17 and under","Northern Ireland","Female","125","80","0.624"
"2009","Not deferred","17 and under","Northern Ireland","Female","145","105","0.731"
"2010","Not deferred","17 and under","Northern Ireland","Female","130","85","0.669"
"2011","Not deferred","17 and under","Northern Ireland","Female","120","85","0.708"
"2012","Not deferred","17 and under","Northern Ireland","Female","145","105","0.731"
"2013","Not deferred","17 and under","Northern Ireland","Female","75","40","0.547"
"2014","Not deferred","17 and under","Northern Ireland","Female","70","55","0.786"
"2015","Not deferred","17 and under","Northern Ireland","Female","95","75","0.789"
"2016","Not deferred","17 and under","Northern Ireland","Female","125","85","0.68"
"2017","Not deferred","17 and under","Northern Ireland","Female","60","30","0.5"
"2018","Not deferred","17 and under","Northern Ireland","Female","75","60","0.8"
"2019","Not deferred","17 and under","Northern Ireland","Female","70","45","0.657"
"2020","Not deferred","17 and under","Northern Ireland","Female","105","75","0.6950000000000001"
"2021","Not deferred","17 and under","Northern Ireland","Female","75","40","0.56"
"2022","Not deferred","17 and under","Northern Ireland","Female","80","45","0.5630000000000001"
"2023","Not deferred","17 and under","Northern Ireland","Female","90","65","0.7000000000000001"
"2006","Deferred","17 and under","Northern Ireland","Female","10","10"," "
"2008","Deferred","17 and under","Northern Ireland","Female","15","15","0.867"
"2009","Deferred","17 and under","Northern Ireland","Female","5","5"," "
"2010","Deferred","17 and under","Northern Ireland","Female","15","15","0.867"
"2012","Deferred","17 and under","Northern Ireland","Female","10","5"," "
"2013","Deferred","17 and under","Northern Ireland","Female","10","10"," "
"2014","Deferred","17 and under","Northern Ireland","Female","5","0"," "
"2016","Deferred","17 and under","Northern Ireland","Female","5","5"," "
"2018","Deferred","17 and under","Northern Ireland","Female","10","5"," "
"2019","Deferred","17 and under","Northern Ireland","Female","10","10","1.2"
"2021","Deferred","17 and under","Northern Ireland","Female","5","5"," "
"2022","Deferred","17 and under","Northern Ireland","Female","5","0"," "
"2006","Not deferred","18","Northern Ireland","Female","36430","26355","0.723"
"2007","Not deferred","18","Northern Ireland","Female","35560","26305","0.74"
"2008","Not deferred","18","Northern Ireland","Female","29585","22490","0.76"
"2009","Not deferred","18","Northern Ireland","Female","30615","23170","0.757"
"2010","Not deferred","18","Northern Ireland","Female","31570","22075","0.6990000000000001"
"2011","Not deferred","18","Northern Ireland","Female","31925","20945","0.656"
"2012","Not deferred","18","Northern Ireland","Female","31660","21640","0.683"
"2013","Not deferred","18","Northern Ireland","Female","30975","21845","0.705"
"2014","Not deferred","18","Northern Ireland","Female","30255","22165","0.733"
"2015","Not deferred","18","Northern Ireland","Female","32230","23640","0.733"
"2016","Not deferred","18","Northern Ireland","Female","31515","23295","0.739"
"2017","Not deferred","18","Northern Ireland","Female","30930","23020","0.744"
"2018","Not deferred","18","Northern Ireland","Female","29335","22055","0.752"
"2019","Not deferred","18","Northern Ireland","Female","28310","21165","0.748"
"2020","Not deferred","18","Northern Ireland","Female","29340","22275","0.759"
"2021","Not deferred","18","Northern Ireland","Female","31355","22795","0.727"
"2022","Not deferred","18","Northern Ireland","Female","33285","23485","0.706"
"2023","Not deferred","18","Northern Ireland","Female","32630","24495","0.751"
"2006","Deferred","18","Northern Ireland","Female","825","630","0.761"
"2007","Deferred","18","Northern Ireland","Female","790","565","0.718"
"2008","Deferred","18","Northern Ireland","Female","790","570","0.724"
"2009","Deferred","18","Northern Ireland","Female","750","530","0.704"
"2010","Deferred","18","Northern Ireland","Female","850","520","0.611"
"2011","Deferred","18","Northern Ireland","Female","515","265","0.515"
"2012","Deferred","18","Northern Ireland","Female","415","280","0.675"
"2013","Deferred","18","Northern Ireland","Female","530","405","0.76"
"2014","Deferred","18","Northern Ireland","Female","525","400","0.762"
"2015","Deferred","18","Northern Ireland","Female","625","475","0.758"
"2016","Deferred","18","Northern Ireland","Female","750","580","0.772"
"2017","Deferred","18","Northern Ireland","Female","630","485","0.767"
"2018","Deferred","18","Northern Ireland","Female","635","490","0.775"
"2019","Deferred","18","Northern Ireland","Female","745","570","0.762"
"2020","Deferred","18","Northern Ireland","Female","725","600","0.8250000000000001"
"2021","Deferred","18","Northern Ireland","Female","775","630","0.8140000000000001"
"2022","Deferred","18","Northern Ireland","Female","865","640","0.742"
"2023","Deferred","18","Northern Ireland","Female","810","620","0.767"
"2006","Not deferred","19","Northern Ireland","Female","5210","3000","0.5760000000000001"
"2007","Not deferred","19","Northern Ireland","Female","6325","3810","0.603"
"2008","Not deferred","19","Northern Ireland","Female","5310","3400","0.641"
"2009","Not deferred","19","Northern Ireland","Female","4835","3020","0.624"
"2010","Not deferred","19","Northern Ireland","Female","5960","3445","0.578"
"2011","Not deferred","19","Northern Ireland","Female","7650","4085","0.534"
"2012","Not deferred","19","Northern Ireland","Female","6780","3785","0.559"
"2013","Not deferred","19","Northern Ireland","Female","7535","4280","0.5680000000000001"
"2014","Not deferred","19","Northern Ireland","Female","7505","4485","0.598"
