"Year","Difference between predicted and achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2021","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-2 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-2 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-2 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-3 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2021","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","Quintile 2","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2023","-2 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2018","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","25","25","0.962","5"
"2021","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","Quintile 3","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","2 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-3 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-3 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2014","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","0 points","Quintile 4","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","0 points","Quintile 4","Not main scheme applicant","Not main scheme application","30","30","1","10"
"2021","0 points","Quintile 4","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2022","0 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","0 points","Quintile 4","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","1 points","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","2 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","5"
