"Year","Difference between predicted and achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.923","10"
"2014","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2021","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","5"
"2021","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2017","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2016","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2020","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-2 points","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-4 points","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2015","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2016","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","5"
"2020","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.917","5"
"2021","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.857","0"
"2022","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2023","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","18","England","Female","Main scheme applicant","Not main scheme application","270","180","0.664","0"
"2011","0 points","18","England","Female","Main scheme applicant","Not main scheme application","425","290","0.687","0"
"2012","0 points","18","England","Female","Main scheme applicant","Not main scheme application","180","125","0.7020000000000001","0"
"2013","0 points","18","England","Female","Main scheme applicant","Not main scheme application","260","200","0.766","0"
"2014","0 points","18","England","Female","Main scheme applicant","Not main scheme application","345","250","0.722","0"
"2015","0 points","18","England","Female","Main scheme applicant","Not main scheme application","475","365","0.764","0"
"2016","0 points","18","England","Female","Main scheme applicant","Not main scheme application","430","330","0.772","0"
"2017","0 points","18","England","Female","Main scheme applicant","Not main scheme application","365","310","0.851","0"
"2018","0 points","18","England","Female","Main scheme applicant","Not main scheme application","340","300","0.877","0"
"2019","0 points","18","England","Female","Main scheme applicant","Not main scheme application","285","250","0.875","0"
"2020","0 points","18","England","Female","Main scheme applicant","Not main scheme application","325","290","0.904","0"
"2021","0 points","18","England","Female","Main scheme applicant","Not main scheme application","420","365","0.866","0"
"2022","0 points","18","England","Female","Main scheme applicant","Not main scheme application","335","290","0.86","0"
"2023","0 points","18","England","Female","Main scheme applicant","Not main scheme application","335","305","0.913","0"
"2010","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2011","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2013","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.647","0"
"2016","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.714","0"
"2017","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2018","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2019","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2021","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2022","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2023","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 points","18","England","Female","Main scheme applicant","Not main scheme application","150","110","0.742","0"
"2011","1 points","18","England","Female","Main scheme applicant","Not main scheme application","185","125","0.667","0"
"2012","1 points","18","England","Female","Main scheme applicant","Not main scheme application","180","125","0.6920000000000001","0"
"2013","1 points","18","England","Female","Main scheme applicant","Not main scheme application","175","135","0.766","0"
"2014","1 points","18","England","Female","Main scheme applicant","Not main scheme application","165","120","0.735","0"
"2015","1 points","18","England","Female","Main scheme applicant","Not main scheme application","235","195","0.8250000000000001","0"
"2016","1 points","18","England","Female","Main scheme applicant","Not main scheme application","250","205","0.81","0"
"2017","1 points","18","England","Female","Main scheme applicant","Not main scheme application","210","180","0.865","0"
"2018","1 points","18","England","Female","Main scheme applicant","Not main scheme application","180","165","0.906","0"
"2019","1 points","18","England","Female","Main scheme applicant","Not main scheme application","180","165","0.917","0"
"2020","1 points","18","England","Female","Main scheme applicant","Not main scheme application","195","185","0.9480000000000001","0"
"2021","1 points","18","England","Female","Main scheme applicant","Not main scheme application","255","220","0.855","0"
"2022","1 points","18","England","Female","Main scheme applicant","Not main scheme application","235","200","0.855","0"
"2023","1 points","18","England","Female","Main scheme applicant","Not main scheme application","205","175","0.872","0"
"2010","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","0.833","0"
