"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","White","Not main scheme applicant","Not main scheme application","15","15","0.929","10"
"2011","0 points","White","Not main scheme applicant","Not main scheme application","20","20","1","15"
"2017","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-1 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2018","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2020","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2015","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-3 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-3 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","White","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2014","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-4 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2021","-4 points","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2022","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2016","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","-5 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2013","Less than -6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
