"Year","Difference between predicted and achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.842","0"
"2021","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","0 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2020","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","-2 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
