"Year","Difference between predicted and achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","0 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","0 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","0 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","0 points","White","Main scheme applicant","Not main scheme application","15","15","1","0"
"2017","0 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","0 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","0 points","White","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2021","0 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","0 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","0 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","1 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","-1 points","White","Main scheme applicant","Not main scheme application","10","10","1","0"
"2014","-1 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-1 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","White","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2018","-1 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","White","Main scheme applicant","Not main scheme application","10","10","1","0"
"2020","-1 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-1 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-1 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-2 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","White","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2013","-2 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
