"Year","Domicile UK International","Domicile","Age group","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","13160","0.001"
"2007","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","12760","0.001"
"2008","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","12750","0"
"2009","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","0","12680","0"
"2010","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","0","12440","0"
"2011","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","0","12340","0"
"2012","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","12380","0.001"
"2013","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","12080","0.001"
"2014","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","0","11930","0"
"2015","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","0","12160","0"
"2016","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","11920","0.001"
"2017","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","11820","0.001"
"2018","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","11140","0.001"
"2019","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","10920","0.001"
"2020","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","30","10880","0.003"
"2021","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","20","10940","0.001"
"2022","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","11080","0.001"
"2023","UK","Northern Ireland","18","Female","Not main scheme applicant","Not main scheme application","10","11240","0.001"
"2006","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1160","319840","0.004"
"2007","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1260","315670","0.004"
"2008","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1260","320340","0.004"
"2009","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1010","325520","0.003"
