"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2019","UK","England","England","17 and under","Female","20","15","15"
"2020","UK","England","England","17 and under","Female","35","30","30"
"2021","UK","England","England","17 and under","Female","20","10","10"
"2022","UK","England","England","17 and under","Female","35","15","15"
"2023","UK","England","England","17 and under","Female","20","10","10"
"2019","UK","Scotland","Scotland","17 and under","Female","10","0","0"
"2020","UK","Scotland","Scotland","17 and under","Female","20","10","10"
"2021","UK","Scotland","Scotland","17 and under","Female","15","5","5"
"2022","UK","Scotland","Scotland","17 and under","Female","30","5","5"
"2023","UK","Scotland","Scotland","17 and under","Female","25","15","15"
"2019","International","EU (excluding UK)","Belgium","17 and under","Female","5","0","0"
"2020","International","EU (excluding UK)","Belgium","17 and under","Female","5","0","0"
"2021","International","EU (excluding UK)","Belgium","17 and under","Female","5","0","0"
"2019","International","EU (excluding UK)","France","17 and under","Female","15","5","5"
"2020","International","EU (excluding UK)","France","17 and under","Female","15","5","5"
"2021","International","EU (excluding UK)","France","17 and under","Female","10","0","0"
"2022","International","EU (excluding UK)","France","17 and under","Female","10","0","0"
"2023","International","EU (excluding UK)","France","17 and under","Female","10","0","0"
"2019","International","EU (excluding UK)","Germany","17 and under","Female","5","0","0"
"2020","International","EU (excluding UK)","Germany","17 and under","Female","10","5","5"
"2021","International","EU (excluding UK)","Germany","17 and under","Female","5","0","0"
"2022","International","EU (excluding UK)","Germany","17 and under","Female","5","0","0"
"2019","International","EU (excluding UK)","Greece","17 and under","Female","5","5","5"
"2020","International","EU (excluding UK)","Greece","17 and under","Female","15","10","10"
"2021","International","EU (excluding UK)","Greece","17 and under","Female","5","0","0"
"2022","International","EU (excluding UK)","Greece","17 and under","Female","5","0","0"
"2023","International","EU (excluding UK)","Greece","17 and under","Female","5","0","0"
"2019","International","EU (excluding UK)","Ireland","17 and under","Female","15","5","5"
"2020","International","EU (excluding UK)","Ireland","17 and under","Female","5","5","5"
"2021","International","EU (excluding UK)","Ireland","17 and under","Female","20","5","5"
"2022","International","EU (excluding UK)","Ireland","17 and under","Female","5","5","0"
"2023","International","EU (excluding UK)","Ireland","17 and under","Female","15","0","0"
"2020","International","EU (excluding UK)","Italy","17 and under","Female","10","5","5"
"2021","International","EU (excluding UK)","Italy","17 and under","Female","5","0","0"
"2022","International","EU (excluding UK)","Italy","17 and under","Female","5","0","0"
"2023","International","EU (excluding UK)","Italy","17 and under","Female","5","0","0"
"2020","International","EU (excluding UK)","Netherlands","17 and under","Female","5","0","0"
"2019","International","EU (excluding UK)","Portugal","17 and under","Female","5","0","0"
"2020","International","EU (excluding UK)","Portugal","17 and under","Female","5","0","0"
"2022","International","EU (excluding UK)","Portugal","17 and under","Female","5","0","0"
"2019","International","EU (excluding UK)","Spain","17 and under","Female","20","5","5"
"2020","International","EU (excluding UK)","Spain","17 and under","Female","30","10","10"
"2021","International","EU (excluding UK)","Spain","17 and under","Female","15","5","5"
"2022","International","EU (excluding UK)","Spain","17 and under","Female","10","0","0"
"2023","International","EU (excluding UK)","Spain","17 and under","Female","15","5","5"
"2022","International","EU (excluding UK)","Sweden","17 and under","Female","5","0","0"
"2019","International","EU (excluding UK)","Cyprus (European Union)","17 and under","Female","5","5","5"
"2020","International","EU (excluding UK)","Cyprus (European Union)","17 and under","Female","10","5","5"
"2021","International","EU (excluding UK)","Cyprus (European Union)","17 and under","Female","5","0","0"
"2023","International","EU (excluding UK)","Cyprus (European Union)","17 and under","Female","5","0","0"
"2021","International","Not EU","Bahrain","17 and under","Female","5","0","0"
"2020","International","Not EU","Bermuda","17 and under","Female","5","0","0"
"2021","International","Not EU","Cameroon","17 and under","Female","5","0","0"
"2020","International","Not EU","Canada","17 and under","Female","5","0","0"
"2019","International","Not EU","Sri Lanka","17 and under","Female","5","0","0"
"2019","International","Not EU","China","17 and under","Female","15","5","5"
"2020","International","Not EU","China","17 and under","Female","35","20","20"
"2021","International","Not EU","China","17 and under","Female","25","0","0"
"2022","International","Not EU","China","17 and under","Female","40","10","10"
"2023","International","Not EU","China","17 and under","Female","20","5","5"
"2019","International","Not EU","Hong Kong","17 and under","Female","35","10","10"
"2020","International","Not EU","Hong Kong","17 and under","Female","80","20","20"
"2021","International","Not EU","Hong Kong","17 and under","Female","75","15","15"
"2022","International","Not EU","Hong Kong","17 and under","Female","60","10","10"
"2023","International","Not EU","Hong Kong","17 and under","Female","65","10","10"
"2019","International","Not EU","India","17 and under","Female","15","5","5"
"2020","International","Not EU","India","17 and under","Female","30","5","5"
"2021","International","Not EU","India","17 and under","Female","25","5","5"
"2022","International","Not EU","India","17 and under","Female","25","5","5"
