"Year","Estranged status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.9400000000000001","0"
"2023","Not declared","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","120","120","0.992","0"
"2023","Not declared","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is not estranged from parents","17 and under","England","Female","Not main scheme applicant","Not main scheme application","40","20","0.579","20"
"2023","Is not estranged from parents","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","45","40","0.891","5"
"2023","Is not estranged from parents","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Not main scheme applicant","Not main scheme application","1090","1030","0.9490000000000001","5"
"2023","Not declared","18","Scotland","Female","Not main scheme applicant","Not main scheme application","175","170","0.989","0"
"2023","Not declared","18","Wales","Female","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2023","Is not estranged from parents","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Is not estranged from parents","18","England","Female","Not main scheme applicant","Not main scheme application","925","835","0.905","125"
"2023","Is not estranged from parents","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","35","0.81","15"
"2023","Is not estranged from parents","18","Wales","Female","Not main scheme applicant","Not main scheme application","40","40","0.9520000000000001","5"
"2023","Is estranged from parents","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.889","5"
"2023","Not declared","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Not declared","19","England","Female","Not main scheme applicant","Not main scheme application","1920","1820","0.9480000000000001","0"
"2023","Not declared","19","Scotland","Female","Not main scheme applicant","Not main scheme application","135","135","0.993","0"
"2023","Not declared","19","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.937","0"
