"Year","FSM status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","In receipt of free school meals","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","In receipt of free school meals","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not in receipt of free school meals","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","15","0.556","15"
"2023","Not in receipt of free school meals","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","40","35","0.9","5"
"2023","Don't know","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.9400000000000001","0"
"2023","Not declared","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","120","120","0.992","0"
"2023","Not declared","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","In receipt of free school meals","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","In receipt of free school meals","18","England","Female","Not main scheme applicant","Not main scheme application","225","200","0.888","35"
"2023","In receipt of free school meals","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","In receipt of free school meals","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not in receipt of free school meals","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not in receipt of free school meals","18","England","Female","Not main scheme applicant","Not main scheme application","670","615","0.912","85"
"2023","Not in receipt of free school meals","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","25","0.9","10"
"2023","Not in receipt of free school meals","18","Wales","Female","Not main scheme applicant","Not main scheme application","35","35","0.973","5"
"2023","Don't know","18","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.875","5"
"2023","Don't know","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Not main scheme applicant","Not main scheme application","1090","1035","0.9490000000000001","5"
"2023","Not declared","18","Scotland","Female","Not main scheme applicant","Not main scheme application","175","170","0.989","0"
"2023","Not declared","18","Wales","Female","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2023","In receipt of free school meals","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.88","5"
"2023","In receipt of free school meals","19","England","Female","Not main scheme applicant","Not main scheme application","450","400","0.889","55"
"2023","In receipt of free school meals","19","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.789","5"
"2023","In receipt of free school meals","19","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","Not in receipt of free school meals","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.865","5"
"2023","Not in receipt of free school meals","19","England","Female","Not main scheme applicant","Not main scheme application","1490","1355","0.908","135"
"2023","Not in receipt of free school meals","19","Scotland","Female","Not main scheme applicant","Not main scheme application","75","60","0.8160000000000001","20"
"2023","Not in receipt of free school meals","19","Wales","Female","Not main scheme applicant","Not main scheme application","75","70","0.896","10"
"2023","Don't know","19","England","Female","Not main scheme applicant","Not main scheme application","155","145","0.923","15"
"2023","Don't know","19","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Not declared","19","England","Female","Not main scheme applicant","Not main scheme application","1920","1820","0.9470000000000001","0"
"2023","Not declared","19","Scotland","Female","Not main scheme applicant","Not main scheme application","135","135","0.993","0"
"2023","Not declared","19","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.937","0"
"2023","In receipt of free school meals","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","In receipt of free school meals","20","England","Female","Not main scheme applicant","Not main scheme application","315","285","0.896","30"
"2023","In receipt of free school meals","20","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","In receipt of free school meals","20","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not in receipt of free school meals","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.88","5"
"2023","Not in receipt of free school meals","20","England","Female","Not main scheme applicant","Not main scheme application","900","785","0.874","120"
"2023","Not in receipt of free school meals","20","Scotland","Female","Not main scheme applicant","Not main scheme application","60","50","0.85","15"
"2023","Not in receipt of free school meals","20","Wales","Female","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","10"
"2023","Don't know","20","England","Female","Not main scheme applicant","Not main scheme application","85","75","0.86","10"
"2023","Don't know","20","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Don't know","20","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Not main scheme applicant","Not main scheme application","1450","1365","0.9400000000000001","5"
"2023","Not declared","20","Scotland","Female","Not main scheme applicant","Not main scheme application","95","95","0.979","0"
"2023","Not declared","20","Wales","Female","Not main scheme applicant","Not main scheme application","65","60","0.984","0"
"2023","In receipt of free school meals","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","In receipt of free school meals","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","450","375","0.8270000000000001","65"
"2023","In receipt of free school meals","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","30","20","0.655","10"
"2023","In receipt of free school meals","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","20","15","0.81","5"
"2023","Not in receipt of free school meals","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","10"," ","5"
"2023","Not in receipt of free school meals","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1330","1105","0.8320000000000001","275"
"2023","Not in receipt of free school meals","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","160","135","0.845","45"
"2023","Not in receipt of free school meals","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","85","70","0.843","15"
"2023","Don't know","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","165","135","0.835","30"
"2023","Don't know","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Don't know","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","3965","3710","0.936","15"
"2023","Not declared","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","195","185","0.9440000000000001","0"
"2023","Not declared","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","110","105","0.9550000000000001","0"
"2023","In receipt of free school meals","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","135","110","0.8","15"
"2023","In receipt of free school meals","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","In receipt of free school meals","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
