"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Male","17 and under","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2007","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","35","30","0.879","5"
"2021","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2022","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","Female","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2006","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2007","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2009","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2011","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2018","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","10","10","0.833","0"
"2020","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","35","35","0.919","5"
"2021","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2022","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2023","Male","18","Northern Ireland","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","5"
"2006","Female","19","Northern Ireland","Not main scheme applicant","Not main scheme application","40","40","0.974","5"
