"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2006","Female","17 and under","Northern Ireland","240","155","0.642"
"2007","Female","17 and under","Northern Ireland","205","165","0.795"
"2008","Female","17 and under","Northern Ireland","140","90","0.65"
"2009","Female","17 and under","Northern Ireland","150","110","0.727"
"2010","Female","17 and under","Northern Ireland","145","100","0.6900000000000001"
"2011","Female","17 and under","Northern Ireland","120","85","0.717"
"2012","Female","17 and under","Northern Ireland","155","115","0.729"
"2013","Female","17 and under","Northern Ireland","85","50","0.588"
"2014","Female","17 and under","Northern Ireland","75","55","0.733"
"2015","Female","17 and under","Northern Ireland","95","75","0.8"
"2016","Female","17 and under","Northern Ireland","130","90","0.6920000000000001"
"2017","Female","17 and under","Northern Ireland","60","30","0.5"
"2018","Female","17 and under","Northern Ireland","85","65","0.788"
"2019","Female","17 and under","Northern Ireland","80","60","0.725"
"2020","Female","17 and under","Northern Ireland","110","75","0.682"
"2021","Female","17 and under","Northern Ireland","80","50","0.6"
"2022","Female","17 and under","Northern Ireland","80","45","0.588"
"2023","Female","17 and under","Northern Ireland","90","65","0.711"
"2006","Male","17 and under","Northern Ireland","170","130","0.765"
"2007","Male","17 and under","Northern Ireland","160","125","0.775"
"2008","Male","17 and under","Northern Ireland","110","90","0.8180000000000001"
"2009","Male","17 and under","Northern Ireland","135","90","0.674"
"2010","Male","17 and under","Northern Ireland","90","70","0.756"
"2011","Male","17 and under","Northern Ireland","95","70","0.716"
"2012","Male","17 and under","Northern Ireland","75","55","0.733"
"2013","Male","17 and under","Northern Ireland","85","65","0.765"
"2014","Male","17 and under","Northern Ireland","50","35","0.7000000000000001"
"2015","Male","17 and under","Northern Ireland","50","40","0.76"
"2016","Male","17 and under","Northern Ireland","70","60","0.8290000000000001"
"2017","Male","17 and under","Northern Ireland","60","50","0.8"
"2018","Male","17 and under","Northern Ireland","55","45","0.782"
"2019","Male","17 and under","Northern Ireland","95","70","0.726"
"2020","Male","17 and under","Northern Ireland","25","25","0.92"
"2021","Male","17 and under","Northern Ireland","80","55","0.6880000000000001"
"2022","Male","17 and under","Northern Ireland","65","45","0.677"
"2023","Male","17 and under","Northern Ireland","65","40","0.646"
"2006","Female","18","Northern Ireland","37260","26985","0.724"
"2007","Female","18","Northern Ireland","36350","26875","0.739"
"2008","Female","18","Northern Ireland","30375","23065","0.759"
"2009","Female","18","Northern Ireland","31360","23695","0.756"
"2010","Female","18","Northern Ireland","32415","22590","0.6970000000000001"
"2011","Female","18","Northern Ireland","32445","21210","0.654"
"2012","Female","18","Northern Ireland","32080","21920","0.683"
"2013","Female","18","Northern Ireland","31505","22250","0.706"
"2014","Female","18","Northern Ireland","30780","22565","0.733"
"2015","Female","18","Northern Ireland","32855","24115","0.734"
"2016","Female","18","Northern Ireland","32265","23870","0.74"
"2017","Female","18","Northern Ireland","31555","23505","0.745"
"2018","Female","18","Northern Ireland","29970","22545","0.752"
"2019","Female","18","Northern Ireland","29055","21730","0.748"
"2020","Female","18","Northern Ireland","30065","22875","0.761"
"2021","Female","18","Northern Ireland","32125","23430","0.729"
"2022","Female","18","Northern Ireland","34150","24125","0.706"
"2023","Female","18","Northern Ireland","33440","25115","0.751"
"2006","Male","18","Northern Ireland","27180","22430","0.8250000000000001"
"2007","Male","18","Northern Ireland","26570","21720","0.8180000000000001"
"2008","Male","18","Northern Ireland","21645","18055","0.834"
"2009","Male","18","Northern Ireland","23560","19495","0.8270000000000001"
"2010","Male","18","Northern Ireland","24810","20120","0.811"
"2011","Male","18","Northern Ireland","25170","19185","0.762"
"2012","Male","18","Northern Ireland","23775","19100","0.803"
"2013","Male","18","Northern Ireland","24835","20790","0.837"
"2014","Male","18","Northern Ireland","24400","20755","0.851"
"2015","Male","18","Northern Ireland","24605","20930","0.851"
"2016","Male","18","Northern Ireland","24300","20470","0.842"
"2017","Male","18","Northern Ireland","23655","19965","0.844"
"2018","Male","18","Northern Ireland","22930","19380","0.845"
"2019","Male","18","Northern Ireland","21215","18010","0.849"
"2020","Male","18","Northern Ireland","21160","18100","0.855"
"2021","Male","18","Northern Ireland","23435","19985","0.853"
"2022","Male","18","Northern Ireland","24450","20350","0.8320000000000001"
"2023","Male","18","Northern Ireland","24125","20420","0.846"
"2006","Female","19","Northern Ireland","5280","3055","0.579"
"2007","Female","19","Northern Ireland","6430","3895","0.605"
"2008","Female","19","Northern Ireland","5390","3455","0.641"
"2009","Female","19","Northern Ireland","4910","3080","0.627"
"2010","Female","19","Northern Ireland","6060","3505","0.579"
"2011","Female","19","Northern Ireland","7710","4115","0.534"
"2012","Female","19","Northern Ireland","6840","3810","0.557"
"2013","Female","19","Northern Ireland","7595","4325","0.5700000000000001"
"2014","Female","19","Northern Ireland","7580","4540","0.599"
"2015","Female","19","Northern Ireland","7730","4905","0.634"
"2016","Female","19","Northern Ireland","9150","5955","0.651"
"2017","Female","19","Northern Ireland","8665","5645","0.651"
"2018","Female","19","Northern Ireland","7985","5345","0.669"
"2019","Female","19","Northern Ireland","8280","5645","0.682"
"2020","Female","19","Northern Ireland","7420","5130","0.6910000000000001"
"2021","Female","19","Northern Ireland","6975","4310","0.618"
"2022","Female","19","Northern Ireland","6295","3700","0.587"
"2023","Female","19","Northern Ireland","6105","3850","0.631"
"2006","Male","19","Northern Ireland","4065","2745","0.675"
"2007","Male","19","Northern Ireland","4310","3045","0.706"
"2008","Male","19","Northern Ireland","3785","2690","0.71"
"2009","Male","19","Northern Ireland","3925","2775","0.708"
"2010","Male","19","Northern Ireland","5280","3580","0.678"
"2011","Male","19","Northern Ireland","6380","4155","0.651"
"2012","Male","19","Northern Ireland","5485","3750","0.684"
"2013","Male","19","Northern Ireland","6080","4480","0.737"
"2014","Male","19","Northern Ireland","6565","4945","0.754"
"2015","Male","19","Northern Ireland","6745","5180","0.768"
"2016","Male","19","Northern Ireland","7375","5635","0.764"
"2017","Male","19","Northern Ireland","6650","5080","0.764"
"2018","Male","19","Northern Ireland","6390","5005","0.784"
"2019","Male","19","Northern Ireland","5580","4405","0.79"
"2020","Male","19","Northern Ireland","5265","4175","0.793"
"2021","Male","19","Northern Ireland","4315","3305","0.766"
"2022","Male","19","Northern Ireland","3810","2665","0.7000000000000001"
"2023","Male","19","Northern Ireland","3705","2690","0.727"
"2006","Female","20","Northern Ireland","1980","1020","0.516"
"2007","Female","20","Northern Ireland","2100","1180","0.562"
"2008","Female","20","Northern Ireland","2025","1210","0.597"
"2009","Female","20","Northern Ireland","2060","1205","0.585"
"2010","Female","20","Northern Ireland","2410","1255","0.521"
"2011","Female","20","Northern Ireland","2765","1290","0.466"
"2012","Female","20","Northern Ireland","2905","1435","0.494"
"2013","Female","20","Northern Ireland","2990","1515","0.507"
"2014","Female","20","Northern Ireland","3610","1960","0.542"
"2015","Female","20","Northern Ireland","3195","1715","0.536"
"2016","Female","20","Northern Ireland","3175","1730","0.544"
"2017","Female","20","Northern Ireland","3365","1920","0.5710000000000001"
"2018","Female","20","Northern Ireland","3460","2150","0.621"
"2019","Female","20","Northern Ireland","3175","1970","0.62"
"2020","Female","20","Northern Ireland","2890","1785","0.617"
"2021","Female","20","Northern Ireland","2860","1735","0.607"
"2022","Female","20","Northern Ireland","2475","1360","0.55"
"2023","Female","20","Northern Ireland","2200","1265","0.5750000000000001"
"2006","Male","20","Northern Ireland","1970","1290","0.654"
