"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2830","0.001"
"2006","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2700","0.001"
"2006","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2690","0.001"
"2006","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2610","0.001"
"2006","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2340","0.001"
"2007","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2700","0.001"
"2007","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2620","0"
"2007","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2610","0"
"2007","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2560","0.002"
"2007","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2280","0.001"
"2008","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2640","0"
"2008","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2630","0"
"2008","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2630","0"
"2008","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2580","0.001"
"2008","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2270","0.002"
"2009","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2590","0"
"2009","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2610","0.001"
"2009","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2620","0"
"2009","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2600","0"
"2009","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2260","0"
"2010","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2510","0.001"
"2010","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2570","0"
"2010","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2590","0"
"2010","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2570","0"
"2010","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2200","0"
"2011","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2480","0"
"2011","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2550","0"
"2011","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2570","0.001"
"2011","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2560","0"
"2011","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2180","0"
"2012","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2470","0.001"
"2012","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2570","0.001"
"2012","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2590","0"
