"Year","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","19","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","19","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","19","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.852","0"
"2019","20","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","20","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","20","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","20","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.9","0"
"2019","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.848","0"
"2020","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.743","0"
"2021","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2022","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.792","0"
"2023","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","60","45","0.77","0"
"2019","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.88","0"
"2020","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.639","0"
"2021","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2022","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2023","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.8270000000000001","0"
"2019","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.773","0"
"2020","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2021","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.75","0"
"2023","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","40","30","0.769","0"
"2019","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.75","0"
"2020","35 and over","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.84","0"
"2021","35 and over","England","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","35 and over","England","Female","Not main scheme applicant","Not main scheme application","25","15","0.52","0"
"2023","35 and over","England","Female","Not main scheme applicant","Not main scheme application","60","45","0.729","0"
"2020","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","England","Female","Main scheme applicant","Not main scheme application","115","80","0.6930000000000001","0"
"2020","18","England","Female","Main scheme applicant","Not main scheme application","100","85","0.851","0"
"2021","18","England","Female","Main scheme applicant","Not main scheme application","90","40","0.455","0"
"2022","18","England","Female","Main scheme applicant","Not main scheme application","190","110","0.579","0"
"2023","18","England","Female","Main scheme applicant","Not main scheme application","165","135","0.8230000000000001","0"
"2019","19","England","Female","Main scheme applicant","Not main scheme application","45","30","0.674","0"
"2020","19","England","Female","Main scheme applicant","Not main scheme application","35","20","0.5760000000000001","0"
"2021","19","England","Female","Main scheme applicant","Not main scheme application","40","15","0.325","0"
"2022","19","England","Female","Main scheme applicant","Not main scheme application","50","25","0.542","0"
"2023","19","England","Female","Main scheme applicant","Not main scheme application","65","45","0.667","0"
"2019","20","England","Female","Main scheme applicant","Not main scheme application","25","15","0.538","0"
"2020","20","England","Female","Main scheme applicant","Not main scheme application","25","15","0.609","0"
"2021","20","England","Female","Main scheme applicant","Not main scheme application","25","5"," ","0"
"2022","20","England","Female","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2023","20","England","Female","Main scheme applicant","Not main scheme application","35","20","0.595","0"
"2019","21 - 24","England","Female","Main scheme applicant","Not main scheme application","65","30","0.46900000000000003","0"
"2020","21 - 24","England","Female","Main scheme applicant","Not main scheme application","35","20","0.559","0"
"2021","21 - 24","England","Female","Main scheme applicant","Not main scheme application","50","25","0.47100000000000003","0"
"2022","21 - 24","England","Female","Main scheme applicant","Not main scheme application","60","20","0.339","0"
"2023","21 - 24","England","Female","Main scheme applicant","Not main scheme application","45","20","0.5","0"
"2019","25 - 29","England","Female","Main scheme applicant","Not main scheme application","55","30","0.582","0"
"2020","25 - 29","England","Female","Main scheme applicant","Not main scheme application","30","20","0.656","0"
"2021","25 - 29","England","Female","Main scheme applicant","Not main scheme application","35","15","0.424","0"
"2022","25 - 29","England","Female","Main scheme applicant","Not main scheme application","50","25","0.47100000000000003","0"
"2023","25 - 29","England","Female","Main scheme applicant","Not main scheme application","40","25","0.658","0"
"2019","30 - 34","England","Female","Main scheme applicant","Not main scheme application","35","20","0.606","0"
"2020","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2021","30 - 34","England","Female","Main scheme applicant","Not main scheme application","30","15","0.438","0"
"2022","30 - 34","England","Female","Main scheme applicant","Not main scheme application","30","15","0.406","0"
"2023","30 - 34","England","Female","Main scheme applicant","Not main scheme application","25","15","0.654","0"
"2019","35 and over","England","Female","Main scheme applicant","Not main scheme application","30","20","0.5630000000000001","0"
"2020","35 and over","England","Female","Main scheme applicant","Not main scheme application","30","20","0.6","0"
"2021","35 and over","England","Female","Main scheme applicant","Not main scheme application","25","10"," ","0"
"2022","35 and over","England","Female","Main scheme applicant","Not main scheme application","35","15","0.47200000000000003","0"
"2023","35 and over","England","Female","Main scheme applicant","Not main scheme application","50","30","0.625","0"
"2022","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2023","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","19","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","20","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","18","Not EU","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","19","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","20","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","17 and under","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","175","20","0.115","0"
"2020","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","195","35","0.17300000000000001","0"
