"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","17 and under","Northern Ireland","Female","5","0"," "
"2023","17 and under","Northern Ireland","Female","5","0"," "
"2019","18","Northern Ireland","Female","365","40","0.115"
"2020","18","Northern Ireland","Female","410","80","0.193"
"2021","18","Northern Ireland","Female","535","65","0.11800000000000001"
"2022","18","Northern Ireland","Female","545","95","0.17200000000000001"
"2023","18","Northern Ireland","Female","445","70","0.162"
"2019","19","Northern Ireland","Female","145","25","0.159"
"2020","19","Northern Ireland","Female","115","15","0.13"
"2021","19","Northern Ireland","Female","155","15","0.097"
"2022","19","Northern Ireland","Female","135","20","0.156"
"2023","19","Northern Ireland","Female","110","10","0.091"
"2019","20","Northern Ireland","Female","50","5"," "
"2020","20","Northern Ireland","Female","40","5"," "
"2021","20","Northern Ireland","Female","35","5"," "
"2022","20","Northern Ireland","Female","60","5"," "
"2023","20","Northern Ireland","Female","60","5"," "
"2019","21 - 24","Northern Ireland","Female","110","15","0.136"
"2020","21 - 24","Northern Ireland","Female","115","30","0.243"
"2021","21 - 24","Northern Ireland","Female","140","20","0.136"
"2022","21 - 24","Northern Ireland","Female","100","10","0.11"
"2023","21 - 24","Northern Ireland","Female","85","10"," "
"2019","25 - 29","Northern Ireland","Female","110","25","0.218"
"2020","25 - 29","Northern Ireland","Female","85","20","0.247"
"2021","25 - 29","Northern Ireland","Female","105","25","0.219"
"2022","25 - 29","Northern Ireland","Female","70","15","0.186"
"2023","25 - 29","Northern Ireland","Female","50","10"," "
"2019","30 - 34","Northern Ireland","Female","55","10"," "
"2020","30 - 34","Northern Ireland","Female","60","10","0.2"
"2021","30 - 34","Northern Ireland","Female","75","20","0.293"
"2022","30 - 34","Northern Ireland","Female","65","15","0.246"
"2023","30 - 34","Northern Ireland","Female","60","15","0.217"
"2019","35 and over","Northern Ireland","Female","80","15","0.188"
"2020","35 and over","Northern Ireland","Female","50","15","0.28"
"2021","35 and over","Northern Ireland","Female","70","10","0.157"
"2022","35 and over","Northern Ireland","Female","75","15","0.213"
"2023","35 and over","Northern Ireland","Female","55","10"," "
"2020","17 and under","England","Female","10","0"," "
"2021","17 and under","England","Female","20","5"," "
"2022","17 and under","England","Female","15","0"," "
"2023","17 and under","England","Female","20","0"," "
"2019","18","England","Female","8055","1905","0.23600000000000002"
"2020","18","England","Female","8520","2345","0.275"
"2021","18","England","Female","10440","2125","0.20400000000000001"
"2022","18","England","Female","10860","2155","0.198"
"2023","18","England","Female","9260","2875","0.311"
"2019","19","England","Female","3150","650","0.20600000000000002"
"2020","19","England","Female","3025","695","0.229"
"2021","19","England","Female","3625","635","0.17500000000000002"
"2022","19","England","Female","3400","525","0.154"
"2023","19","England","Female","2720","680","0.25"
"2019","20","England","Female","1725","350","0.20400000000000001"
"2020","20","England","Female","1640","385","0.234"
"2021","20","England","Female","1955","345","0.177"
"2022","20","England","Female","1890","300","0.159"
"2023","20","England","Female","1530","365","0.23900000000000002"
"2019","21 - 24","England","Female","3755","925","0.247"
"2020","21 - 24","England","Female","3635","1000","0.276"
"2021","21 - 24","England","Female","4720","1155","0.245"
"2022","21 - 24","England","Female","3885","765","0.197"
"2023","21 - 24","England","Female","2790","670","0.24"
"2019","25 - 29","England","Female","3165","855","0.271"
"2020","25 - 29","England","Female","3095","975","0.315"
"2021","25 - 29","England","Female","4330","1185","0.273"
"2022","25 - 29","England","Female","3565","945","0.266"
"2023","25 - 29","England","Female","2335","685","0.293"
