"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","England","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","England","19","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","England","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","England","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","England","19","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","England","19","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.846"
"2019","England","20","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","England","20","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","England","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","England","20","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","England","20","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.9"
"2019","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.848"
"2020","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.743"
"2021","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.765"
"2022","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.783"
"2023","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","60","45","0.77"
"2019","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.88"
"2020","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.639"
"2021","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001"
"2022","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.682"
"2023","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.8270000000000001"
"2019","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.773"
"2020","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001"
"2021","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.75"
"2023","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","40","30","0.769"
"2019","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.75"
"2020","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.84"
"2021","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2022","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","25","15","0.52"
"2023","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","60","45","0.729"
"2020","Scotland","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Scotland","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","England","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Northern Ireland","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Northern Ireland","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Northern Ireland","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","England","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Northern Ireland","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Northern Ireland","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","England","18","England","Female","Main scheme applicant","Not main scheme application","110","80","0.705"
"2020","England","18","England","Female","Main scheme applicant","Not main scheme application","100","85","0.857"
"2021","England","18","England","Female","Main scheme applicant","Not main scheme application","85","40","0.46"
"2022","England","18","England","Female","Main scheme applicant","Not main scheme application","180","105","0.582"
"2023","England","18","England","Female","Main scheme applicant","Not main scheme application","165","135","0.8230000000000001"
"2020","Wales","18","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Wales","18","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2019","England","19","England","Female","Main scheme applicant","Not main scheme application","45","30","0.667"
"2020","England","19","England","Female","Main scheme applicant","Not main scheme application","35","20","0.5760000000000001"
"2021","England","19","England","Female","Main scheme applicant","Not main scheme application","35","15","0.35100000000000003"
"2022","England","19","England","Female","Main scheme applicant","Not main scheme application","45","25","0.522"
"2023","England","19","England","Female","Main scheme applicant","Not main scheme application","65","45","0.667"
"2021","Wales","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","England","20","England","Female","Main scheme applicant","Not main scheme application","25","15","0.538"
"2020","England","20","England","Female","Main scheme applicant","Not main scheme application","25","15","0.609"
"2021","England","20","England","Female","Main scheme applicant","Not main scheme application","25","5"," "
"2022","England","20","England","Female","Main scheme applicant","Not main scheme application","20","10"," "
"2023","England","20","England","Female","Main scheme applicant","Not main scheme application","35","20","0.595"
"2019","England","21 - 24","England","Female","Main scheme applicant","Not main scheme application","60","30","0.484"
"2020","England","21 - 24","England","Female","Main scheme applicant","Not main scheme application","35","20","0.5760000000000001"
"2021","England","21 - 24","England","Female","Main scheme applicant","Not main scheme application","50","20","0.458"
"2022","England","21 - 24","England","Female","Main scheme applicant","Not main scheme application","60","20","0.333"
"2023","England","21 - 24","England","Female","Main scheme applicant","Not main scheme application","45","20","0.5"
"2019","England","25 - 29","England","Female","Main scheme applicant","Not main scheme application","55","30","0.593"
"2020","England","25 - 29","England","Female","Main scheme applicant","Not main scheme application","30","20","0.645"
"2021","England","25 - 29","England","Female","Main scheme applicant","Not main scheme application","35","15","0.424"
"2022","England","25 - 29","England","Female","Main scheme applicant","Not main scheme application","50","20","0.449"
"2023","England","25 - 29","England","Female","Main scheme applicant","Not main scheme application","40","25","0.658"
"2019","England","30 - 34","England","Female","Main scheme applicant","Not main scheme application","30","20","0.625"
"2020","England","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
