"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","UK","England","England","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","England","England","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","England","England","18","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","25","25","0.852","0"
"2019","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","30","25","0.9","0"
"2019","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","35","30","0.848","0"
"2020","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","35","25","0.743","0"
"2021","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2022","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","25","20","0.792","0"
"2023","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","60","45","0.77","0"
"2020","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","25","20","0.88","0"
"2020","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","35","25","0.639","0"
"2021","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2022","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2023","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","50","45","0.8270000000000001","0"
"2019","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","20","15","0.773","0"
"2020","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2021","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","25","20","0.75","0"
"2023","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","40","30","0.769","0"
"2022","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","20","15","0.75","0"
"2020","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","25","20","0.84","0"
"2021","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","25","15","0.52","0"
"2023","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","60","45","0.729","0"
"2022","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","115","80","0.6930000000000001","0"
"2020","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","100","85","0.851","0"
"2021","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","90","40","0.455","0"
"2022","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","190","110","0.579","0"
"2023","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","165","135","0.8230000000000001","0"
"2019","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Wales","Wales","18","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Wales","Wales","18","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","UK","Wales","Wales","18","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Wales","Wales","18","Female","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2023","UK","Wales","Wales","18","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","England","England","19","Female","Main scheme applicant","Not main scheme application","45","30","0.674","0"
"2020","UK","England","England","19","Female","Main scheme applicant","Not main scheme application","35","20","0.5760000000000001","0"
"2021","UK","England","England","19","Female","Main scheme applicant","Not main scheme application","40","15","0.325","0"
"2022","UK","England","England","19","Female","Main scheme applicant","Not main scheme application","50","25","0.542","0"
"2023","UK","England","England","19","Female","Main scheme applicant","Not main scheme application","65","45","0.667","0"
"2019","UK","Northern Ireland","Northern Ireland","19","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Northern Ireland","Northern Ireland","19","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","19","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Scotland","Scotland","19","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Scotland","Scotland","19","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Wales","Wales","19","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
