"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","Female","18","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","18","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","18","England","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Female","19","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Female","19","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","19","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","19","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Female","19","England","Not main scheme applicant","Not main scheme application","25","25","0.852","0"
"2019","Female","20","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Female","20","England","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Female","20","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","20","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Female","20","England","Not main scheme applicant","Not main scheme application","30","25","0.9","0"
"2019","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","35","30","0.848","0"
"2020","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","35","25","0.743","0"
"2021","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2022","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","25","20","0.792","0"
"2023","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","60","45","0.77","0"
"2019","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","25","20","0.88","0"
"2020","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","35","25","0.639","0"
"2021","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2022","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2023","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","50","45","0.8270000000000001","0"
"2019","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","20","15","0.773","0"
"2020","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2021","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","25","20","0.75","0"
"2023","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","40","30","0.769","0"
"2019","Female","35 and over","England","Not main scheme applicant","Not main scheme application","20","15","0.75","0"
"2020","Female","35 and over","England","Not main scheme applicant","Not main scheme application","25","20","0.84","0"
"2021","Female","35 and over","England","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","Female","35 and over","England","Not main scheme applicant","Not main scheme application","25","15","0.52","0"
"2023","Female","35 and over","England","Not main scheme applicant","Not main scheme application","60","45","0.729","0"
"2020","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","19","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","19","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","20","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","25 - 29","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
