"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","Female","17 and under","Northern Ireland","5","0"," "
"2023","Female","17 and under","Northern Ireland","5","0"," "
"2019","Female","18","Northern Ireland","365","40","0.115"
"2020","Female","18","Northern Ireland","410","80","0.193"
"2021","Female","18","Northern Ireland","535","65","0.11800000000000001"
"2022","Female","18","Northern Ireland","545","95","0.17200000000000001"
"2023","Female","18","Northern Ireland","445","70","0.162"
"2019","Male","18","Northern Ireland","5","0"," "
"2020","Male","18","Northern Ireland","5","0"," "
"2019","Female","19","Northern Ireland","145","25","0.159"
"2020","Female","19","Northern Ireland","115","15","0.13"
"2021","Female","19","Northern Ireland","155","15","0.097"
"2022","Female","19","Northern Ireland","135","20","0.156"
"2023","Female","19","Northern Ireland","110","10","0.091"
"2019","Female","20","Northern Ireland","50","5"," "
"2020","Female","20","Northern Ireland","40","5"," "
"2021","Female","20","Northern Ireland","35","5"," "
"2022","Female","20","Northern Ireland","60","5"," "
"2023","Female","20","Northern Ireland","60","5"," "
"2019","Female","21 - 24","Northern Ireland","110","15","0.136"
"2020","Female","21 - 24","Northern Ireland","115","30","0.243"
"2021","Female","21 - 24","Northern Ireland","140","20","0.136"
"2022","Female","21 - 24","Northern Ireland","100","10","0.11"
"2023","Female","21 - 24","Northern Ireland","85","10"," "
"2019","Female","25 - 29","Northern Ireland","110","25","0.218"
"2020","Female","25 - 29","Northern Ireland","85","20","0.247"
"2021","Female","25 - 29","Northern Ireland","105","25","0.219"
"2022","Female","25 - 29","Northern Ireland","70","15","0.186"
"2023","Female","25 - 29","Northern Ireland","50","10"," "
"2020","Male","25 - 29","Northern Ireland","5","0"," "
"2019","Female","30 - 34","Northern Ireland","55","10"," "
"2020","Female","30 - 34","Northern Ireland","60","10","0.2"
"2021","Female","30 - 34","Northern Ireland","75","20","0.293"
"2022","Female","30 - 34","Northern Ireland","65","15","0.246"
"2023","Female","30 - 34","Northern Ireland","60","15","0.217"
"2019","Female","35 and over","Northern Ireland","80","15","0.188"
"2020","Female","35 and over","Northern Ireland","50","15","0.28"
"2021","Female","35 and over","Northern Ireland","70","10","0.157"
"2022","Female","35 and over","Northern Ireland","75","15","0.213"
"2023","Female","35 and over","Northern Ireland","55","10"," "
"2020","Female","17 and under","England","10","0"," "
"2021","Female","17 and under","England","20","5"," "
"2022","Female","17 and under","England","15","0"," "
"2023","Female","17 and under","England","20","0"," "
"2021","Male","17 and under","England","5","0"," "
"2019","Female","18","England","8055","1905","0.23600000000000002"
"2020","Female","18","England","8520","2345","0.275"
"2021","Female","18","England","10440","2125","0.20400000000000001"
"2022","Female","18","England","10860","2155","0.198"
"2023","Female","18","England","9260","2875","0.311"
"2019","Male","18","England","15","5"," "
"2020","Male","18","England","5","0"," "
"2021","Male","18","England","30","10"," "
"2022","Male","18","England","45","5"," "
"2023","Male","18","England","15","5"," "
"2019","Female","19","England","3150","650","0.20600000000000002"
"2020","Female","19","England","3025","695","0.229"
"2021","Female","19","England","3625","635","0.17500000000000002"
"2022","Female","19","England","3400","525","0.154"
"2023","Female","19","England","2720","680","0.25"
"2021","Male","19","England","5","0"," "
"2022","Male","19","England","10","0"," "
"2019","Female","20","England","1725","350","0.20400000000000001"
"2020","Female","20","England","1640","385","0.234"
"2021","Female","20","England","1955","345","0.177"
"2022","Female","20","England","1890","300","0.159"
"2023","Female","20","England","1530","365","0.23900000000000002"
"2020","Male","20","England","5","0"," "
"2021","Male","20","England","10","0"," "
"2023","Male","20","England","5","0"," "
"2019","Female","21 - 24","England","3755","925","0.247"
"2020","Female","21 - 24","England","3635","1000","0.276"
"2021","Female","21 - 24","England","4720","1155","0.245"
"2022","Female","21 - 24","England","3885","765","0.197"
"2023","Female","21 - 24","England","2790","670","0.24"
"2019","Male","21 - 24","England","5","0"," "
"2020","Male","21 - 24","England","10","0"," "
"2021","Male","21 - 24","England","10","0"," "
"2022","Male","21 - 24","England","15","5"," "
"2023","Male","21 - 24","England","5","0"," "
"2019","Female","25 - 29","England","3165","855","0.271"
"2020","Female","25 - 29","England","3095","975","0.315"
"2021","Female","25 - 29","England","4330","1185","0.273"
"2022","Female","25 - 29","England","3565","945","0.266"
"2023","Female","25 - 29","England","2335","685","0.293"
"2019","Male","25 - 29","England","15","5"," "
"2020","Male","25 - 29","England","10","5"," "
"2021","Male","25 - 29","England","25","5"," "
"2022","Male","25 - 29","England","10","5"," "
"2023","Male","25 - 29","England","5","0"," "
"2019","Female","30 - 34","England","1805","520","0.28800000000000003"
"2020","Female","30 - 34","England","2055","655","0.319"
"2021","Female","30 - 34","England","3125","950","0.303"
"2022","Female","30 - 34","England","2740","815","0.297"
"2023","Female","30 - 34","England","1940","615","0.316"
"2019","Male","30 - 34","England","15","5"," "
"2021","Male","30 - 34","England","15","5"," "
"2022","Male","30 - 34","England","15","5"," "
"2023","Male","30 - 34","England","10","5"," "
"2019","Female","35 and over","England","1930","525","0.273"
"2020","Female","35 and over","England","2240","700","0.312"
"2021","Female","35 and over","England","3145","865","0.276"
"2022","Female","35 and over","England","2765","800","0.29"
"2023","Female","35 and over","England","2405","785","0.327"
"2019","Male","35 and over","England","10","5"," "
"2020","Male","35 and over","England","10","5"," "
"2021","Male","35 and over","England","15","0"," "
"2022","Male","35 and over","England","10","0"," "
"2023","Male","35 and over","England","20","0"," "
"2019","Female","17 and under","Scotland","15","0"," "
"2020","Female","17 and under","Scotland","30","5"," "
"2021","Female","17 and under","Scotland","35","5"," "
"2022","Female","17 and under","Scotland","50","5"," "
"2023","Female","17 and under","Scotland","20","5"," "
"2019","Female","18","Scotland","670","135","0.201"
"2020","Female","18","Scotland","550","120","0.22"
"2021","Female","18","Scotland","780","95","0.121"
"2022","Female","18","Scotland","665","100","0.15"
"2023","Female","18","Scotland","455","100","0.224"
"2019","Male","18","Scotland","5","0"," "
"2021","Male","18","Scotland","5","0"," "
"2019","Female","19","Scotland","195","35","0.17400000000000002"
"2020","Female","19","Scotland","170","35","0.218"
"2021","Female","19","Scotland","235","20","0.089"
"2022","Female","19","Scotland","210","25","0.129"
"2023","Female","19","Scotland","205","50","0.249"
"2023","Male","19","Scotland","5","0"," "
"2019","Female","20","Scotland","110","20","0.164"
"2020","Female","20","Scotland","100","15","0.15"
"2021","Female","20","Scotland","140","15","0.107"
"2022","Female","20","Scotland","145","25","0.186"
"2023","Female","20","Scotland","85","15","0.176"
"2019","Female","21 - 24","Scotland","300","55","0.187"
"2020","Female","21 - 24","Scotland","375","70","0.192"
"2021","Female","21 - 24","Scotland","410","65","0.154"
"2022","Female","21 - 24","Scotland","375","60","0.155"
"2023","Female","21 - 24","Scotland","245","55","0.233"
"2022","Male","21 - 24","Scotland","5","5"," "
"2019","Female","25 - 29","Scotland","265","50","0.192"
"2020","Female","25 - 29","Scotland","360","65","0.178"
"2021","Female","25 - 29","Scotland","535","85","0.163"
"2022","Female","25 - 29","Scotland","325","55","0.17500000000000002"
"2023","Female","25 - 29","Scotland","205","45","0.22"
"2019","Female","30 - 34","Scotland","170","40","0.229"
"2020","Female","30 - 34","Scotland","220","45","0.195"
"2021","Female","30 - 34","Scotland","280","50","0.17500000000000002"
"2022","Female","30 - 34","Scotland","220","40","0.17300000000000001"
"2023","Female","30 - 34","Scotland","155","45","0.29"
"2019","Female","35 and over","Scotland","185","40","0.216"
"2020","Female","35 and over","Scotland","215","50","0.233"
"2021","Female","35 and over","Scotland","305","35","0.111"
"2022","Female","35 and over","Scotland","255","45","0.18"
"2023","Female","35 and over","Scotland","185","50","0.259"
"2021","Male","35 and over","Scotland","5","0"," "
"2020","Female","17 and under","Wales","5","0"," "
"2019","Female","18","Wales","360","40","0.111"
"2020","Female","18","Wales","500","75","0.146"
"2021","Female","18","Wales","770","110","0.145"
"2022","Female","18","Wales","630","95","0.149"
"2023","Female","18","Wales","465","95","0.2"
"2022","Male","18","Wales","5","0"," "
"2023","Male","18","Wales","5","5"," "
"2019","Female","19","Wales","225","25","0.116"
"2020","Female","19","Wales","205","20","0.107"
"2021","Female","19","Wales","310","25","0.081"
"2022","Female","19","Wales","190","35","0.184"
"2023","Female","19","Wales","120","15","0.133"
"2019","Female","20","Wales","115","15","0.122"
"2020","Female","20","Wales","85","15","0.153"
"2021","Female","20","Wales","150","15","0.08700000000000001"
"2022","Female","20","Wales","125","20","0.152"
"2023","Female","20","Wales","105","20","0.19"
"2019","Female","21 - 24","Wales","425","65","0.158"
"2020","Female","21 - 24","Wales","335","50","0.152"
