"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.8"
"2021","Higher tariff","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","20","England","Female","Not main scheme applicant","Not main scheme application","20","20","1"
"2019","Higher tariff","20","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Higher tariff","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.893"
"2020","Lower tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.778"
"2021","Lower tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.846"
"2022","Lower tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867"
"2023","Lower tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","45","35","0.756"
"2019","Medium tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
