"Year","FSM status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","80","41040","0.002"
"2006","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","810","250770","0.003"
"2007","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","120","39940","0.003"
"2007","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","890","247450","0.004"
"2008","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","130","38610","0.003"
"2008","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","880","252690","0.003"
"2009","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","100","37480","0.003"
"2009","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","730","253130","0.003"
"2010","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","50","36250","0.001"
"2010","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","320","251960","0.001"
"2011","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","50","36700","0.001"
"2011","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","410","251540","0.002"
"2012","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","100","38950","0.003"
"2012","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","670","249670","0.003"
"2013","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","140","39780","0.003"
"2013","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","830","242950","0.003"
"2014","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","130","40410","0.003"
"2014","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","770","239270","0.003"
"2015","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","150","42610","0.004"
"2015","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","870","243100","0.004"
"2016","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","120","40300","0.003"
"2016","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","890","238550","0.004"
"2017","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","160","38130","0.004"
"2017","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","1140","237470","0.005"
"2018","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","210","36150","0.006"
"2018","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","1370","233570","0.006"
"2019","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","240","35200","0.007"
"2019","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","1550","227560","0.007"
"2020","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","270","33440","0.008"
"2020","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","2130","227450","0.009000000000000001"
"2021","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","230","38080","0.006"
"2021","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","1350","232450","0.006"
"2022","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","240","44380","0.005"
"2022","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","1250","234790","0.005"
"2023","Receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","270","54660","0.005"
"2023","Not receiving FSM","18","England","Female","Not main scheme applicant","Not main scheme application","1250","243110","0.005"
"2006","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","130","41820","0.003"
"2006","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1060","257630","0.004"
"2007","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","100","40220","0.002"
"2007","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1030","255160","0.004"
"2008","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","150","39560","0.004"
"2008","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1050","262070","0.004"
"2009","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","100","37950","0.003"
"2009","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","860","261500","0.003"
"2010","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","50","37230","0.001"
"2010","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","410","261650","0.002"
"2011","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","50","37710","0.001"
"2011","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","410","263550","0.002"
"2012","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","130","41130","0.003"
"2012","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","830","262360","0.003"
"2013","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","130","42020","0.003"
"2013","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","910","254820","0.004"
"2014","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","130","42140","0.003"
"2014","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","820","252540","0.003"
"2015","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","170","44940","0.004"
"2015","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","890","254180","0.003"
"2016","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","150","42780","0.004"
"2016","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","960","249660","0.004"
"2017","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","170","40770","0.004"
"2017","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1170","248880","0.005"
"2018","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","200","38590","0.005"
"2018","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1340","244340","0.005"
"2019","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","240","36730","0.007"
"2019","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1800","238280","0.008"
"2020","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","250","35510","0.007"
"2020","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","2510","238950","0.01"
"2021","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","250","40760","0.006"
"2021","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1740","243760","0.007"
"2022","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","240","46850","0.005"
"2022","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1410","246310","0.006"
"2023","Receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","290","56890","0.005"
"2023","Not receiving FSM","18","England","Male","Not main scheme applicant","Not main scheme application","1390","242630","0.006"
"2006","Receiving FSM","18","England","Female","Main scheme applicant","Not main scheme application","680","41040","0.017"
