"Year","FSM status","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","41040","0.002"
"2006","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","560","250770","0.002"
"2007","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","39940","0.003"
"2007","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","650","247450","0.003"
"2008","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","38610","0.003"
"2008","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","680","252690","0.003"
"2009","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","37480","0.002"
"2009","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","630","253130","0.002"
"2010","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","36250","0.001"
"2010","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","280","251960","0.001"
"2011","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","36700","0.001"
"2011","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","350","251540","0.001"
"2012","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","38950","0.002"
"2012","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","480","249670","0.002"
"2013","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","39780","0.003"
"2013","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","650","242950","0.003"
"2014","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","40410","0.003"
"2014","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","620","239270","0.003"
"2015","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","140","42610","0.003"
"2015","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","660","243100","0.003"
"2016","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","40300","0.002"
"2016","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","680","238550","0.003"
"2017","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","38130","0.003"
"2017","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","850","237470","0.004"
"2018","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","36150","0.005"
"2018","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1020","233570","0.004"
"2019","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","35200","0.006"
"2019","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1130","227560","0.005"
"2020","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","33440","0.006"
"2020","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1520","227450","0.007"
"2021","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","190","38080","0.005"
"2021","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1020","232450","0.004"
"2022","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","44380","0.005"
