"Year","NPD ethnic group","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","2120","0.003"
"2006","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","17810","0.004"
"2006","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","10080","0.003"
"2006","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1040","0"
"2006","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","5880","0.001"
"2006","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","510","243840","0.002"
"2007","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","2340","0.006"
"2007","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","17150","0.005"
"2007","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","10510","0.004"
"2007","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","1130","0.007"
"2007","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","6240","0.002"
"2007","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","550","240530","0.002"
"2008","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","2320","0.004"
"2008","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","18020","0.005"
"2008","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","10920","0.005"
"2008","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1070","0"
"2008","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","6850","0.003"
"2008","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","600","245160","0.002"
"2009","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","2450","0.004"
"2009","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","18590","0.003"
"2009","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","11160","0.004"
